year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,17
2024,Attempted murder,11
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,104
2024,Burglary at residential premises,212
2024,Carjacking,37
2024,Commercial crime,213
2024,Common assault,102
2024,Common robbery,136
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,39
2024,Drug-related crime,49
2024,Illegal possession of firearms and ammunition,1
2024,Kidnapping,18
2024,Malicious damage to property,50
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,8
2024,Robbery at non-residential premises,19
2024,Robbery at residential premises,8
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,245
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,134
2024,Stock-theft,0
2024,Street Robbery,64
2024,TRIO crimes,64
2024,Theft of motor vehicle and motorcycle,279
2024,Theft out of or from motor vehicle,266
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,10
2023,Attempted murder,18
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,118
2023,Burglary at residential premises,249
2023,Carjacking,35
2023,Commercial crime,240
2023,Common assault,88
2023,Common robbery,133
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,9
2023,Drug-related crime,62
2023,Illegal possession of firearms and ammunition,11
2023,Kidnapping,15
2023,Malicious damage to property,71
2023,Murder,11
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,16
2023,Robbery at non-residential premises,20
2023,Robbery at residential premises,16
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,271
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,2
2023,Shoplifting,137
2023,Stock-theft,0
2023,Street Robbery,198
2023,TRIO crimes,71
2023,Theft of motor vehicle and motorcycle,426
