year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,100
2024,Attempted murder,34
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,85
2024,Burglary at residential premises,213
2024,Carjacking,29
2024,Commercial crime,225
2024,Common assault,164
2024,Common robbery,39
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,26
2024,Drug-related crime,298
2024,Illegal possession of firearms and ammunition,28
2024,Kidnapping,16
2024,Malicious damage to property,77
2024,Murder,21
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,31
2024,Robbery at non-residential premises,76
2024,Robbery at residential premises,18
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,238
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,79
2024,Stock-theft,0
2024,Street Robbery,127
2024,TRIO crimes,123
2024,Theft of motor vehicle and motorcycle,122
2024,Theft out of or from motor vehicle,104
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,70
2023,Attempted murder,22
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,77
2023,Burglary at residential premises,167
2023,Carjacking,39
2023,Commercial crime,160
2023,Common assault,187
2023,Common robbery,36
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,6
2023,Drug-related crime,259
2023,Illegal possession of firearms and ammunition,25
2023,Kidnapping,11
2023,Malicious damage to property,81
2023,Murder,16
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,26
2023,Robbery at non-residential premises,61
2023,Robbery at residential premises,11
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,187
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,14
2023,Shoplifting,77
2023,Stock-theft,0
2023,Street Robbery,72
2023,TRIO crimes,111
2023,Theft of motor vehicle and motorcycle,86
2023,Theft out of or from motor vehicle,98
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,84
2022,Attempted murder,19
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,92
2022,Burglary at residential premises,175
2022,Carjacking,25
2022,Commercial crime,147
2022,Common assault,167
2022,Common robbery,31
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,6
2022,Drug-related crime,228
2022,Illegal possession of firearms and ammunition,17
2022,Kidnapping,13
2022,Malicious damage to property,64
2022,Murder,16
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,18
2022,Robbery at non-residential premises,60
2022,Robbery at residential premises,21
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,191
2022,Sexual Offences detected as a result of police action,4
2022,Sexual assault,3
2022,Shoplifting,65
2022,Stock-theft,0
2022,Street Robbery,84
2022,TRIO crimes,106
2022,Theft of motor vehicle and motorcycle,128
2022,Theft out of or from motor vehicle,113
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,0
2021,Assault with the intent to inflict grievous bodily harm,52
2021,Attempted murder,8
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,93
2021,Burglary at residential premises,230
2021,Carjacking,25
2021,Commercial crime,164
2021,Common assault,146
2021,Common robbery,22
2021,Contact sexual offences,0
2021,Crimen Injuria,18
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,2
2021,Drug-related crime,173
2021,Illegal possession of firearms and ammunition,8
2021,Kidnapping,4
2021,Malicious damage to property,45
2021,Murder,9
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,5
2021,Robbery at non-residential premises,66
2021,Robbery at residential premises,12
