year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,397
2024,Attempted murder,85
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,27
2024,Burglary at residential premises,166
2024,Carjacking,84
2024,Commercial crime,93
2024,Common assault,188
2024,Common robbery,101
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,15
2024,Drug-related crime,149
2024,Illegal possession of firearms and ammunition,34
2024,Kidnapping,26
2024,Malicious damage to property,160
2024,Murder,107
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,99
2024,Robbery at non-residential premises,32
2024,Robbery at residential premises,42
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,312
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,14
2024,Shoplifting,2
2024,Stock-theft,0
2024,Street Robbery,160
2024,TRIO crimes,158
2024,Theft of motor vehicle and motorcycle,70
2024,Theft out of or from motor vehicle,54
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,335
2023,Attempted murder,67
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,14
2023,Burglary at residential premises,177
2023,Carjacking,100
2023,Commercial crime,74
2023,Common assault,186
2023,Common robbery,89
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,14
2023,Drug-related crime,319
2023,Illegal possession of firearms and ammunition,27
2023,Kidnapping,34
2023,Malicious damage to property,161
2023,Murder,111
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,124
2023,Robbery at non-residential premises,45
2023,Robbery at residential premises,67
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,382
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,6
2023,Shoplifting,0
2023,Stock-theft,0
2023,Street Robbery,170
2023,TRIO crimes,212
2023,Theft of motor vehicle and motorcycle,75
2023,Theft out of or from motor vehicle,70
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,322
2022,Attempted murder,56
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,36
2022,Burglary at residential premises,152
2022,Carjacking,53
2022,Commercial crime,77
2022,Common assault,167
2022,Common robbery,57
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,12
2022,Drug-related crime,214
2022,Illegal possession of firearms and ammunition,15
2022,Kidnapping,33
2022,Malicious damage to property,157
2022,Murder,78
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,93
2022,Robbery at non-residential premises,26
2022,Robbery at residential premises,48
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,266
2022,Sexual Offences detected as a result of police action,3
2022,Sexual assault,18
2022,Shoplifting,2
2022,Stock-theft,0
2022,Street Robbery,139
2022,TRIO crimes,127
2022,Theft of motor vehicle and motorcycle,66
2022,Theft out of or from motor vehicle,55
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,297
2021,Attempted murder,55
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,15
2021,Burglary at residential premises,177
2021,Carjacking,30
2021,Commercial crime,71
2021,Common assault,146
2021,Common robbery,50
2021,Contact sexual offences,2
2021,Crimen Injuria,13
2021,Culpable homicide,19
2021,Driving under the influence of alcohol or drugs,16
2021,Drug-related crime,108
2021,Illegal possession of firearms and ammunition,33
2021,Kidnapping,11
2021,Malicious damage to property,162
2021,Murder,66
2021,Neglect and ill-treatment of children,2
2021,Public violence,6
2021,Rape,73
2021,Robbery at non-residential premises,26
2021,Robbery at residential premises,45
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,162
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,10
2021,Shoplifting,0
2021,Stock-theft,0
2021,Street Robbery,60
2021,TRIO crimes,101
2021,Theft of motor vehicle and motorcycle,49
2021,Theft out of or from motor vehicle,57
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,1
2020,Assault with the intent to inflict grievous bodily harm,357
2020,Attempted murder,58
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,25
2020,Burglary at residential premises,248
2020,Carjacking,75
2020,Commercial crime,45
2020,Common assault,203
2020,Common robbery,80
2020,Contact sexual offences,2
2020,Crimen Injuria,22
2020,Culpable homicide,20
2020,Driving under the influence of alcohol or drugs,181
2020,Drug-related crime,153
2020,Illegal possession of firearms and ammunition,33
2020,Kidnapping,15
2020,Malicious damage to property,159
2020,Murder,83
2020,Neglect and ill-treatment of children,4
2020,Public violence,4
2020,Rape,95
2020,Robbery at non-residential premises,16
2020,Robbery at residential premises,61
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,260
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,19
2020,Shoplifting,0
2020,Stock-theft,0
2020,Street Robbery,107
2020,TRIO crimes,152
2020,Theft of motor vehicle and motorcycle,48
2020,Theft out of or from motor vehicle,70
2020,Truck hijacking,1
2019,Abduction,0
2019,Arson,2
2019,Assault with the intent to inflict grievous bodily harm,294
2019,Attempted murder,64
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,10
2019,Burglary at residential premises,291
2019,Carjacking,69
2019,Commercial crime,61
2019,Common assault,180
2019,Common robbery,98
2019,Contact sexual offences,1
2019,Crimen Injuria,16
2019,Culpable homicide,16
2019,Driving under the influence of alcohol or drugs,83
2019,Drug-related crime,298
2019,Illegal possession of firearms and ammunition,22
2019,Kidnapping,16
2019,Malicious damage to property,208
2019,Murder,61
2019,Neglect and ill-treatment of children,1
2019,Public violence,19
2019,Rape,82
2019,Robbery at non-residential premises,30
2019,Robbery at residential premises,51
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,273
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,20
2019,Shoplifting,0
2019,Stock-theft,0
2019,Street Robbery,122
2019,TRIO crimes,150
2019,Theft of motor vehicle and motorcycle,73
2019,Theft out of or from motor vehicle,73
2019,Truck hijacking,1
2018,Abduction,0
2018,Arson,2
2018,Assault with the intent to inflict grievous bodily harm,309
2018,Attempted murder,42
2018,Attempted sexual offences,0
2018,Bank robbery,0
2018,Burglary at non-residential premises,23
2018,Burglary at residential premises,283
2018,Carjacking,34
2018,Commercial crime,29
2018,Common assault,151
2018,Common robbery,63
2018,Contact sexual offences,1
2018,Crimen Injuria,17
2018,Culpable homicide,25
2018,Driving under the influence of alcohol or drugs,86
2018,Drug-related crime,885
2018,Illegal possession of firearms and ammunition,23
2018,Kidnapping,10
2018,Malicious damage to property,161
2018,Murder,66
2018,Neglect and ill-treatment of children,2
2018,Public violence,17
2018,Rape,71
2018,Robbery at non-residential premises,25
2018,Robbery at residential premises,28
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,195
2018,Sexual Offences detected as a result of police action,3
2018,Sexual assault,16
2018,Shoplifting,0
2018,Stock-theft,1
2018,Street Robbery,108
2018,TRIO crimes,87
2018,Theft of motor vehicle and motorcycle,85
2018,Theft out of or from motor vehicle,84
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,4
2017,Assault with the intent to inflict grievous bodily harm,223
2017,Attempted murder,33
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,24
2017,Burglary at residential premises,248
2017,Carjacking,33
2017,Commercial crime,21
2017,Common assault,73
2017,Common robbery,72
2017,Contact sexual offences,1
2017,Crimen Injuria,5
2017,Culpable homicide,20
2017,Driving under the influence of alcohol or drugs,69
2017,Drug-related crime,825
2017,Illegal possession of firearms and ammunition,39
2017,Kidnapping,5
