year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,36
2024,Attempted murder,19
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,60
2024,Burglary at residential premises,270
2024,Carjacking,6
2024,Commercial crime,837
2024,Common assault,226
2024,Common robbery,79
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,121
2024,Drug-related crime,70
2024,Illegal possession of firearms and ammunition,7
2024,Kidnapping,15
2024,Malicious damage to property,91
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,30
2024,Robbery at non-residential premises,12
2024,Robbery at residential premises,10
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,117
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,9
2024,Shoplifting,477
2024,Stock-theft,0
2024,Street Robbery,28
2024,TRIO crimes,28
2024,Theft of motor vehicle and motorcycle,146
2024,Theft out of or from motor vehicle,255
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,29
2023,Attempted murder,13
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,84
2023,Burglary at residential premises,261
2023,Carjacking,10
2023,Commercial crime,665
2023,Common assault,227
2023,Common robbery,39
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,22
2023,Drug-related crime,46
2023,Illegal possession of firearms and ammunition,5
2023,Kidnapping,16
2023,Malicious damage to property,81
2023,Murder,8
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,31
2023,Robbery at non-residential premises,13
2023,Robbery at residential premises,12
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,136
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,9
2023,Shoplifting,406
2023,Stock-theft,0
2023,Street Robbery,101
2023,TRIO crimes,35
2023,Theft of motor vehicle and motorcycle,143
