year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,172
2024,Attempted murder,117
2024,Attempted sexual offences,9
2024,Bank robbery,0
2024,Burglary at non-residential premises,127
2024,Burglary at residential premises,382
2024,Carjacking,60
2024,Commercial crime,381
2024,Common assault,235
2024,Common robbery,80
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,48
2024,Drug-related crime,51
2024,Illegal possession of firearms and ammunition,22
2024,Kidnapping,51
2024,Malicious damage to property,158
2024,Murder,52
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,50
2024,Robbery at non-residential premises,46
2024,Robbery at residential premises,90
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,382
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,1
2024,Stock-theft,1
2024,Street Robbery,200
2024,TRIO crimes,196
2024,Theft of motor vehicle and motorcycle,120
2024,Theft out of or from motor vehicle,167
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,132
2023,Attempted murder,88
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,214
2023,Burglary at residential premises,382
2023,Carjacking,91
2023,Commercial crime,287
2023,Common assault,272
2023,Common robbery,70
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,15
2023,Drug-related crime,41
2023,Illegal possession of firearms and ammunition,16
2023,Kidnapping,67
2023,Malicious damage to property,146
2023,Murder,54
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,50
2023,Robbery at non-residential premises,67
2023,Robbery at residential premises,55
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,443
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,12
2023,Shoplifting,2
2023,Stock-theft,0
2023,Street Robbery,221
2023,TRIO crimes,213
2023,Theft of motor vehicle and motorcycle,149
2023,Theft out of or from motor vehicle,209
2023,Truck hijacking,9
2022,Abduction,0
2022,Arson,42
2022,Assault with the intent to inflict grievous bodily harm,159
2022,Attempted murder,47
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,259
2022,Burglary at residential premises,361
2022,Carjacking,95
2022,Commercial crime,217
2022,Common assault,172
2022,Common robbery,68
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,-2
2022,Driving under the influence of alcohol or drugs,11
2022,Drug-related crime,130
2022,Illegal possession of firearms and ammunition,23
2022,Kidnapping,61
2022,Malicious damage to property,160
2022,Murder,51
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,31
2022,Robbery at non-residential premises,73
2022,Robbery at residential premises,63
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,415
2022,Sexual Offences detected as a result of police action,13
2022,Sexual assault,7
2022,Shoplifting,4
2022,Stock-theft,0
2022,Street Robbery,178
2022,TRIO crimes,231
2022,Theft of motor vehicle and motorcycle,155
2022,Theft out of or from motor vehicle,187
2022,Truck hijacking,6
2021,Abduction,0
2021,Arson,4
