year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,173
2024,Attempted murder,61
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,88
2024,Burglary at residential premises,380
2024,Carjacking,6
2024,Commercial crime,532
2024,Common assault,282
2024,Common robbery,40
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,91
2024,Drug-related crime,21
2024,Illegal possession of firearms and ammunition,53
2024,Kidnapping,25
2024,Malicious damage to property,128
2024,Murder,69
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,63
2024,Robbery at non-residential premises,23
2024,Robbery at residential premises,96
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,198
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,102
2024,Stock-theft,24
2024,Street Robbery,126
2024,TRIO crimes,125
2024,Theft of motor vehicle and motorcycle,44
2024,Theft out of or from motor vehicle,119
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,12
2023,Assault with the intent to inflict grievous bodily harm,169
2023,Attempted murder,68
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,115
2023,Burglary at residential premises,511
2023,Carjacking,23
2023,Commercial crime,434
2023,Common assault,280
2023,Common robbery,41
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,6
2023,Drug-related crime,56
2023,Illegal possession of firearms and ammunition,48
2023,Kidnapping,22
2023,Malicious damage to property,126
2023,Murder,97
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,57
2023,Robbery at non-residential premises,24
2023,Robbery at residential premises,99
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,228
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,11
2023,Shoplifting,105
2023,Stock-theft,10
2023,Street Robbery,81
2023,TRIO crimes,146
2023,Theft of motor vehicle and motorcycle,50
2023,Theft out of or from motor vehicle,132
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,199
2022,Attempted murder,52
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,173
2022,Burglary at residential premises,639
2022,Carjacking,21
2022,Commercial crime,314
2022,Common assault,308
2022,Common robbery,53
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,10
2022,Drug-related crime,16
2022,Illegal possession of firearms and ammunition,19
2022,Kidnapping,18
2022,Malicious damage to property,131
2022,Murder,66
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,58
2022,Robbery at non-residential premises,27
2022,Robbery at residential premises,70
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,172
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,7
2022,Shoplifting,112
2022,Stock-theft,9
2022,Street Robbery,54
2022,TRIO crimes,118
2022,Theft of motor vehicle and motorcycle,41
2022,Theft out of or from motor vehicle,128
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,170
2021,Attempted murder,29
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,117
2021,Burglary at residential premises,597
2021,Carjacking,14
2021,Commercial crime,271
2021,Common assault,232
2021,Common robbery,27
2021,Contact sexual offences,1
2021,Crimen Injuria,23
2021,Culpable homicide,15
2021,Driving under the influence of alcohol or drugs,5
2021,Drug-related crime,29
2021,Illegal possession of firearms and ammunition,23
2021,Kidnapping,6
2021,Malicious damage to property,100
2021,Murder,30
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,42
2021,Robbery at non-residential premises,30
2021,Robbery at residential premises,54
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,175
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,15
2021,Shoplifting,163
2021,Stock-theft,13
2021,Street Robbery,75
2021,TRIO crimes,98
2021,Theft of motor vehicle and motorcycle,102
2021,Theft out of or from motor vehicle,85
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,1
2020,Assault with the intent to inflict grievous bodily harm,214
2020,Attempted murder,33
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,151
2020,Burglary at residential premises,704
2020,Carjacking,10
2020,Commercial crime,264
2020,Common assault,335
2020,Common robbery,32
2020,Contact sexual offences,2
2020,Crimen Injuria,39
2020,Culpable homicide,25
2020,Driving under the influence of alcohol or drugs,322
2020,Drug-related crime,26
2020,Illegal possession of firearms and ammunition,23
