year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,343
2024,Attempted murder,75
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,52
2024,Burglary at residential premises,255
2024,Carjacking,92
2024,Commercial crime,85
2024,Common assault,260
2024,Common robbery,40
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,21
2024,Drug-related crime,74
2024,Illegal possession of firearms and ammunition,25
2024,Kidnapping,19
2024,Malicious damage to property,106
2024,Murder,104
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,72
2024,Robbery at non-residential premises,34
2024,Robbery at residential premises,82
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,407
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,8
2024,Shoplifting,3
2024,Stock-theft,4
2024,Street Robbery,209
2024,TRIO crimes,208
2024,Theft of motor vehicle and motorcycle,38
2024,Theft out of or from motor vehicle,44
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,280
2023,Attempted murder,83
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,38
2023,Burglary at residential premises,258
2023,Carjacking,113
2023,Commercial crime,67
2023,Common assault,244
2023,Common robbery,39
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,4
2023,Drug-related crime,76
2023,Illegal possession of firearms and ammunition,22
2023,Kidnapping,27
2023,Malicious damage to property,103
2023,Murder,159
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,64
2023,Robbery at non-residential premises,49
2023,Robbery at residential premises,63
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,416
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,4
2023,Stock-theft,1
2023,Street Robbery,190
2023,TRIO crimes,225
2023,Theft of motor vehicle and motorcycle,47
2023,Theft out of or from motor vehicle,52
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,281
2022,Attempted murder,69
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,75
2022,Burglary at residential premises,223
2022,Carjacking,47
2022,Commercial crime,73
2022,Common assault,239
2022,Common robbery,39
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,4
2022,Drug-related crime,49
2022,Illegal possession of firearms and ammunition,18
2022,Kidnapping,28
2022,Malicious damage to property,83
2022,Murder,114
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,71
2022,Robbery at non-residential premises,44
