year,category,value
2024,Abduction,0
2024,Arson,15
2024,Assault with the intent to inflict grievous bodily harm,297
2024,Attempted murder,52
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,48
2024,Burglary at residential premises,345
2024,Carjacking,48
2024,Commercial crime,100
2024,Common assault,192
2024,Common robbery,29
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,1
2024,Drug-related crime,63
2024,Illegal possession of firearms and ammunition,12
2024,Kidnapping,15
2024,Malicious damage to property,148
2024,Murder,87
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,74
2024,Robbery at non-residential premises,34
2024,Robbery at residential premises,80
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,258
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,12
2024,Shoplifting,0
2024,Stock-theft,11
2024,Street Robbery,162
2024,TRIO crimes,162
2024,Theft of motor vehicle and motorcycle,29
2024,Theft out of or from motor vehicle,52
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,12
2023,Assault with the intent to inflict grievous bodily harm,269
2023,Attempted murder,37
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,33
2023,Burglary at residential premises,348
2023,Carjacking,26
2023,Commercial crime,93
2023,Common assault,249
2023,Common robbery,35
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,2
2023,Drug-related crime,102
2023,Illegal possession of firearms and ammunition,27
2023,Kidnapping,9
2023,Malicious damage to property,138
2023,Murder,90
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,91
2023,Robbery at non-residential premises,19
2023,Robbery at residential premises,86
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,212
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,28
2023,Shoplifting,1
2023,Stock-theft,14
2023,Street Robbery,81
2023,TRIO crimes,131
2023,Theft of motor vehicle and motorcycle,24
2023,Theft out of or from motor vehicle,33
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,17
2022,Assault with the intent to inflict grievous bodily harm,249
2022,Attempted murder,48
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,50
2022,Burglary at residential premises,362
2022,Carjacking,43
2022,Commercial crime,77
2022,Common assault,153
2022,Common robbery,41
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,4
2022,Drug-related crime,46
2022,Illegal possession of firearms and ammunition,19
2022,Kidnapping,19
2022,Malicious damage to property,171
2022,Murder,83
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,96
2022,Robbery at non-residential premises,24
2022,Robbery at residential premises,84
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,252
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,10
2022,Shoplifting,0
2022,Stock-theft,30
2022,Street Robbery,101
2022,TRIO crimes,151
2022,Theft of motor vehicle and motorcycle,25
2022,Theft out of or from motor vehicle,36
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,16
2021,Assault with the intent to inflict grievous bodily harm,249
2021,Attempted murder,56
2021,Attempted sexual offences,6
2021,Bank robbery,0
2021,Burglary at non-residential premises,48
2021,Burglary at residential premises,395
2021,Carjacking,38
2021,Commercial crime,68
2021,Common assault,178
2021,Common robbery,36
2021,Contact sexual offences,1
2021,Crimen Injuria,2
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,1
2021,Drug-related crime,100
2021,Illegal possession of firearms and ammunition,18
2021,Kidnapping,11
2021,Malicious damage to property,158
2021,Murder,102
2021,Neglect and ill-treatment of children,4
2021,Public violence,3
2021,Rape,69
2021,Robbery at non-residential premises,38
2021,Robbery at residential premises,101
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,258
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,8
2021,Shoplifting,5
2021,Stock-theft,13
2021,Street Robbery,81
2021,TRIO crimes,177
2021,Theft of motor vehicle and motorcycle,49
2021,Theft out of or from motor vehicle,73
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,14
2020,Assault with the intent to inflict grievous bodily harm,319
2020,Attempted murder,34
2020,Attempted sexual offences,6
2020,Bank robbery,0
2020,Burglary at non-residential premises,63
2020,Burglary at residential premises,472
2020,Carjacking,51
2020,Commercial crime,41
2020,Common assault,148
2020,Common robbery,44
2020,Contact sexual offences,0
2020,Crimen Injuria,8
2020,Culpable homicide,10
2020,Driving under the influence of alcohol or drugs,10
2020,Drug-related crime,55
2020,Illegal possession of firearms and ammunition,18
2020,Kidnapping,11
2020,Malicious damage to property,131
2020,Murder,66
2020,Neglect and ill-treatment of children,2
2020,Public violence,3
2020,Rape,91
2020,Robbery at non-residential premises,36
2020,Robbery at residential premises,108
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,313
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,6
2020,Shoplifting,4
2020,Stock-theft,13
2020,Street Robbery,118
2020,TRIO crimes,195
2020,Theft of motor vehicle and motorcycle,66
2020,Theft out of or from motor vehicle,61
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,9
2019,Assault with the intent to inflict grievous bodily harm,357
2019,Attempted murder,48
2019,Attempted sexual offences,4
2019,Bank robbery,0
2019,Burglary at non-residential premises,60
2019,Burglary at residential premises,478
2019,Carjacking,39
2019,Commercial crime,46
2019,Common assault,141
2019,Common robbery,61
2019,Contact sexual offences,1
2019,Crimen Injuria,6
2019,Culpable homicide,14
2019,Driving under the influence of alcohol or drugs,7
2019,Drug-related crime,126
2019,Illegal possession of firearms and ammunition,31
2019,Kidnapping,13
2019,Malicious damage to property,145
2019,Murder,78
2019,Neglect and ill-treatment of children,3
2019,Public violence,3
2019,Rape,99
2019,Robbery at non-residential premises,30
2019,Robbery at residential premises,75
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,239
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,4
2019,Shoplifting,2
2019,Stock-theft,20
2019,Street Robbery,95
2019,TRIO crimes,144
2019,Theft of motor vehicle and motorcycle,51
2019,Theft out of or from motor vehicle,49
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,15
2018,Assault with the intent to inflict grievous bodily harm,357
2018,Attempted murder,44
2018,Attempted sexual offences,3
2018,Bank robbery,0
2018,Burglary at non-residential premises,37
2018,Burglary at residential premises,425
2018,Carjacking,67
2018,Commercial crime,27
2018,Common assault,110
2018,Common robbery,38
2018,Contact sexual offences,0
2018,Crimen Injuria,8
2018,Culpable homicide,14
2018,Driving under the influence of alcohol or drugs,48
2018,Drug-related crime,266
2018,Illegal possession of firearms and ammunition,31
2018,Kidnapping,12
2018,Malicious damage to property,121
2018,Murder,67
2018,Neglect and ill-treatment of children,3
2018,Public violence,1
2018,Rape,94
2018,Robbery at non-residential premises,13
2018,Robbery at residential premises,93
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,251
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,5
2018,Shoplifting,0
2018,Stock-theft,20
2018,Street Robbery,78
2018,TRIO crimes,173
2018,Theft of motor vehicle and motorcycle,44
2018,Theft out of or from motor vehicle,45
2018,Truck hijacking,0
2017,Abduction,1
2017,Arson,18
2017,Assault with the intent to inflict grievous bodily harm,305
2017,Attempted murder,39
2017,Attempted sexual offences,3
2017,Bank robbery,0
2017,Burglary at non-residential premises,39
2017,Burglary at residential premises,576
2017,Carjacking,34
2017,Commercial crime,31
2017,Common assault,96
2017,Common robbery,43
2017,Contact sexual offences,2
2017,Crimen Injuria,9
2017,Culpable homicide,15
2017,Driving under the influence of alcohol or drugs,72
2017,Drug-related crime,123
2017,Illegal possession of firearms and ammunition,27
2017,Kidnapping,10
2017,Malicious damage to property,124
2017,Murder,43
2017,Neglect and ill-treatment of children,6
2017,Public violence,3
2017,Rape,99
2017,Robbery at non-residential premises,15
2017,Robbery at residential premises,67
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,176
2017,Sexual Offences detected as a result of police action,1
2017,Sexual assault,9
2017,Shoplifting,0
2017,Stock-theft,7
2017,Street Robbery,60
2017,TRIO crimes,116
2017,Theft of motor vehicle and motorcycle,33
2017,Theft out of or from motor vehicle,50
2017,Truck hijacking,0
2016,Arson,16
2016,Assault with the intent to inflict grievous bodily harm,331
2016,Attempted murder,41
2016,Attempted sexual offences,8
2016,Bank robbery,0
2016,Burglary at non-residential premises,39
2016,Burglary at residential premises,557
2016,Carjacking,37
2016,Commercial crime,12
2016,Common assault,97
2016,Common robbery,62
2016,Contact sexual offences,2
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,95
2016,Drug-related crime,125
2016,Illegal possession of firearms and ammunition,48
2016,Kidnapping,15
2016,Malicious damage to property,141
2016,Murder,62
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,108
2016,Robbery at non-residential premises,11
2016,Robbery at residential premises,74
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,196
2016,Sexual Offences detected as a result of police action,1
2016,Sexual assault,5
2016,Shoplifting,0
2016,Stock-theft,24
2016,Street Robbery,73
2016,TRIO crimes,122
2016,Theft of motor vehicle and motorcycle,27
2016,Theft out of or from motor vehicle,73
2016,Truck hijacking,1
2015,Arson,11
2015,Assault with the intent to inflict grievous bodily harm,356
2015,Attempted murder,48
2015,Attempted sexual offences,3
2015,Bank robbery,0
2015,Burglary at non-residential premises,35
2015,Burglary at residential premises,484
2015,Carjacking,23
2015,Commercial crime,15
2015,Common assault,125
2015,Common robbery,56
2015,Contact sexual offences,1
2015,Crimen Injuria,8
2015,Culpable homicide,15
2015,Driving under the influence of alcohol or drugs,136
2015,Drug-related crime,101
2015,Illegal possession of firearms and ammunition,22
2015,Kidnapping,16
2015,Malicious damage to property,119
2015,Murder,61
2015,Neglect and ill-treatment of children,6
2015,Public violence,0
2015,Rape,78
2015,Robbery at non-residential premises,22
2015,Robbery at residential premises,74
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,183
2015,Sexual Offences detected as a result of police action,0
2015,Sexual assault,6
2015,Shoplifting,0
2015,Stock-theft,31
2015,Street Robbery,64
2015,TRIO crimes,119
2015,Theft of motor vehicle and motorcycle,25
2015,Theft out of or from motor vehicle,65
2015,Truck hijacking,0
2014,Arson,11
2014,Assault with the intent to inflict grievous bodily harm,295
2014,Attempted murder,25
2014,Attempted sexual offences,8
2014,Bank robbery,0
2014,Burglary at non-residential premises,30
2014,Burglary at residential premises,439
2014,Carjacking,22
2014,Commercial crime,19
2014,Common assault,127
2014,Common robbery,64
2014,Contact sexual offences,4
2014,Crimen Injuria,7
2014,Culpable homicide,12
2014,Driving under the influence of alcohol or drugs,63
2014,Drug-related crime,148
2014,Illegal possession of firearms and ammunition,34
2014,Kidnapping,11
2014,Malicious damage to property,106
2014,Murder,54
2014,Neglect and ill-treatment of children,9
2014,Public violence,0
2014,Rape,137
2014,Robbery at non-residential premises,16
2014,Robbery at residential premises,40
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,130
2014,Sexual Offences detected as a result of police action,2
2014,Sexual assault,4
2014,Shoplifting,2
2014,Stock-theft,18
2014,Street Robbery,52
2014,TRIO crimes,78
2014,Theft of motor vehicle and motorcycle,35
2014,Theft out of or from motor vehicle,40
2014,Truck hijacking,0
2013,Arson,19
2013,Assault with the intent to inflict grievous bodily harm,310
2013,Attempted murder,32
2013,Attempted sexual offences,5
2013,Bank robbery,0
2013,Burglary at non-residential premises,41
2013,Burglary at residential premises,555
2013,Carjacking,19
2013,Commercial crime,20
2013,Common assault,157
2013,Common robbery,56
2013,Contact sexual offences,5
2013,Crimen Injuria,10
2013,Culpable homicide,21
2013,Driving under the influence of alcohol or drugs,18
2013,Drug-related crime,129
2013,Illegal possession of firearms and ammunition,48
2013,Kidnapping,12
2013,Malicious damage to property,121
2013,Murder,54
2013,Neglect and ill-treatment of children,6
2013,Public violence,0
2013,Rape,118
2013,Robbery at non-residential premises,7
2013,Robbery at residential premises,25
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,111
2013,Sexual Offences detected as a result of police action,2
2013,Sexual assault,8
2013,Shoplifting,0
2013,Stock-theft,23
2013,Street Robbery,60
2013,TRIO crimes,51
2013,Theft of motor vehicle and motorcycle,33
2013,Theft out of or from motor vehicle,50
2013,Truck hijacking,0
2012,Arson,12
2012,Assault with the intent to inflict grievous bodily harm,275
2012,Attempted murder,42
2012,Attempted sexual offences,8
2012,Bank robbery,0
2012,Burglary at non-residential premises,31
2012,Burglary at residential premises,408
2012,Carjacking,19
2012,Commercial crime,16
2012,Common assault,116
2012,Common robbery,53
2012,Contact sexual offences,12
2012,Crimen Injuria,8
2012,Culpable homicide,12
2012,Driving under the influence of alcohol or drugs,17
2012,Drug-related crime,187
2012,Illegal possession of firearms and ammunition,53
2012,Kidnapping,9
2012,Malicious damage to property,92
2012,Murder,44
2012,Neglect and ill-treatment of children,5
2012,Public violence,0
2012,Rape,128
2012,Robbery at non-residential premises,8
2012,Robbery at residential premises,33
2012,Robbery of cash in transit,0
2012,Robbery with aggravating circumstances,115
2012,Sexual Offences detected as a result of police action,1
2012,Sexual assault,6
2012,Shoplifting,1
2012,Stock-theft,8
2012,Street Robbery,55
2012,TRIO crimes,60
2012,Theft of motor vehicle and motorcycle,25
2012,Theft out of or from motor vehicle,70
2012,Truck hijacking,0
2011,Arson,17
2011,Assault with the intent to inflict grievous bodily harm,249
2011,Attempted murder,49
2011,Attempted sexual offences,7
2011,Bank robbery,0
2011,Burglary at non-residential premises,60
2011,Burglary at residential premises,341
2011,Carjacking,41
2011,Commercial crime,7
2011,Common assault,121
2011,Common robbery,63
2011,Contact sexual offences,4
2011,Crimen Injuria,5
2011,Culpable homicide,16
2011,Driving under the influence of alcohol or drugs,16
2011,Drug-related crime,180
2011,Illegal possession of firearms and ammunition,54
2011,Kidnapping,4
2011,Malicious damage to property,85
2011,Murder,54
2011,Neglect and ill-treatment of children,8
2011,Public violence,0
2011,Rape,145
2011,Robbery at non-residential premises,12
2011,Robbery at residential premises,62
2011,Robbery of cash in transit,0
2011,Robbery with aggravating circumstances,188
2011,Sexual Offences detected as a result of police action,0
2011,Sexual assault,4
2011,Shoplifting,0
2011,Stock-theft,6
2011,Street Robbery,72
2011,TRIO crimes,115
2011,Theft of motor vehicle and motorcycle,22
2011,Theft out of or from motor vehicle,56
2011,Truck hijacking,1
2010,Arson,15
2010,Assault with the intent to inflict grievous bodily harm,298
2010,Attempted murder,53
2010,Attempted sexual offences,2
2010,Bank robbery,0
2010,Burglary at non-residential premises,28
2010,Burglary at residential premises,297
2010,Carjacking,58
2010,Commercial crime,4
2010,Common assault,129
2010,Common robbery,55
2010,Contact sexual offences,3
2010,Crimen Injuria,8
2010,Culpable homicide,18
2010,Driving under the influence of alcohol or drugs,12
2010,Drug-related crime,101
2010,Illegal possession of firearms and ammunition,48
2010,Kidnapping,3
2010,Malicious damage to property,104
2010,Murder,69
2010,Neglect and ill-treatment of children,8
2010,Public violence,0
2010,Rape,138
2010,Robbery at non-residential premises,7
2010,Robbery at residential premises,74
2010,Robbery of cash in transit,0
2010,Robbery with aggravating circumstances,201
2010,Sexual Offences detected as a result of police action,0
2010,Sexual assault,3
2010,Shoplifting,0
2010,Stock-theft,10
2010,Street Robbery,62
2010,TRIO crimes,139
2010,Theft of motor vehicle and motorcycle,53
2010,Theft out of or from motor vehicle,35
2010,Truck hijacking,0
2009,Arson,12
2009,Assault with the intent to inflict grievous bodily harm,235
2009,Attempted murder,47
2009,Attempted sexual offences,1
2009,Bank robbery,0
2009,Burglary at non-residential premises,40
2009,Burglary at residential premises,185
2009,Carjacking,43
2009,Commercial crime,7
2009,Common assault,96
2009,Common robbery,33
