year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,371
2024,Attempted murder,145
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,35
2024,Burglary at residential premises,240
2024,Carjacking,129
2024,Commercial crime,195
2024,Common assault,295
2024,Common robbery,101
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,29
2024,Drug-related crime,534
2024,Illegal possession of firearms and ammunition,36
2024,Kidnapping,89
2024,Malicious damage to property,210
2024,Murder,160
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,92
2024,Robbery at non-residential premises,25
2024,Robbery at residential premises,79
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,578
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,16
2024,Shoplifting,148
2024,Stock-theft,3
2024,Street Robbery,235
2024,TRIO crimes,233
2024,Theft of motor vehicle and motorcycle,53
2024,Theft out of or from motor vehicle,115
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,305
2023,Attempted murder,216
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,35
2023,Burglary at residential premises,224
2023,Carjacking,167
2023,Commercial crime,126
2023,Common assault,349
2023,Common robbery,86
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,2
2023,Drug-related crime,427
2023,Illegal possession of firearms and ammunition,93
2023,Kidnapping,91
2023,Malicious damage to property,161
2023,Murder,191
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,104
2023,Robbery at non-residential premises,43
2023,Robbery at residential premises,109
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,701
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,11
2023,Shoplifting,2
2023,Stock-theft,0
2023,Street Robbery,376
2023,TRIO crimes,319
2023,Theft of motor vehicle and motorcycle,31
2023,Theft out of or from motor vehicle,60
2023,Truck hijacking,5
2022,Abduction,0
2022,Arson,11
2022,Assault with the intent to inflict grievous bodily harm,340
2022,Attempted murder,190
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,73
2022,Burglary at residential premises,191
2022,Carjacking,113
2022,Commercial crime,128
2022,Common assault,325
2022,Common robbery,88
2022,Contact sexual offences,1
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,2
2022,Drug-related crime,429
2022,Illegal possession of firearms and ammunition,58
2022,Kidnapping,77
2022,Malicious damage to property,201
2022,Murder,159
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,121
2022,Robbery at non-residential premises,50
2022,Robbery at residential premises,66
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,586
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,24
2022,Shoplifting,34
2022,Stock-theft,1
2022,Street Robbery,356
2022,TRIO crimes,229
2022,Theft of motor vehicle and motorcycle,41
2022,Theft out of or from motor vehicle,109
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,8
2021,Assault with the intent to inflict grievous bodily harm,297
2021,Attempted murder,117
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,90
2021,Burglary at residential premises,184
2021,Carjacking,93
2021,Commercial crime,169
2021,Common assault,351
2021,Common robbery,112
2021,Contact sexual offences,5
2021,Crimen Injuria,41
2021,Culpable homicide,23
2021,Driving under the influence of alcohol or drugs,13
2021,Drug-related crime,338
2021,Illegal possession of firearms and ammunition,56
2021,Kidnapping,68
2021,Malicious damage to property,191
2021,Murder,94
2021,Neglect and ill-treatment of children,2
2021,Public violence,5
2021,Rape,105
2021,Robbery at non-residential premises,47
2021,Robbery at residential premises,45
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,559
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,18
2021,Shoplifting,135
2021,Stock-theft,0
2021,Street Robbery,371
2021,TRIO crimes,185
2021,Theft of motor vehicle and motorcycle,71
2021,Theft out of or from motor vehicle,160
2021,Truck hijacking,3
2020,Abduction,0
2020,Arson,13
2020,Assault with the intent to inflict grievous bodily harm,399
2020,Attempted murder,116
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,84
2020,Burglary at residential premises,300
2020,Carjacking,87
2020,Commercial crime,223
2020,Common assault,474
2020,Common robbery,171
2020,Contact sexual offences,2
2020,Crimen Injuria,46
2020,Culpable homicide,24
2020,Driving under the influence of alcohol or drugs,178
2020,Drug-related crime,527
2020,Illegal possession of firearms and ammunition,58
