year,category,value
2024,Abduction,0
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,81
2024,Attempted murder,60
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,32
2024,Burglary at residential premises,175
2024,Carjacking,53
2024,Commercial crime,37
2024,Common assault,130
2024,Common robbery,20
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,2
2024,Drug-related crime,40
2024,Illegal possession of firearms and ammunition,8
2024,Kidnapping,16
2024,Malicious damage to property,71
2024,Murder,80
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,27
2024,Robbery at non-residential premises,11
2024,Robbery at residential premises,46
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,164
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,0
2024,Stock-theft,15
2024,Street Robbery,110
2024,TRIO crimes,110
2024,Theft of motor vehicle and motorcycle,6
2024,Theft out of or from motor vehicle,20
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,82
2023,Attempted murder,45
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,38
2023,Burglary at residential premises,144
2023,Carjacking,48
2023,Commercial crime,25
2023,Common assault,98
2023,Common robbery,19
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,0
2023,Drug-related crime,29
2023,Illegal possession of firearms and ammunition,16
2023,Kidnapping,7
2023,Malicious damage to property,76
2023,Murder,94
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,22
2023,Robbery at non-residential premises,14
2023,Robbery at residential premises,54
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,158
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,3
2023,Shoplifting,0
2023,Stock-theft,12
2023,Street Robbery,42
2023,TRIO crimes,116
2023,Theft of motor vehicle and motorcycle,7
2023,Theft out of or from motor vehicle,11
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,85
2022,Attempted murder,65
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,41
2022,Burglary at residential premises,136
2022,Carjacking,37
2022,Commercial crime,18
2022,Common assault,87
2022,Common robbery,19
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,3
2022,Drug-related crime,41
2022,Illegal possession of firearms and ammunition,29
2022,Kidnapping,13
2022,Malicious damage to property,79
2022,Murder,50
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,17
2022,Robbery at non-residential premises,13
2022,Robbery at residential premises,21
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,131
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,3
2022,Shoplifting,0
2022,Stock-theft,25
2022,Street Robbery,59
2022,TRIO crimes,71
2022,Theft of motor vehicle and motorcycle,5
2022,Theft out of or from motor vehicle,15
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,66
2021,Attempted murder,42
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,26
2021,Burglary at residential premises,128
2021,Carjacking,40
2021,Commercial crime,20
2021,Common assault,92
2021,Common robbery,18
2021,Contact sexual offences,0
2021,Crimen Injuria,6
2021,Culpable homicide,6
2021,Driving under the influence of alcohol or drugs,1
2021,Drug-related crime,26
2021,Illegal possession of firearms and ammunition,27
2021,Kidnapping,15
2021,Malicious damage to property,52
2021,Murder,46
2021,Neglect and ill-treatment of children,1
2021,Public violence,1
2021,Rape,26
2021,Robbery at non-residential premises,33
2021,Robbery at residential premises,26
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,143
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,6
2021,Shoplifting,0
2021,Stock-theft,15
2021,Street Robbery,44
2021,TRIO crimes,99
2021,Theft of motor vehicle and motorcycle,6
2021,Theft out of or from motor vehicle,21
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,99
2020,Attempted murder,37
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,29
2020,Burglary at residential premises,203
2020,Carjacking,35
2020,Commercial crime,9
2020,Common assault,104
2020,Common robbery,25
2020,Contact sexual offences,0
2020,Crimen Injuria,3
2020,Culpable homicide,7
2020,Driving under the influence of alcohol or drugs,46
2020,Drug-related crime,94
2020,Illegal possession of firearms and ammunition,27
2020,Kidnapping,1
2020,Malicious damage to property,56
2020,Murder,41
2020,Neglect and ill-treatment of children,2
2020,Public violence,1
2020,Rape,28
2020,Robbery at non-residential premises,19
2020,Robbery at residential premises,15
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,103
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,5
2020,Shoplifting,0
2020,Stock-theft,32
2020,Street Robbery,34
2020,TRIO crimes,69
2020,Theft of motor vehicle and motorcycle,14
2020,Theft out of or from motor vehicle,13
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,1
2019,Assault with the intent to inflict grievous bodily harm,96
2019,Attempted murder,20
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,32
2019,Burglary at residential premises,222
2019,Carjacking,42
2019,Commercial crime,7
2019,Common assault,43
2019,Common robbery,12
2019,Contact sexual offences,1
2019,Crimen Injuria,2
2019,Culpable homicide,5
2019,Driving under the influence of alcohol or drugs,25
2019,Drug-related crime,271
2019,Illegal possession of firearms and ammunition,52
2019,Kidnapping,2
2019,Malicious damage to property,35
2019,Murder,43
2019,Neglect and ill-treatment of children,1
2019,Public violence,0
2019,Rape,28
2019,Robbery at non-residential premises,21
2019,Robbery at residential premises,8
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,96
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,4
2019,Shoplifting,0
2019,Stock-theft,19
2019,Street Robbery,24
2019,TRIO crimes,71
2019,Theft of motor vehicle and motorcycle,10
2019,Theft out of or from motor vehicle,10
2019,Truck hijacking,1
2018,Abduction,0
2018,Arson,0
2018,Assault with the intent to inflict grievous bodily harm,100
2018,Attempted murder,27
2018,Attempted sexual offences,0
2018,Bank robbery,0
2018,Burglary at non-residential premises,32
2018,Burglary at residential premises,202
2018,Carjacking,22
2018,Commercial crime,2
2018,Common assault,87
2018,Common robbery,16
2018,Contact sexual offences,0
2018,Crimen Injuria,3
2018,Culpable homicide,5
2018,Driving under the influence of alcohol or drugs,29
2018,Drug-related crime,465
2018,Illegal possession of firearms and ammunition,30
2018,Kidnapping,0
2018,Malicious damage to property,49
2018,Murder,39
2018,Neglect and ill-treatment of children,1
2018,Public violence,1
2018,Rape,25
2018,Robbery at non-residential premises,7
2018,Robbery at residential premises,11
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,67
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,7
2018,Shoplifting,0
2018,Stock-theft,15
2018,Street Robbery,27
2018,TRIO crimes,40
2018,Theft of motor vehicle and motorcycle,13
2018,Theft out of or from motor vehicle,18
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,0
2017,Assault with the intent to inflict grievous bodily harm,162
2017,Attempted murder,18
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,21
2017,Burglary at residential premises,232
