year,category,value
2024,Abduction,0
2024,Arson,9
2024,Assault with the intent to inflict grievous bodily harm,198
2024,Attempted murder,116
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,43
2024,Burglary at residential premises,241
2024,Carjacking,149
2024,Commercial crime,103
2024,Common assault,244
2024,Common robbery,41
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,17
2024,Drug-related crime,229
2024,Illegal possession of firearms and ammunition,69
2024,Kidnapping,27
2024,Malicious damage to property,107
2024,Murder,152
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,67
2024,Robbery at non-residential premises,39
2024,Robbery at residential premises,167
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,503
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,46
2024,Stock-theft,21
2024,Street Robbery,356
2024,TRIO crimes,355
2024,Theft of motor vehicle and motorcycle,67
2024,Theft out of or from motor vehicle,34
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,156
2023,Attempted murder,158
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,39
2023,Burglary at residential premises,233
2023,Carjacking,178
2023,Commercial crime,107
2023,Common assault,236
2023,Common robbery,39
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,1
2023,Drug-related crime,185
2023,Illegal possession of firearms and ammunition,64
2023,Kidnapping,40
2023,Malicious damage to property,131
2023,Murder,203
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,76
2023,Robbery at non-residential premises,61
2023,Robbery at residential premises,151
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,553
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,26
2023,Stock-theft,13
2023,Street Robbery,163
2023,TRIO crimes,390
2023,Theft of motor vehicle and motorcycle,59
2023,Theft out of or from motor vehicle,54
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,20
2022,Assault with the intent to inflict grievous bodily harm,209
2022,Attempted murder,154
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,90
2022,Burglary at residential premises,364
2022,Carjacking,132
2022,Commercial crime,119
2022,Common assault,382
2022,Common robbery,79
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,14
2022,Drug-related crime,143
2022,Illegal possession of firearms and ammunition,52
2022,Kidnapping,66
2022,Malicious damage to property,232
2022,Murder,133
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,75
2022,Robbery at non-residential premises,51
2022,Robbery at residential premises,82
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,465
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,15
2022,Shoplifting,60
2022,Stock-theft,30
2022,Street Robbery,200
2022,TRIO crimes,265
2022,Theft of motor vehicle and motorcycle,80
2022,Theft out of or from motor vehicle,65
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,166
2021,Attempted murder,124
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,82
2021,Burglary at residential premises,336
2021,Carjacking,132
2021,Commercial crime,115
2021,Common assault,280
2021,Common robbery,62
2021,Contact sexual offences,0
2021,Crimen Injuria,42
2021,Culpable homicide,16
2021,Driving under the influence of alcohol or drugs,10
2021,Drug-related crime,148
2021,Illegal possession of firearms and ammunition,52
2021,Kidnapping,34
2021,Malicious damage to property,186
2021,Murder,102
2021,Neglect and ill-treatment of children,0
2021,Public violence,2
2021,Rape,63
2021,Robbery at non-residential premises,53
2021,Robbery at residential premises,109
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,438
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,11
2021,Shoplifting,24
2021,Stock-theft,22
2021,Street Robbery,143
2021,TRIO crimes,294
2021,Theft of motor vehicle and motorcycle,32
2021,Theft out of or from motor vehicle,92
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,227
2020,Attempted murder,140
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,53
2020,Burglary at residential premises,444
2020,Carjacking,116
2020,Commercial crime,92
2020,Common assault,312
2020,Common robbery,81
2020,Contact sexual offences,0
2020,Crimen Injuria,35
2020,Culpable homicide,18
2020,Driving under the influence of alcohol or drugs,61
2020,Drug-related crime,286
2020,Illegal possession of firearms and ammunition,52
2020,Kidnapping,31
2020,Malicious damage to property,194
2020,Murder,100
2020,Neglect and ill-treatment of children,2
2020,Public violence,3
2020,Rape,81
2020,Robbery at non-residential premises,47
2020,Robbery at residential premises,98
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,393
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,15
2020,Shoplifting,9
2020,Stock-theft,13
2020,Street Robbery,132
2020,TRIO crimes,261
2020,Theft of motor vehicle and motorcycle,74
2020,Theft out of or from motor vehicle,92
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,8
2019,Assault with the intent to inflict grievous bodily harm,256
2019,Attempted murder,124
2019,Attempted sexual offences,0
2019,Bank robbery,0
2019,Burglary at non-residential premises,57
2019,Burglary at residential premises,531
2019,Carjacking,134
2019,Commercial crime,72
2019,Common assault,226
2019,Common robbery,61
2019,Contact sexual offences,0
2019,Crimen Injuria,30
2019,Culpable homicide,18
2019,Driving under the influence of alcohol or drugs,94
2019,Drug-related crime,524
2019,Illegal possession of firearms and ammunition,37
2019,Kidnapping,18
2019,Malicious damage to property,181
2019,Murder,96
2019,Neglect and ill-treatment of children,3
2019,Public violence,9
2019,Rape,78
2019,Robbery at non-residential premises,44
2019,Robbery at residential premises,79
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,393
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,14
2019,Shoplifting,13
2019,Stock-theft,8
2019,Street Robbery,136
2019,TRIO crimes,257
2019,Theft of motor vehicle and motorcycle,61
2019,Theft out of or from motor vehicle,76
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,263
2018,Attempted murder,99
2018,Attempted sexual offences,1
2018,Bank robbery,0
2018,Burglary at non-residential premises,82
2018,Burglary at residential premises,654
2018,Carjacking,80
2018,Commercial crime,64
2018,Common assault,322
2018,Common robbery,65
2018,Contact sexual offences,0
2018,Crimen Injuria,38
2018,Culpable homicide,23
2018,Driving under the influence of alcohol or drugs,77
2018,Drug-related crime,958
2018,Illegal possession of firearms and ammunition,50
2018,Kidnapping,29
2018,Malicious damage to property,189
2018,Murder,96
2018,Neglect and ill-treatment of children,3
2018,Public violence,11
2018,Rape,80
2018,Robbery at non-residential premises,26
2018,Robbery at residential premises,62
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,332
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,18
2018,Shoplifting,21
2018,Stock-theft,11
2018,Street Robbery,162
2018,TRIO crimes,168
2018,Theft of motor vehicle and motorcycle,58
2018,Theft out of or from motor vehicle,134
2018,Truck hijacking,1
2017,Abduction,0
2017,Arson,5
2017,Assault with the intent to inflict grievous bodily harm,280
2017,Attempted murder,91
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,68
2017,Burglary at residential premises,608
2017,Carjacking,52
2017,Commercial crime,42
2017,Common assault,347
2017,Common robbery,80
2017,Contact sexual offences,2
2017,Crimen Injuria,63
2017,Culpable homicide,23
2017,Driving under the influence of alcohol or drugs,77
2017,Drug-related crime,766
2017,Illegal possession of firearms and ammunition,38
2017,Kidnapping,14
2017,Malicious damage to property,194
2017,Murder,64
2017,Neglect and ill-treatment of children,2
2017,Public violence,9
2017,Rape,68
2017,Robbery at non-residential premises,31
2017,Robbery at residential premises,40
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,270
2017,Sexual Offences detected as a result of police action,0
2017,Sexual assault,12
2017,Shoplifting,17
2017,Stock-theft,3
2017,Street Robbery,144
2017,TRIO crimes,123
2017,Theft of motor vehicle and motorcycle,56
2017,Theft out of or from motor vehicle,128
2017,Truck hijacking,3
2016,Arson,17
2016,Assault with the intent to inflict grievous bodily harm,423
2016,Attempted murder,105
2016,Attempted sexual offences,0
2016,Bank robbery,0
2016,Burglary at non-residential premises,75
2016,Burglary at residential premises,755
2016,Carjacking,47
2016,Commercial crime,61
2016,Common assault,335
2016,Common robbery,95
2016,Contact sexual offences,0
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,44
2016,Drug-related crime,612
2016,Illegal possession of firearms and ammunition,37
2016,Kidnapping,25
2016,Malicious damage to property,246
2016,Murder,60
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,70
2016,Robbery at non-residential premises,28
2016,Robbery at residential premises,54
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,290
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,23
2016,Shoplifting,21
2016,Stock-theft,0
2016,Street Robbery,160
2016,TRIO crimes,129
2016,Theft of motor vehicle and motorcycle,58
2016,Theft out of or from motor vehicle,181
2016,Truck hijacking,1
2015,Arson,5
2015,Assault with the intent to inflict grievous bodily harm,480
2015,Attempted murder,61
2015,Attempted sexual offences,1
2015,Bank robbery,0
2015,Burglary at non-residential premises,55
2015,Burglary at residential premises,676
2015,Carjacking,69
2015,Commercial crime,37
2015,Common assault,355
2015,Common robbery,122
2015,Contact sexual offences,0
2015,Crimen Injuria,75
2015,Culpable homicide,15
2015,Driving under the influence of alcohol or drugs,48
2015,Drug-related crime,1140
2015,Illegal possession of firearms and ammunition,52
2015,Kidnapping,17
2015,Malicious damage to property,227
2015,Murder,64
2015,Neglect and ill-treatment of children,0
2015,Public violence,0
2015,Rape,89
2015,Robbery at non-residential premises,26
2015,Robbery at residential premises,47
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,288
2015,Sexual Offences detected as a result of police action,1
2015,Sexual assault,12
2015,Shoplifting,25
2015,Stock-theft,6
2015,Street Robbery,146
2015,TRIO crimes,142
2015,Theft of motor vehicle and motorcycle,45
2015,Theft out of or from motor vehicle,115
2015,Truck hijacking,0
2014,Arson,11
2014,Assault with the intent to inflict grievous bodily harm,386
2014,Attempted murder,50
2014,Attempted sexual offences,0
2014,Bank robbery,0
2014,Burglary at non-residential premises,63
2014,Burglary at residential premises,767
2014,Carjacking,46
2014,Commercial crime,33
2014,Common assault,352
2014,Common robbery,125
2014,Contact sexual offences,1
2014,Crimen Injuria,68
2014,Culpable homicide,18
2014,Driving under the influence of alcohol or drugs,80
2014,Drug-related crime,941
2014,Illegal possession of firearms and ammunition,41
2014,Kidnapping,18
2014,Malicious damage to property,249
2014,Murder,45
2014,Neglect and ill-treatment of children,3
2014,Public violence,0
2014,Rape,131
2014,Robbery at non-residential premises,25
2014,Robbery at residential premises,49
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,272
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,16
2014,Shoplifting,13
2014,Stock-theft,4
2014,Street Robbery,152
2014,TRIO crimes,120
2014,Theft of motor vehicle and motorcycle,46
2014,Theft out of or from motor vehicle,146
2014,Truck hijacking,0
2013,Arson,10
2013,Assault with the intent to inflict grievous bodily harm,401
2013,Attempted murder,47
2013,Attempted sexual offences,0
2013,Bank robbery,0
2013,Burglary at non-residential premises,77
2013,Burglary at residential premises,765
2013,Carjacking,33
2013,Commercial crime,67
2013,Common assault,438
2013,Common robbery,97
2013,Contact sexual offences,3
2013,Crimen Injuria,87
2013,Culpable homicide,16
2013,Driving under the influence of alcohol or drugs,153
2013,Drug-related crime,624
2013,Illegal possession of firearms and ammunition,60
2013,Kidnapping,10
2013,Malicious damage to property,247
2013,Murder,47
2013,Neglect and ill-treatment of children,7
2013,Public violence,0
2013,Rape,144
2013,Robbery at non-residential premises,24
2013,Robbery at residential premises,48
2013,Robbery of cash in transit,1
2013,Robbery with aggravating circumstances,232
2013,Sexual Offences detected as a result of police action,2
2013,Sexual assault,24
2013,Shoplifting,10
2013,Stock-theft,5
2013,Street Robbery,125
2013,TRIO crimes,105
2013,Theft of motor vehicle and motorcycle,59
2013,Theft out of or from motor vehicle,165
2013,Truck hijacking,1
2012,Arson,13
