year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,75
2024,Attempted murder,24
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,25
2024,Burglary at residential premises,137
2024,Carjacking,39
2024,Commercial crime,98
2024,Common assault,118
2024,Common robbery,194
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,45
2024,Drug-related crime,68
2024,Illegal possession of firearms and ammunition,3
2024,Kidnapping,16
2024,Malicious damage to property,88
2024,Murder,9
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,18
2024,Robbery at non-residential premises,11
2024,Robbery at residential premises,21
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,216
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,12
2024,Stock-theft,0
2024,Street Robbery,71
2024,TRIO crimes,71
2024,Theft of motor vehicle and motorcycle,122
2024,Theft out of or from motor vehicle,110
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,54
2023,Attempted murder,36
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,50
2023,Burglary at residential premises,195
2023,Carjacking,67
2023,Commercial crime,101
2023,Common assault,137
2023,Common robbery,145
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,12
2023,Drug-related crime,50
2023,Illegal possession of firearms and ammunition,6
2023,Kidnapping,30
2023,Malicious damage to property,116
2023,Murder,21
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,7
2023,Robbery at non-residential premises,23
2023,Robbery at residential premises,45
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,281
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,5
2023,Shoplifting,17
2023,Stock-theft,0
2023,Street Robbery,146
2023,TRIO crimes,135
2023,Theft of motor vehicle and motorcycle,150
