year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,254
2024,Attempted murder,140
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,66
2024,Burglary at residential premises,226
2024,Carjacking,35
2024,Commercial crime,80
2024,Common assault,263
2024,Common robbery,45
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,56
2024,Drug-related crime,106
2024,Illegal possession of firearms and ammunition,35
2024,Kidnapping,81
2024,Malicious damage to property,179
2024,Murder,114
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,71
2024,Robbery at non-residential premises,15
2024,Robbery at residential premises,92
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,251
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,20
2024,Shoplifting,42
2024,Stock-theft,30
2024,Street Robbery,145
2024,TRIO crimes,142
2024,Theft of motor vehicle and motorcycle,11
2024,Theft out of or from motor vehicle,38
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,258
2023,Attempted murder,133
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,54
2023,Burglary at residential premises,218
2023,Carjacking,53
2023,Commercial crime,69
2023,Common assault,241
2023,Common robbery,42
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,8
2023,Drug-related crime,162
2023,Illegal possession of firearms and ammunition,78
2023,Kidnapping,51
2023,Malicious damage to property,184
2023,Murder,148
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,63
2023,Robbery at non-residential premises,23
2023,Robbery at residential premises,107
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,274
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,22
2023,Stock-theft,15
2023,Street Robbery,91
2023,TRIO crimes,183
2023,Theft of motor vehicle and motorcycle,13
2023,Theft out of or from motor vehicle,27
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,10
2022,Assault with the intent to inflict grievous bodily harm,317
2022,Attempted murder,97
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,66
2022,Burglary at residential premises,198
2022,Carjacking,74
2022,Commercial crime,64
2022,Common assault,267
2022,Common robbery,37
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,5
2022,Drug-related crime,110
2022,Illegal possession of firearms and ammunition,29
2022,Kidnapping,44
2022,Malicious damage to property,185
2022,Murder,148
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,73
2022,Robbery at non-residential premises,28
2022,Robbery at residential premises,122
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,297
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,13
2022,Shoplifting,27
2022,Stock-theft,12
2022,Street Robbery,73
2022,TRIO crimes,224
2022,Theft of motor vehicle and motorcycle,25
2022,Theft out of or from motor vehicle,26
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,268
2021,Attempted murder,55
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,56
2021,Burglary at residential premises,177
2021,Carjacking,64
2021,Commercial crime,64
2021,Common assault,188
2021,Common robbery,41
2021,Contact sexual offences,4
2021,Crimen Injuria,5
2021,Culpable homicide,5
2021,Driving under the influence of alcohol or drugs,7
2021,Drug-related crime,97
2021,Illegal possession of firearms and ammunition,48
2021,Kidnapping,18
2021,Malicious damage to property,152
2021,Murder,104
2021,Neglect and ill-treatment of children,0
2021,Public violence,1
2021,Rape,77
2021,Robbery at non-residential premises,24
2021,Robbery at residential premises,88
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,248
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,8
2021,Shoplifting,43
2021,Stock-theft,6
2021,Street Robbery,71
2021,TRIO crimes,176
2021,Theft of motor vehicle and motorcycle,14
2021,Theft out of or from motor vehicle,21
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,5
2020,Assault with the intent to inflict grievous bodily harm,219
2020,Attempted murder,89
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,47
2020,Burglary at residential premises,205
2020,Carjacking,39
2020,Commercial crime,66
2020,Common assault,160
2020,Common robbery,36
2020,Contact sexual offences,2
2020,Crimen Injuria,4
2020,Culpable homicide,16
2020,Driving under the influence of alcohol or drugs,87
2020,Drug-related crime,183
2020,Illegal possession of firearms and ammunition,51
