year,category,value
2024,Abduction,0
2024,Arson,11
2024,Assault with the intent to inflict grievous bodily harm,653
2024,Attempted murder,225
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,53
2024,Burglary at residential premises,318
2024,Carjacking,106
2024,Commercial crime,90
2024,Common assault,458
2024,Common robbery,72
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,49
2024,Drug-related crime,335
2024,Illegal possession of firearms and ammunition,34
2024,Kidnapping,96
2024,Malicious damage to property,262
2024,Murder,145
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,151
2024,Robbery at non-residential premises,28
2024,Robbery at residential premises,118
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,476
2024,Sexual Offences detected as a result of police action,2
2024,Sexual assault,21
2024,Shoplifting,0
2024,Stock-theft,5
2024,Street Robbery,252
2024,TRIO crimes,252
2024,Theft of motor vehicle and motorcycle,32
2024,Theft out of or from motor vehicle,54
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,14
2023,Assault with the intent to inflict grievous bodily harm,711
2023,Attempted murder,130
2023,Attempted sexual offences,10
2023,Bank robbery,0
2023,Burglary at non-residential premises,61
2023,Burglary at residential premises,326
2023,Carjacking,113
2023,Commercial crime,62
2023,Common assault,442
2023,Common robbery,61
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,0
2023,Drug-related crime,295
2023,Illegal possession of firearms and ammunition,39
2023,Kidnapping,56
2023,Malicious damage to property,284
2023,Murder,118
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,129
2023,Robbery at non-residential premises,32
2023,Robbery at residential premises,89
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,431
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,17
2023,Shoplifting,9
2023,Stock-theft,8
2023,Street Robbery,197
2023,TRIO crimes,234
2023,Theft of motor vehicle and motorcycle,40
2023,Theft out of or from motor vehicle,44
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,14
2022,Assault with the intent to inflict grievous bodily harm,631
2022,Attempted murder,126
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,102
2022,Burglary at residential premises,368
2022,Carjacking,119
2022,Commercial crime,72
2022,Common assault,466
2022,Common robbery,96
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,1
2022,Drug-related crime,217
2022,Illegal possession of firearms and ammunition,24
2022,Kidnapping,63
2022,Malicious damage to property,292
2022,Murder,111
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,133
2022,Robbery at non-residential premises,38
2022,Robbery at residential premises,110
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,466
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,22
2022,Shoplifting,15
2022,Stock-theft,8
2022,Street Robbery,199
2022,TRIO crimes,267
2022,Theft of motor vehicle and motorcycle,47
2022,Theft out of or from motor vehicle,57
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,16
2021,Assault with the intent to inflict grievous bodily harm,607
2021,Attempted murder,82
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,60
2021,Burglary at residential premises,333
2021,Carjacking,90
2021,Commercial crime,60
2021,Common assault,466
2021,Common robbery,97
2021,Contact sexual offences,1
2021,Crimen Injuria,84
2021,Culpable homicide,4
2021,Driving under the influence of alcohol or drugs,8
2021,Drug-related crime,218
2021,Illegal possession of firearms and ammunition,25
2021,Kidnapping,49
2021,Malicious damage to property,288
2021,Murder,76
2021,Neglect and ill-treatment of children,3
2021,Public violence,10
2021,Rape,119
2021,Robbery at non-residential premises,27
2021,Robbery at residential premises,77
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,420
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,19
2021,Shoplifting,11
2021,Stock-theft,7
2021,Street Robbery,226
2021,TRIO crimes,194
2021,Theft of motor vehicle and motorcycle,56
2021,Theft out of or from motor vehicle,64
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,25
2020,Assault with the intent to inflict grievous bodily harm,675
2020,Attempted murder,100
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,66
2020,Burglary at residential premises,548
2020,Carjacking,91
2020,Commercial crime,65
2020,Common assault,570
2020,Common robbery,115
2020,Contact sexual offences,2
2020,Crimen Injuria,86
2020,Culpable homicide,9
2020,Driving under the influence of alcohol or drugs,100
2020,Drug-related crime,699
2020,Illegal possession of firearms and ammunition,25
2020,Kidnapping,50
2020,Malicious damage to property,344
2020,Murder,70
2020,Neglect and ill-treatment of children,1
2020,Public violence,13
2020,Rape,129
2020,Robbery at non-residential premises,38
2020,Robbery at residential premises,71
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,482
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,18
2020,Shoplifting,2
2020,Stock-theft,15
2020,Street Robbery,282
2020,TRIO crimes,200
2020,Theft of motor vehicle and motorcycle,94
2020,Theft out of or from motor vehicle,75
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,15
2019,Assault with the intent to inflict grievous bodily harm,728
2019,Attempted murder,124
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,50
2019,Burglary at residential premises,568
2019,Carjacking,94
2019,Commercial crime,49
2019,Common assault,413
2019,Common robbery,97
2019,Contact sexual offences,2
