year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,111
2024,Attempted murder,40
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,157
2024,Burglary at residential premises,315
2024,Carjacking,95
2024,Commercial crime,289
2024,Common assault,210
2024,Common robbery,252
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,92
2024,Drug-related crime,243
2024,Illegal possession of firearms and ammunition,11
2024,Kidnapping,32
2024,Malicious damage to property,168
2024,Murder,33
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,26
2024,Robbery at non-residential premises,48
2024,Robbery at residential premises,44
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,628
2024,Sexual Offences detected as a result of police action,541
2024,Sexual assault,6
2024,Shoplifting,140
2024,Stock-theft,0
2024,Street Robbery,191
2024,TRIO crimes,187
2024,Theft of motor vehicle and motorcycle,345
2024,Theft out of or from motor vehicle,574
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,88
2023,Attempted murder,38
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,189
2023,Burglary at residential premises,361
2023,Carjacking,135
2023,Commercial crime,338
2023,Common assault,224
2023,Common robbery,249
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,35
2023,Drug-related crime,323
2023,Illegal possession of firearms and ammunition,28
2023,Kidnapping,63
2023,Malicious damage to property,165
2023,Murder,36
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,40
2023,Robbery at non-residential premises,79
2023,Robbery at residential premises,27
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,776
2023,Sexual Offences detected as a result of police action,526
2023,Sexual assault,9
2023,Shoplifting,118
2023,Stock-theft,0
2023,Street Robbery,532
2023,TRIO crimes,241
2023,Theft of motor vehicle and motorcycle,394
2023,Theft out of or from motor vehicle,690
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,82
2022,Attempted murder,28
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,310
2022,Burglary at residential premises,461
2022,Carjacking,74
2022,Commercial crime,243
2022,Common assault,192
2022,Common robbery,192
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,32
2022,Drug-related crime,277
2022,Illegal possession of firearms and ammunition,16
2022,Kidnapping,51
2022,Malicious damage to property,155
2022,Murder,28
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,44
2022,Robbery at non-residential premises,75
2022,Robbery at residential premises,33
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,625
2022,Sexual Offences detected as a result of police action,467
2022,Sexual assault,12
2022,Shoplifting,66
2022,Stock-theft,0
2022,Street Robbery,439
2022,TRIO crimes,182
2022,Theft of motor vehicle and motorcycle,343
2022,Theft out of or from motor vehicle,625
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,46
2021,Attempted murder,27
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,373
2021,Burglary at residential premises,543
2021,Carjacking,51
2021,Commercial crime,220
2021,Common assault,165
2021,Common robbery,142
2021,Contact sexual offences,1
2021,Crimen Injuria,18
2021,Culpable homicide,19
2021,Driving under the influence of alcohol or drugs,46
2021,Drug-related crime,265
2021,Illegal possession of firearms and ammunition,27
2021,Kidnapping,14
2021,Malicious damage to property,91
2021,Murder,12
2021,Neglect and ill-treatment of children,3
2021,Public violence,2
2021,Rape,15
2021,Robbery at non-residential premises,67
2021,Robbery at residential premises,43
