year,category,value
2024,Abduction,0
2024,Arson,24
2024,Assault with the intent to inflict grievous bodily harm,646
2024,Attempted murder,439
2024,Attempted sexual offences,16
2024,Bank robbery,0
2024,Burglary at non-residential premises,84
2024,Burglary at residential premises,374
2024,Carjacking,232
2024,Commercial crime,323
2024,Common assault,604
2024,Common robbery,135
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,105
2024,Drug-related crime,289
2024,Illegal possession of firearms and ammunition,92
2024,Kidnapping,184
2024,Malicious damage to property,316
2024,Murder,257
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,246
2024,Robbery at non-residential premises,84
2024,Robbery at residential premises,121
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,772
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,44
2024,Shoplifting,66
2024,Stock-theft,2
2024,Street Robbery,451
2024,TRIO crimes,437
2024,Theft of motor vehicle and motorcycle,64
2024,Theft out of or from motor vehicle,116
2024,Truck hijacking,13
2023,Abduction,0
2023,Arson,19
2023,Assault with the intent to inflict grievous bodily harm,582
2023,Attempted murder,370
2023,Attempted sexual offences,15
2023,Bank robbery,0
2023,Burglary at non-residential premises,75
2023,Burglary at residential premises,307
2023,Carjacking,209
2023,Commercial crime,330
2023,Common assault,545
2023,Common robbery,144
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,34
2023,Drug-related crime,479
2023,Illegal possession of firearms and ammunition,129
2023,Kidnapping,174
2023,Malicious damage to property,320
2023,Murder,297
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,235
2023,Robbery at non-residential premises,71
2023,Robbery at residential premises,204
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,815
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,21
2023,Shoplifting,39
2023,Stock-theft,9
2023,Street Robbery,328
2023,TRIO crimes,484
2023,Theft of motor vehicle and motorcycle,77
2023,Theft out of or from motor vehicle,123
2023,Truck hijacking,3
2022,Abduction,0
2022,Arson,23
2022,Assault with the intent to inflict grievous bodily harm,601
2022,Attempted murder,399
2022,Attempted sexual offences,14
2022,Bank robbery,0
2022,Burglary at non-residential premises,153
2022,Burglary at residential premises,334
2022,Carjacking,194
2022,Commercial crime,229
2022,Common assault,561
2022,Common robbery,144
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,137
2022,Drug-related crime,696
2022,Illegal possession of firearms and ammunition,99
2022,Kidnapping,137
2022,Malicious damage to property,319
2022,Murder,349
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,232
2022,Robbery at non-residential premises,78
2022,Robbery at residential premises,189
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,910
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,29
2022,Shoplifting,46
2022,Stock-theft,6
2022,Street Robbery,444
2022,TRIO crimes,461
2022,Theft of motor vehicle and motorcycle,75
2022,Theft out of or from motor vehicle,88
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,13
2021,Assault with the intent to inflict grievous bodily harm,739
2021,Attempted murder,254
2021,Attempted sexual offences,5
2021,Bank robbery,0
2021,Burglary at non-residential premises,138
2021,Burglary at residential premises,457
2021,Carjacking,189
2021,Commercial crime,292
2021,Common assault,685
2021,Common robbery,146
2021,Contact sexual offences,2
2021,Crimen Injuria,83
2021,Culpable homicide,29
2021,Driving under the influence of alcohol or drugs,152
2021,Drug-related crime,401
2021,Illegal possession of firearms and ammunition,54
2021,Kidnapping,85
2021,Malicious damage to property,345
2021,Murder,201
2021,Neglect and ill-treatment of children,2
2021,Public violence,3
2021,Rape,203
2021,Robbery at non-residential premises,59
2021,Robbery at residential premises,180
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,788
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,28
2021,Shoplifting,109
2021,Stock-theft,5
2021,Street Robbery,357
2021,TRIO crimes,428
2021,Theft of motor vehicle and motorcycle,85
2021,Theft out of or from motor vehicle,114
2021,Truck hijacking,3
2020,Abduction,0
2020,Arson,25
2020,Assault with the intent to inflict grievous bodily harm,943
2020,Attempted murder,198
2020,Attempted sexual offences,5
2020,Bank robbery,0
2020,Burglary at non-residential premises,116
2020,Burglary at residential premises,579
2020,Carjacking,157
2020,Commercial crime,293
2020,Common assault,689
2020,Common robbery,213
2020,Contact sexual offences,4
2020,Crimen Injuria,113
2020,Culpable homicide,51
2020,Driving under the influence of alcohol or drugs,502
2020,Drug-related crime,1164
2020,Illegal possession of firearms and ammunition,53
2020,Kidnapping,42
2020,Malicious damage to property,401
2020,Murder,212
2020,Neglect and ill-treatment of children,11
2020,Public violence,10
2020,Rape,293
2020,Robbery at non-residential premises,100
2020,Robbery at residential premises,163
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,934
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,33
2020,Shoplifting,182
2020,Stock-theft,4
2020,Street Robbery,507
2020,TRIO crimes,420
