year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,437
2024,Attempted murder,165
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,117
2024,Burglary at residential premises,470
2024,Carjacking,87
2024,Commercial crime,392
2024,Common assault,663
2024,Common robbery,168
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,46
2024,Drug-related crime,719
2024,Illegal possession of firearms and ammunition,50
2024,Kidnapping,107
2024,Malicious damage to property,352
2024,Murder,104
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,115
2024,Robbery at non-residential premises,58
2024,Robbery at residential premises,168
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,705
2024,Sexual Offences detected as a result of police action,10
2024,Sexual assault,19
2024,Shoplifting,168
2024,Stock-theft,20
2024,Street Robbery,314
2024,TRIO crimes,313
2024,Theft of motor vehicle and motorcycle,196
2024,Theft out of or from motor vehicle,157
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,414
2023,Attempted murder,107
2023,Attempted sexual offences,8
2023,Bank robbery,0
2023,Burglary at non-residential premises,93
2023,Burglary at residential premises,453
2023,Carjacking,87
2023,Commercial crime,356
2023,Common assault,614
2023,Common robbery,100
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,25
2023,Drug-related crime,623
2023,Illegal possession of firearms and ammunition,54
2023,Kidnapping,88
2023,Malicious damage to property,339
2023,Murder,147
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,100
2023,Robbery at non-residential premises,63
2023,Robbery at residential premises,164
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,659
2023,Sexual Offences detected as a result of police action,22
2023,Sexual assault,17
2023,Shoplifting,164
2023,Stock-theft,15
2023,Street Robbery,344
2023,TRIO crimes,314
2023,Theft of motor vehicle and motorcycle,159
2023,Theft out of or from motor vehicle,179
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,46
2022,Assault with the intent to inflict grievous bodily harm,455
2022,Attempted murder,126
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,405
2022,Burglary at residential premises,424
2022,Carjacking,84
2022,Commercial crime,310
2022,Common assault,568
2022,Common robbery,92
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,21
2022,Drug-related crime,686
2022,Illegal possession of firearms and ammunition,49
2022,Kidnapping,82
2022,Malicious damage to property,378
2022,Murder,133
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,121
2022,Robbery at non-residential premises,69
2022,Robbery at residential premises,138
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,568
2022,Sexual Offences detected as a result of police action,18
2022,Sexual assault,16
2022,Shoplifting,110
2022,Stock-theft,19
2022,Street Robbery,271
2022,TRIO crimes,291
2022,Theft of motor vehicle and motorcycle,201
2022,Theft out of or from motor vehicle,181
2022,Truck hijacking,6
2021,Abduction,0
2021,Arson,9
2021,Assault with the intent to inflict grievous bodily harm,323
2021,Attempted murder,70
2021,Attempted sexual offences,7
2021,Bank robbery,0
2021,Burglary at non-residential premises,155
2021,Burglary at residential premises,379
2021,Carjacking,54
2021,Commercial crime,303
2021,Common assault,429
2021,Common robbery,88
2021,Contact sexual offences,5
2021,Crimen Injuria,45
2021,Culpable homicide,21
2021,Driving under the influence of alcohol or drugs,27
2021,Drug-related crime,486
2021,Illegal possession of firearms and ammunition,24
2021,Kidnapping,34
2021,Malicious damage to property,219
2021,Murder,67
2021,Neglect and ill-treatment of children,1
2021,Public violence,9
2021,Rape,92
2021,Robbery at non-residential premises,53
2021,Robbery at residential premises,98
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,428
2021,Sexual Offences detected as a result of police action,7
2021,Sexual assault,21
2021,Shoplifting,83
2021,Stock-theft,18
2021,Street Robbery,221
2021,TRIO crimes,205
2021,Theft of motor vehicle and motorcycle,185
2021,Theft out of or from motor vehicle,224
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,14
2020,Assault with the intent to inflict grievous bodily harm,392
2020,Attempted murder,91
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,137
2020,Burglary at residential premises,520
2020,Carjacking,65
2020,Commercial crime,326
2020,Common assault,563
2020,Common robbery,112
2020,Contact sexual offences,1
2020,Crimen Injuria,74
2020,Culpable homicide,45
2020,Driving under the influence of alcohol or drugs,380
2020,Drug-related crime,718
2020,Illegal possession of firearms and ammunition,24
2020,Kidnapping,58
2020,Malicious damage to property,261
2020,Murder,81
2020,Neglect and ill-treatment of children,3
2020,Public violence,9
2020,Rape,119
2020,Robbery at non-residential premises,53
2020,Robbery at residential premises,91
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,450
2020,Sexual Offences detected as a result of police action,27
2020,Sexual assault,12
2020,Shoplifting,58
2020,Stock-theft,10
2020,Street Robbery,238
2020,TRIO crimes,209
2020,Theft of motor vehicle and motorcycle,120
2020,Theft out of or from motor vehicle,251
2020,Truck hijacking,3
2019,Abduction,0
2019,Arson,10
2019,Assault with the intent to inflict grievous bodily harm,261
2019,Attempted murder,62
2019,Attempted sexual offences,4
2019,Bank robbery,0
2019,Burglary at non-residential premises,112
2019,Burglary at residential premises,548
2019,Carjacking,43
2019,Commercial crime,261
2019,Common assault,405
2019,Common robbery,86
2019,Contact sexual offences,1
2019,Crimen Injuria,29
2019,Culpable homicide,46
2019,Driving under the influence of alcohol or drugs,256
2019,Drug-related crime,852
2019,Illegal possession of firearms and ammunition,37
2019,Kidnapping,24
2019,Malicious damage to property,198
2019,Murder,80
2019,Neglect and ill-treatment of children,4
2019,Public violence,7
2019,Rape,116
2019,Robbery at non-residential premises,69
2019,Robbery at residential premises,78
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,341
2019,Sexual Offences detected as a result of police action,35
2019,Sexual assault,11
2019,Shoplifting,47
2019,Stock-theft,11
2019,Street Robbery,149
2019,TRIO crimes,190
2019,Theft of motor vehicle and motorcycle,142
2019,Theft out of or from motor vehicle,176
2019,Truck hijacking,2
2018,Abduction,1
2018,Arson,5
2018,Assault with the intent to inflict grievous bodily harm,278
2018,Attempted murder,60
2018,Attempted sexual offences,10
2018,Bank robbery,0
2018,Burglary at non-residential premises,77
2018,Burglary at residential premises,345
2018,Carjacking,37
2018,Commercial crime,160
2018,Common assault,209
2018,Common robbery,60
2018,Contact sexual offences,4
2018,Crimen Injuria,22
2018,Culpable homicide,42
2018,Driving under the influence of alcohol or drugs,295
2018,Drug-related crime,1418
2018,Illegal possession of firearms and ammunition,49
2018,Kidnapping,11
2018,Malicious damage to property,133
2018,Murder,51
2018,Neglect and ill-treatment of children,3
2018,Public violence,9
2018,Rape,114
2018,Robbery at non-residential premises,49
2018,Robbery at residential premises,48
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,232
2018,Sexual Offences detected as a result of police action,50
2018,Sexual assault,7
2018,Shoplifting,33
2018,Stock-theft,2
2018,Street Robbery,97
2018,TRIO crimes,134
2018,Theft of motor vehicle and motorcycle,157
2018,Theft out of or from motor vehicle,97
2018,Truck hijacking,1
2017,Abduction,0
2017,Arson,4
2017,Assault with the intent to inflict grievous bodily harm,225
2017,Attempted murder,34
2017,Attempted sexual offences,6
2017,Bank robbery,0
2017,Burglary at non-residential premises,92
2017,Burglary at residential premises,375
2017,Carjacking,27
2017,Commercial crime,149
2017,Common assault,247
2017,Common robbery,66
2017,Contact sexual offences,3
2017,Crimen Injuria,45
2017,Culpable homicide,43
2017,Driving under the influence of alcohol or drugs,159
2017,Drug-related crime,1281
2017,Illegal possession of firearms and ammunition,36
2017,Kidnapping,14
