year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,88
2024,Attempted murder,65
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,42
2024,Burglary at residential premises,117
2024,Carjacking,23
2024,Commercial crime,104
2024,Common assault,256
2024,Common robbery,80
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,21
2024,Drug-related crime,181
2024,Illegal possession of firearms and ammunition,23
2024,Kidnapping,12
2024,Malicious damage to property,158
2024,Murder,16
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,10
2024,Robbery at non-residential premises,14
2024,Robbery at residential premises,12
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,201
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,8
2024,Shoplifting,26
2024,Stock-theft,0
2024,Street Robbery,50
2024,TRIO crimes,49
2024,Theft of motor vehicle and motorcycle,116
2024,Theft out of or from motor vehicle,125
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,68
2023,Attempted murder,78
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,45
2023,Burglary at residential premises,112
2023,Carjacking,29
2023,Commercial crime,97
2023,Common assault,237
2023,Common robbery,76
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,4
2023,Drug-related crime,285
2023,Illegal possession of firearms and ammunition,27
2023,Kidnapping,12
2023,Malicious damage to property,164
2023,Murder,30
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,19
2023,Robbery at non-residential premises,19
2023,Robbery at residential premises,11
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,192
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,22
2023,Stock-theft,0
2023,Street Robbery,129
2023,TRIO crimes,59
2023,Theft of motor vehicle and motorcycle,88
2023,Theft out of or from motor vehicle,71
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,92
2022,Attempted murder,104
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,33
2022,Burglary at residential premises,121
2022,Carjacking,26
2022,Commercial crime,87
2022,Common assault,298
2022,Common robbery,126
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,2
2022,Drug-related crime,298
2022,Illegal possession of firearms and ammunition,46
2022,Kidnapping,7
2022,Malicious damage to property,177
2022,Murder,22
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,13
2022,Robbery at non-residential premises,23
