year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,137
2024,Attempted murder,15
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,50
2024,Burglary at residential premises,92
2024,Carjacking,7
2024,Commercial crime,46
2024,Common assault,74
2024,Common robbery,13
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,16
2024,Drug-related crime,42
2024,Illegal possession of firearms and ammunition,20
2024,Kidnapping,16
2024,Malicious damage to property,36
2024,Murder,16
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,30
2024,Robbery at non-residential premises,10
2024,Robbery at residential premises,6
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,44
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,25
2024,Stock-theft,40
2024,Street Robbery,24
2024,TRIO crimes,23
2024,Theft of motor vehicle and motorcycle,7
2024,Theft out of or from motor vehicle,18
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,121
2023,Attempted murder,21
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,36
2023,Burglary at residential premises,81
2023,Carjacking,7
2023,Commercial crime,37
2023,Common assault,74
2023,Common robbery,19
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,15
2023,Drug-related crime,47
2023,Illegal possession of firearms and ammunition,17
2023,Kidnapping,9
2023,Malicious damage to property,34
2023,Murder,25
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,35
2023,Robbery at non-residential premises,14
2023,Robbery at residential premises,16
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,60
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,3
2023,Shoplifting,40
2023,Stock-theft,60
2023,Street Robbery,23
2023,TRIO crimes,37
2023,Theft of motor vehicle and motorcycle,6
2023,Theft out of or from motor vehicle,33
