year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,134
2024,Attempted murder,25
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,32
2024,Burglary at residential premises,78
2024,Carjacking,22
2024,Commercial crime,36
2024,Common assault,60
2024,Common robbery,8
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,2
2024,Drug-related crime,7
2024,Illegal possession of firearms and ammunition,29
2024,Kidnapping,8
2024,Malicious damage to property,48
2024,Murder,41
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,47
2024,Robbery at non-residential premises,5
2024,Robbery at residential premises,35
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,95
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,1
2024,Stock-theft,46
2024,Street Robbery,62
2024,TRIO crimes,62
2024,Theft of motor vehicle and motorcycle,10
2024,Theft out of or from motor vehicle,9
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,134
2023,Attempted murder,25
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,61
2023,Burglary at residential premises,108
2023,Carjacking,5
2023,Commercial crime,14
2023,Common assault,62
2023,Common robbery,17
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,0
2023,Drug-related crime,7
2023,Illegal possession of firearms and ammunition,23
2023,Kidnapping,8
2023,Malicious damage to property,60
2023,Murder,36
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,46
2023,Robbery at non-residential premises,11
2023,Robbery at residential premises,32
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,77
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,2
2023,Shoplifting,2
2023,Stock-theft,66
2023,Street Robbery,29
2023,TRIO crimes,48
2023,Theft of motor vehicle and motorcycle,9
