year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,203
2024,Attempted murder,40
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,65
2024,Burglary at residential premises,139
2024,Carjacking,26
2024,Commercial crime,19
2024,Common assault,95
2024,Common robbery,34
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,12
2024,Drug-related crime,8
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,12
2024,Malicious damage to property,85
2024,Murder,38
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,74
2024,Robbery at non-residential premises,28
2024,Robbery at residential premises,58
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,162
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,5
2024,Shoplifting,11
2024,Stock-theft,44
2024,Street Robbery,113
2024,TRIO crimes,112
2024,Theft of motor vehicle and motorcycle,10
2024,Theft out of or from motor vehicle,15
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,15
2023,Assault with the intent to inflict grievous bodily harm,238
2023,Attempted murder,40
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,71
2023,Burglary at residential premises,105
2023,Carjacking,26
2023,Commercial crime,27
2023,Common assault,89
2023,Common robbery,27
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,1
2023,Drug-related crime,8
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,9
2023,Malicious damage to property,58
2023,Murder,57
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,47
2023,Robbery at non-residential premises,15
2023,Robbery at residential premises,40
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,133
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,6
2023,Stock-theft,65
2023,Street Robbery,52
2023,TRIO crimes,81
2023,Theft of motor vehicle and motorcycle,6
2023,Theft out of or from motor vehicle,15
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,194
2022,Attempted murder,27
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,95
2022,Burglary at residential premises,158
2022,Carjacking,27
2022,Commercial crime,11
2022,Common assault,37
2022,Common robbery,23
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,1
2022,Drug-related crime,4
2022,Illegal possession of firearms and ammunition,12
2022,Kidnapping,8
2022,Malicious damage to property,42
2022,Murder,43
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,31
2022,Robbery at non-residential premises,17
2022,Robbery at residential premises,45
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,115
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,3
2022,Shoplifting,5
2022,Stock-theft,83
2022,Street Robbery,25
2022,TRIO crimes,89
2022,Theft of motor vehicle and motorcycle,25
2022,Theft out of or from motor vehicle,7
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,11
2021,Assault with the intent to inflict grievous bodily harm,157
2021,Attempted murder,9
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,118
2021,Burglary at residential premises,148
2021,Carjacking,16
2021,Commercial crime,13
2021,Common assault,62
2021,Common robbery,19
2021,Contact sexual offences,1
2021,Crimen Injuria,0
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,4
2021,Drug-related crime,0
2021,Illegal possession of firearms and ammunition,7
2021,Kidnapping,6
2021,Malicious damage to property,67
2021,Murder,42
2021,Neglect and ill-treatment of children,0
2021,Public violence,1
2021,Rape,40
2021,Robbery at non-residential premises,23
2021,Robbery at residential premises,42
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,96
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,2
2021,Shoplifting,11
2021,Stock-theft,68
2021,Street Robbery,14
2021,TRIO crimes,81
2021,Theft of motor vehicle and motorcycle,12
2021,Theft out of or from motor vehicle,9
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,9
2020,Assault with the intent to inflict grievous bodily harm,205
2020,Attempted murder,11
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,140
2020,Burglary at residential premises,158
2020,Carjacking,6
2020,Commercial crime,15
2020,Common assault,46
2020,Common robbery,22
2020,Contact sexual offences,1
2020,Crimen Injuria,5
2020,Culpable homicide,10
2020,Driving under the influence of alcohol or drugs,2
2020,Drug-related crime,9
2020,Illegal possession of firearms and ammunition,7
2020,Kidnapping,6
2020,Malicious damage to property,38
2020,Murder,23
2020,Neglect and ill-treatment of children,0
2020,Public violence,4
2020,Rape,49
2020,Robbery at non-residential premises,29
2020,Robbery at residential premises,20
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,68
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,8
2020,Shoplifting,23
2020,Stock-theft,75
2020,Street Robbery,12
2020,TRIO crimes,55
2020,Theft of motor vehicle and motorcycle,34
2020,Theft out of or from motor vehicle,6
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,8
2019,Assault with the intent to inflict grievous bodily harm,193
2019,Attempted murder,9
2019,Attempted sexual offences,4
2019,Bank robbery,0
2019,Burglary at non-residential premises,89
2019,Burglary at residential premises,158
2019,Carjacking,13
2019,Commercial crime,16
2019,Common assault,37
2019,Common robbery,19
2019,Contact sexual offences,1
2019,Crimen Injuria,4
2019,Culpable homicide,16
2019,Driving under the influence of alcohol or drugs,1
2019,Drug-related crime,71
2019,Illegal possession of firearms and ammunition,16
2019,Kidnapping,6
2019,Malicious damage to property,66
2019,Murder,31
2019,Neglect and ill-treatment of children,2
2019,Public violence,2
2019,Rape,50
2019,Robbery at non-residential premises,27
2019,Robbery at residential premises,22
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,79
2019,Sexual Offences detected as a result of police action,1
2019,Sexual assault,4
2019,Shoplifting,13
2019,Stock-theft,64
2019,Street Robbery,17
2019,TRIO crimes,62
2019,Theft of motor vehicle and motorcycle,19
2019,Theft out of or from motor vehicle,18
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,7
2018,Assault with the intent to inflict grievous bodily harm,201
2018,Attempted murder,20
2018,Attempted sexual offences,1
2018,Bank robbery,0
2018,Burglary at non-residential premises,98
2018,Burglary at residential premises,235
2018,Carjacking,12
2018,Commercial crime,10
2018,Common assault,39
2018,Common robbery,13
2018,Contact sexual offences,1
2018,Crimen Injuria,3
2018,Culpable homicide,13
2018,Driving under the influence of alcohol or drugs,4
2018,Drug-related crime,245
2018,Illegal possession of firearms and ammunition,14
2018,Kidnapping,3
2018,Malicious damage to property,60
2018,Murder,34
2018,Neglect and ill-treatment of children,1
2018,Public violence,2
2018,Rape,50
2018,Robbery at non-residential premises,16
2018,Robbery at residential premises,31
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,70
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,5
2018,Shoplifting,10
2018,Stock-theft,87
2018,Street Robbery,10
2018,TRIO crimes,59
2018,Theft of motor vehicle and motorcycle,23
2018,Theft out of or from motor vehicle,9
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,9
2017,Assault with the intent to inflict grievous bodily harm,220
2017,Attempted murder,20
2017,Attempted sexual offences,3
2017,Bank robbery,0
2017,Burglary at non-residential premises,74
2017,Burglary at residential premises,193
2017,Carjacking,7
2017,Commercial crime,6
2017,Common assault,35
2017,Common robbery,18
2017,Contact sexual offences,4
2017,Crimen Injuria,0
2017,Culpable homicide,13
2017,Driving under the influence of alcohol or drugs,0
2017,Drug-related crime,191
2017,Illegal possession of firearms and ammunition,22
2017,Kidnapping,2
