year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,362
2024,Attempted murder,130
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,87
2024,Burglary at residential premises,608
2024,Carjacking,6
2024,Commercial crime,394
2024,Common assault,339
2024,Common robbery,103
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,564
2024,Drug-related crime,536
2024,Illegal possession of firearms and ammunition,16
2024,Kidnapping,54
2024,Malicious damage to property,153
2024,Murder,27
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,58
2024,Robbery at non-residential premises,8
2024,Robbery at residential premises,31
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,148
2024,Sexual Offences detected as a result of police action,506
2024,Sexual assault,13
2024,Shoplifting,138
2024,Stock-theft,21
2024,Street Robbery,45
2024,TRIO crimes,45
2024,Theft of motor vehicle and motorcycle,34
2024,Theft out of or from motor vehicle,126
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,287
2023,Attempted murder,73
2023,Attempted sexual offences,8
2023,Bank robbery,0
2023,Burglary at non-residential premises,82
2023,Burglary at residential premises,607
2023,Carjacking,4
2023,Commercial crime,297
2023,Common assault,284
2023,Common robbery,96
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,31
2023,Drug-related crime,477
2023,Illegal possession of firearms and ammunition,19
2023,Kidnapping,25
2023,Malicious damage to property,122
2023,Murder,30
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,77
2023,Robbery at non-residential premises,10
2023,Robbery at residential premises,34
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,127
2023,Sexual Offences detected as a result of police action,894
2023,Sexual assault,14
2023,Shoplifting,137
2023,Stock-theft,6
2023,Street Robbery,79
2023,TRIO crimes,48
2023,Theft of motor vehicle and motorcycle,27
2023,Theft out of or from motor vehicle,159
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,265
2022,Attempted murder,36
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,76
2022,Burglary at residential premises,582
2022,Carjacking,1
2022,Commercial crime,283
2022,Common assault,359
2022,Common robbery,68
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,211
2022,Drug-related crime,312
2022,Illegal possession of firearms and ammunition,11
2022,Kidnapping,28
2022,Malicious damage to property,133
2022,Murder,22
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,60
2022,Robbery at non-residential premises,10
2022,Robbery at residential premises,38
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,119
2022,Sexual Offences detected as a result of police action,532
2022,Sexual assault,14
2022,Shoplifting,130
2022,Stock-theft,2
2022,Street Robbery,70
2022,TRIO crimes,49
2022,Theft of motor vehicle and motorcycle,17
2022,Theft out of or from motor vehicle,90
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,242
2021,Attempted murder,14
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,94
2021,Burglary at residential premises,700
2021,Carjacking,2
2021,Commercial crime,215
2021,Common assault,258
2021,Common robbery,50
2021,Contact sexual offences,3
2021,Crimen Injuria,43
2021,Culpable homicide,19
2021,Driving under the influence of alcohol or drugs,74
2021,Drug-related crime,364
2021,Illegal possession of firearms and ammunition,22
2021,Kidnapping,11
2021,Malicious damage to property,100
2021,Murder,23
2021,Neglect and ill-treatment of children,1
2021,Public violence,1
2021,Rape,63
2021,Robbery at non-residential premises,13
2021,Robbery at residential premises,41
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,117
2021,Sexual Offences detected as a result of police action,120
2021,Sexual assault,9
2021,Shoplifting,128
2021,Stock-theft,2
2021,Street Robbery,61
2021,TRIO crimes,56
2021,Theft of motor vehicle and motorcycle,15
2021,Theft out of or from motor vehicle,65
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,302
2020,Attempted murder,15
2020,Attempted sexual offences,8
2020,Bank robbery,0
2020,Burglary at non-residential premises,99
2020,Burglary at residential premises,880
2020,Carjacking,1
2020,Commercial crime,222
2020,Common assault,281
2020,Common robbery,74
2020,Contact sexual offences,2
2020,Crimen Injuria,35
2020,Culpable homicide,12
2020,Driving under the influence of alcohol or drugs,457
2020,Drug-related crime,283
2020,Illegal possession of firearms and ammunition,22
2020,Kidnapping,9
2020,Malicious damage to property,106
2020,Murder,27
2020,Neglect and ill-treatment of children,1
2020,Public violence,14
2020,Rape,85
2020,Robbery at non-residential premises,22
2020,Robbery at residential premises,29
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,159
2020,Sexual Offences detected as a result of police action,683
2020,Sexual assault,17
2020,Shoplifting,170
2020,Stock-theft,7
2020,Street Robbery,107
2020,TRIO crimes,52
2020,Theft of motor vehicle and motorcycle,21
2020,Theft out of or from motor vehicle,124
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,1
2019,Assault with the intent to inflict grievous bodily harm,297
2019,Attempted murder,23
2019,Attempted sexual offences,3
2019,Bank robbery,0
2019,Burglary at non-residential premises,77
2019,Burglary at residential premises,828
2019,Carjacking,2
2019,Commercial crime,228
2019,Common assault,246
2019,Common robbery,71
2019,Contact sexual offences,3
2019,Crimen Injuria,33
2019,Culpable homicide,16
2019,Driving under the influence of alcohol or drugs,196
2019,Drug-related crime,263
2019,Illegal possession of firearms and ammunition,24
2019,Kidnapping,4
2019,Malicious damage to property,113
2019,Murder,33
2019,Neglect and ill-treatment of children,4
2019,Public violence,0
2019,Rape,49
2019,Robbery at non-residential premises,10
2019,Robbery at residential premises,33
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,130
2019,Sexual Offences detected as a result of police action,942
2019,Sexual assault,10
2019,Shoplifting,168
2019,Stock-theft,4
2019,Street Robbery,85
2019,TRIO crimes,45
2019,Theft of motor vehicle and motorcycle,20
2019,Theft out of or from motor vehicle,140
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,0
2018,Assault with the intent to inflict grievous bodily harm,292
2018,Attempted murder,14
2018,Attempted sexual offences,6
2018,Bank robbery,0
2018,Burglary at non-residential premises,80
2018,Burglary at residential premises,1101
2018,Carjacking,4
2018,Commercial crime,171
2018,Common assault,226
2018,Common robbery,84
2018,Contact sexual offences,4
2018,Crimen Injuria,34
2018,Culpable homicide,17
2018,Driving under the influence of alcohol or drugs,132
2018,Drug-related crime,850
2018,Illegal possession of firearms and ammunition,27
2018,Kidnapping,10
2018,Malicious damage to property,91
2018,Murder,39
2018,Neglect and ill-treatment of children,0
2018,Public violence,2
2018,Rape,53
2018,Robbery at non-residential premises,18
2018,Robbery at residential premises,38
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,162
2018,Sexual Offences detected as a result of police action,848
2018,Sexual assault,15
2018,Shoplifting,162
2018,Stock-theft,14
2018,Street Robbery,102
2018,TRIO crimes,60
2018,Theft of motor vehicle and motorcycle,24
2018,Theft out of or from motor vehicle,146
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,3
2017,Assault with the intent to inflict grievous bodily harm,278
2017,Attempted murder,14
2017,Attempted sexual offences,1
2017,Bank robbery,0
2017,Burglary at non-residential premises,116
2017,Burglary at residential premises,1107
2017,Carjacking,2
2017,Commercial crime,197
2017,Common assault,220
2017,Common robbery,81
2017,Contact sexual offences,2
2017,Crimen Injuria,32
2017,Culpable homicide,21
2017,Driving under the influence of alcohol or drugs,74
2017,Drug-related crime,771
2017,Illegal possession of firearms and ammunition,17
2017,Kidnapping,10
