year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,355
2024,Attempted murder,62
2024,Attempted sexual offences,11
2024,Bank robbery,0
2024,Burglary at non-residential premises,131
2024,Burglary at residential premises,410
2024,Carjacking,11
2024,Commercial crime,362
2024,Common assault,429
2024,Common robbery,54
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,125
2024,Drug-related crime,226
2024,Illegal possession of firearms and ammunition,13
2024,Kidnapping,26
2024,Malicious damage to property,153
2024,Murder,60
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,103
2024,Robbery at non-residential premises,18
2024,Robbery at residential premises,26
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,122
2024,Sexual Offences detected as a result of police action,177
2024,Sexual assault,16
2024,Shoplifting,113
2024,Stock-theft,14
2024,Street Robbery,55
2024,TRIO crimes,55
2024,Theft of motor vehicle and motorcycle,21
2024,Theft out of or from motor vehicle,80
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,332
2023,Attempted murder,68
2023,Attempted sexual offences,10
2023,Bank robbery,0
2023,Burglary at non-residential premises,154
2023,Burglary at residential premises,414
2023,Carjacking,7
2023,Commercial crime,332
2023,Common assault,384
2023,Common robbery,89
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,83
2023,Drug-related crime,230
2023,Illegal possession of firearms and ammunition,26
2023,Kidnapping,14
2023,Malicious damage to property,116
2023,Murder,72
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,100
2023,Robbery at non-residential premises,25
2023,Robbery at residential premises,37
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,167
2023,Sexual Offences detected as a result of police action,204
2023,Sexual assault,16
2023,Shoplifting,198
2023,Stock-theft,6
2023,Street Robbery,95
2023,TRIO crimes,69
2023,Theft of motor vehicle and motorcycle,25
2023,Theft out of or from motor vehicle,123
2023,Truck hijacking,3
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,356
2022,Attempted murder,32
2022,Attempted sexual offences,5
2022,Bank robbery,0
2022,Burglary at non-residential premises,148
2022,Burglary at residential premises,335
2022,Carjacking,4
2022,Commercial crime,343
2022,Common assault,306
2022,Common robbery,78
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,55
2022,Drug-related crime,148
2022,Illegal possession of firearms and ammunition,22
2022,Kidnapping,15
2022,Malicious damage to property,121
2022,Murder,54
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,96
2022,Robbery at non-residential premises,28
2022,Robbery at residential premises,30
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,178
2022,Sexual Offences detected as a result of police action,170
2022,Sexual assault,8
2022,Shoplifting,145
2022,Stock-theft,1
2022,Street Robbery,115
2022,TRIO crimes,62
2022,Theft of motor vehicle and motorcycle,35
2022,Theft out of or from motor vehicle,124
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,10
2021,Assault with the intent to inflict grievous bodily harm,286
2021,Attempted murder,38
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,230
2021,Burglary at residential premises,450
2021,Carjacking,2
2021,Commercial crime,274
2021,Common assault,306
2021,Common robbery,96
2021,Contact sexual offences,4
2021,Crimen Injuria,20
2021,Culpable homicide,35
2021,Driving under the influence of alcohol or drugs,55
2021,Drug-related crime,126
2021,Illegal possession of firearms and ammunition,13
2021,Kidnapping,2
2021,Malicious damage to property,97
2021,Murder,42
2021,Neglect and ill-treatment of children,0
2021,Public violence,1
2021,Rape,65
2021,Robbery at non-residential premises,38
2021,Robbery at residential premises,36
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,191
2021,Sexual Offences detected as a result of police action,108
2021,Sexual assault,12
2021,Shoplifting,160
2021,Stock-theft,7
2021,Street Robbery,113
2021,TRIO crimes,76
2021,Theft of motor vehicle and motorcycle,32
2021,Theft out of or from motor vehicle,191
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,365
2020,Attempted murder,24
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,202
2020,Burglary at residential premises,606
2020,Carjacking,1
2020,Commercial crime,341
2020,Common assault,334
2020,Common robbery,93
2020,Contact sexual offences,3
2020,Crimen Injuria,39
2020,Culpable homicide,47
2020,Driving under the influence of alcohol or drugs,241
2020,Drug-related crime,156
2020,Illegal possession of firearms and ammunition,14
2020,Kidnapping,8
2020,Malicious damage to property,124
2020,Murder,38
2020,Neglect and ill-treatment of children,0
2020,Public violence,2
2020,Rape,82
2020,Robbery at non-residential premises,41
2020,Robbery at residential premises,41
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,187
2020,Sexual Offences detected as a result of police action,1084
2020,Sexual assault,18
2020,Shoplifting,181
2020,Stock-theft,3
2020,Street Robbery,103
2020,TRIO crimes,83
2020,Theft of motor vehicle and motorcycle,33
2020,Theft out of or from motor vehicle,184
2020,Truck hijacking,1
2019,Abduction,0
2019,Arson,8
2019,Assault with the intent to inflict grievous bodily harm,354
2019,Attempted murder,30
2019,Attempted sexual offences,5
2019,Bank robbery,0
2019,Burglary at non-residential premises,195
2019,Burglary at residential premises,588
2019,Carjacking,5
2019,Commercial crime,380
2019,Common assault,318
2019,Common robbery,120
2019,Contact sexual offences,1
2019,Crimen Injuria,33
2019,Culpable homicide,42
2019,Driving under the influence of alcohol or drugs,301
2019,Drug-related crime,406
2019,Illegal possession of firearms and ammunition,18
2019,Kidnapping,1
2019,Malicious damage to property,122
2019,Murder,48
2019,Neglect and ill-treatment of children,2
2019,Public violence,1
2019,Rape,78
2019,Robbery at non-residential premises,39
2019,Robbery at residential premises,24
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,159
