year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,91
2024,Attempted murder,19
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,63
2024,Burglary at residential premises,242
2024,Carjacking,5
2024,Commercial crime,156
2024,Common assault,151
2024,Common robbery,19
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,27
2024,Drug-related crime,45
2024,Illegal possession of firearms and ammunition,26
2024,Kidnapping,15
2024,Malicious damage to property,51
2024,Murder,27
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,26
2024,Robbery at non-residential premises,10
2024,Robbery at residential premises,16
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,79
2024,Sexual Offences detected as a result of police action,27
2024,Sexual assault,5
2024,Shoplifting,55
2024,Stock-theft,3
2024,Street Robbery,31
2024,TRIO crimes,31
2024,Theft of motor vehicle and motorcycle,16
2024,Theft out of or from motor vehicle,42
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,84
2023,Attempted murder,14
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,42
2023,Burglary at residential premises,220
2023,Carjacking,7
2023,Commercial crime,156
2023,Common assault,112
2023,Common robbery,20
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,18
2023,Drug-related crime,30
2023,Illegal possession of firearms and ammunition,19
2023,Kidnapping,7
2023,Malicious damage to property,48
2023,Murder,17
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,30
2023,Robbery at non-residential premises,11
2023,Robbery at residential premises,38
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,98
2023,Sexual Offences detected as a result of police action,19
2023,Sexual assault,7
2023,Shoplifting,25
2023,Stock-theft,5
2023,Street Robbery,41
2023,TRIO crimes,56
2023,Theft of motor vehicle and motorcycle,31
2023,Theft out of or from motor vehicle,40
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,74
2022,Attempted murder,7
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,46
2022,Burglary at residential premises,246
2022,Carjacking,5
2022,Commercial crime,116
2022,Common assault,105
2022,Common robbery,18
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,54
2022,Drug-related crime,29
2022,Illegal possession of firearms and ammunition,17
2022,Kidnapping,5
2022,Malicious damage to property,51
2022,Murder,12
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,19
2022,Robbery at non-residential premises,6
2022,Robbery at residential premises,14
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,76
2022,Sexual Offences detected as a result of police action,14
2022,Sexual assault,4
2022,Shoplifting,23
2022,Stock-theft,16
2022,Street Robbery,51
2022,TRIO crimes,25
2022,Theft of motor vehicle and motorcycle,47
2022,Theft out of or from motor vehicle,56
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,53
2021,Attempted murder,17
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,72
2021,Burglary at residential premises,390
2021,Carjacking,12
2021,Commercial crime,98
2021,Common assault,102
2021,Common robbery,16
2021,Contact sexual offences,0
2021,Crimen Injuria,13
2021,Culpable homicide,20
2021,Driving under the influence of alcohol or drugs,22
2021,Drug-related crime,50
2021,Illegal possession of firearms and ammunition,15
2021,Kidnapping,5
2021,Malicious damage to property,44
2021,Murder,19
2021,Neglect and ill-treatment of children,1
2021,Public violence,1
2021,Rape,9
2021,Robbery at non-residential premises,12
2021,Robbery at residential premises,12
