year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,135
2024,Attempted murder,51
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,68
2024,Burglary at residential premises,112
2024,Carjacking,7
2024,Commercial crime,64
2024,Common assault,219
2024,Common robbery,16
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,33
2024,Drug-related crime,158
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,18
2024,Malicious damage to property,70
2024,Murder,36
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,62
2024,Robbery at non-residential premises,22
2024,Robbery at residential premises,37
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,120
2024,Sexual Offences detected as a result of police action,4
2024,Sexual assault,13
2024,Shoplifting,13
2024,Stock-theft,16
2024,Street Robbery,67
2024,TRIO crimes,66
2024,Theft of motor vehicle and motorcycle,24
2024,Theft out of or from motor vehicle,34
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,102
2023,Attempted murder,21
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,51
2023,Burglary at residential premises,116
2023,Carjacking,12
2023,Commercial crime,52
2023,Common assault,114
2023,Common robbery,11
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,5
2023,Drug-related crime,145
2023,Illegal possession of firearms and ammunition,19
2023,Kidnapping,12
2023,Malicious damage to property,57
2023,Murder,27
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,64
2023,Robbery at non-residential premises,37
2023,Robbery at residential premises,24
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,97
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,8
2023,Shoplifting,4
2023,Stock-theft,13
2023,Street Robbery,24
2023,TRIO crimes,73
2023,Theft of motor vehicle and motorcycle,28
2023,Theft out of or from motor vehicle,28
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,10
2022,Assault with the intent to inflict grievous bodily harm,104
2022,Attempted murder,27
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,130
2022,Burglary at residential premises,71
2022,Carjacking,10
2022,Commercial crime,47
2022,Common assault,117
2022,Common robbery,7
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,5
2022,Drug-related crime,26
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,9
2022,Malicious damage to property,78
2022,Murder,34
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,45
2022,Robbery at non-residential premises,18
2022,Robbery at residential premises,23
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,89
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,4
2022,Shoplifting,8
2022,Stock-theft,11
2022,Street Robbery,38
2022,TRIO crimes,51
2022,Theft of motor vehicle and motorcycle,29
2022,Theft out of or from motor vehicle,30
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
