year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,178
2024,Attempted murder,29
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,49
2024,Burglary at residential premises,103
2024,Carjacking,14
2024,Commercial crime,45
2024,Common assault,88
2024,Common robbery,19
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,8
2024,Drug-related crime,17
2024,Illegal possession of firearms and ammunition,11
2024,Kidnapping,7
2024,Malicious damage to property,51
2024,Murder,34
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,57
2024,Robbery at non-residential premises,11
2024,Robbery at residential premises,13
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,82
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,12
2024,Stock-theft,23
2024,Street Robbery,40
2024,TRIO crimes,38
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,52
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,155
2023,Attempted murder,19
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,38
2023,Burglary at residential premises,84
2023,Carjacking,5
2023,Commercial crime,52
2023,Common assault,68
2023,Common robbery,25
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,2
2023,Drug-related crime,12
2023,Illegal possession of firearms and ammunition,15
2023,Kidnapping,2
2023,Malicious damage to property,40
2023,Murder,60
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,41
2023,Robbery at non-residential premises,13
2023,Robbery at residential premises,6
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,70
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,23
2023,Stock-theft,13
2023,Street Robbery,45
2023,TRIO crimes,24
2023,Theft of motor vehicle and motorcycle,10
2023,Theft out of or from motor vehicle,40
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,154
2022,Attempted murder,22
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,22
2022,Burglary at residential premises,74
2022,Carjacking,10
2022,Commercial crime,54
2022,Common assault,59
2022,Common robbery,15
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,6
2022,Drug-related crime,9
2022,Illegal possession of firearms and ammunition,24
2022,Kidnapping,6
2022,Malicious damage to property,34
2022,Murder,49
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,57
2022,Robbery at non-residential premises,20
