year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,138
2024,Attempted murder,96
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,99
2024,Burglary at residential premises,497
2024,Carjacking,42
2024,Commercial crime,363
2024,Common assault,273
2024,Common robbery,93
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,100
2024,Drug-related crime,301
2024,Illegal possession of firearms and ammunition,19
2024,Kidnapping,31
2024,Malicious damage to property,136
2024,Murder,47
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,67
2024,Robbery at non-residential premises,22
2024,Robbery at residential premises,82
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,367
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,92
2024,Stock-theft,8
2024,Street Robbery,146
2024,TRIO crimes,146
2024,Theft of motor vehicle and motorcycle,106
2024,Theft out of or from motor vehicle,161
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,174
2023,Attempted murder,63
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,110
2023,Burglary at residential premises,537
2023,Carjacking,61
2023,Commercial crime,313
2023,Common assault,260
2023,Common robbery,83
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,39
2023,Drug-related crime,263
2023,Illegal possession of firearms and ammunition,14
2023,Kidnapping,31
2023,Malicious damage to property,105
2023,Murder,51
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,60
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,86
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,394
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,10
2023,Shoplifting,69
2023,Stock-theft,8
2023,Street Robbery,218
2023,TRIO crimes,175
2023,Theft of motor vehicle and motorcycle,130
2023,Theft out of or from motor vehicle,178
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,155
2022,Attempted murder,38
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,134
2022,Burglary at residential premises,530
2022,Carjacking,49
2022,Commercial crime,258
2022,Common assault,238
2022,Common robbery,61
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,148
2022,Drug-related crime,229
2022,Illegal possession of firearms and ammunition,16
2022,Kidnapping,10
2022,Malicious damage to property,121
2022,Murder,42
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,67
2022,Robbery at non-residential premises,31
2022,Robbery at residential premises,64
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,298
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,10
2022,Shoplifting,78
2022,Stock-theft,12
2022,Street Robbery,153
2022,TRIO crimes,144
2022,Theft of motor vehicle and motorcycle,112
2022,Theft out of or from motor vehicle,157
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,0
2021,Assault with the intent to inflict grievous bodily harm,116
2021,Attempted murder,22
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,107
2021,Burglary at residential premises,628
2021,Carjacking,45
2021,Commercial crime,175
2021,Common assault,246
2021,Common robbery,60
2021,Contact sexual offences,1
2021,Crimen Injuria,24
2021,Culpable homicide,13
2021,Driving under the influence of alcohol or drugs,137
2021,Drug-related crime,110
2021,Illegal possession of firearms and ammunition,13
2021,Kidnapping,10
2021,Malicious damage to property,112
2021,Murder,22
2021,Neglect and ill-treatment of children,2
2021,Public violence,2
2021,Rape,47
2021,Robbery at non-residential premises,23
2021,Robbery at residential premises,79
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,277
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,14
2021,Shoplifting,78
2021,Stock-theft,11
2021,Street Robbery,130
2021,TRIO crimes,147
2021,Theft of motor vehicle and motorcycle,88
2021,Theft out of or from motor vehicle,189
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,5
2020,Assault with the intent to inflict grievous bodily harm,147
2020,Attempted murder,20
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,104
2020,Burglary at residential premises,830
2020,Carjacking,35
2020,Commercial crime,158
2020,Common assault,295
2020,Common robbery,69
2020,Contact sexual offences,1
2020,Crimen Injuria,24
2020,Culpable homicide,20
2020,Driving under the influence of alcohol or drugs,380
2020,Drug-related crime,119
2020,Illegal possession of firearms and ammunition,13
