year,category,value
2024,Abduction,0
2024,Arson,6
2024,Assault with the intent to inflict grievous bodily harm,644
2024,Attempted murder,187
2024,Attempted sexual offences,10
2024,Bank robbery,0
2024,Burglary at non-residential premises,75
2024,Burglary at residential premises,655
2024,Carjacking,29
2024,Commercial crime,329
2024,Common assault,772
2024,Common robbery,140
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,95
2024,Drug-related crime,605
2024,Illegal possession of firearms and ammunition,44
2024,Kidnapping,55
2024,Malicious damage to property,363
2024,Murder,86
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,178
2024,Robbery at non-residential premises,23
2024,Robbery at residential premises,61
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,340
2024,Sexual Offences detected as a result of police action,4
2024,Sexual assault,44
2024,Shoplifting,62
2024,Stock-theft,5
2024,Street Robbery,116
2024,TRIO crimes,113
2024,Theft of motor vehicle and motorcycle,55
2024,Theft out of or from motor vehicle,336
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,526
2023,Attempted murder,134
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,83
2023,Burglary at residential premises,572
2023,Carjacking,20
2023,Commercial crime,214
2023,Common assault,634
2023,Common robbery,130
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,44
2023,Drug-related crime,578
2023,Illegal possession of firearms and ammunition,36
2023,Kidnapping,29
2023,Malicious damage to property,348
2023,Murder,68
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,151
2023,Robbery at non-residential premises,35
2023,Robbery at residential premises,68
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,331
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,38
2023,Shoplifting,44
2023,Stock-theft,4
2023,Street Robbery,207
2023,TRIO crimes,123
2023,Theft of motor vehicle and motorcycle,58
2023,Theft out of or from motor vehicle,287
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,13
2022,Assault with the intent to inflict grievous bodily harm,462
2022,Attempted murder,87
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,63
2022,Burglary at residential premises,466
2022,Carjacking,22
2022,Commercial crime,173
2022,Common assault,557
2022,Common robbery,93
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,217
2022,Drug-related crime,587
2022,Illegal possession of firearms and ammunition,20
2022,Kidnapping,11
2022,Malicious damage to property,279
2022,Murder,96
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,140
2022,Robbery at non-residential premises,14
2022,Robbery at residential premises,47
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,229
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,34
2022,Shoplifting,38
2022,Stock-theft,2
2022,Street Robbery,145
2022,TRIO crimes,83
2022,Theft of motor vehicle and motorcycle,71
2022,Theft out of or from motor vehicle,181
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,367
2021,Attempted murder,67
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,96
2021,Burglary at residential premises,523
2021,Carjacking,26
2021,Commercial crime,150
2021,Common assault,527
2021,Common robbery,97
2021,Contact sexual offences,4
2021,Crimen Injuria,68
2021,Culpable homicide,22
2021,Driving under the influence of alcohol or drugs,180
2021,Drug-related crime,748
2021,Illegal possession of firearms and ammunition,30
2021,Kidnapping,13
2021,Malicious damage to property,254
2021,Murder,66
2021,Neglect and ill-treatment of children,12
2021,Public violence,7
2021,Rape,108
2021,Robbery at non-residential premises,28
2021,Robbery at residential premises,42
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,218
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,36
2021,Shoplifting,41
2021,Stock-theft,8
2021,Street Robbery,122
2021,TRIO crimes,96
2021,Theft of motor vehicle and motorcycle,69
2021,Theft out of or from motor vehicle,249
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,9
2020,Assault with the intent to inflict grievous bodily harm,436
2020,Attempted murder,54
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,61
2020,Burglary at residential premises,640
2020,Carjacking,23
2020,Commercial crime,142
2020,Common assault,594
2020,Common robbery,101
2020,Contact sexual offences,2
2020,Crimen Injuria,71
2020,Culpable homicide,16
2020,Driving under the influence of alcohol or drugs,357
2020,Drug-related crime,1062
2020,Illegal possession of firearms and ammunition,30
2020,Kidnapping,20
2020,Malicious damage to property,260
2020,Murder,74
2020,Neglect and ill-treatment of children,12
2020,Public violence,3
2020,Rape,123
2020,Robbery at non-residential premises,17
2020,Robbery at residential premises,51
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,257
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,37
2020,Shoplifting,38
2020,Stock-theft,11
2020,Street Robbery,166
2020,TRIO crimes,91
2020,Theft of motor vehicle and motorcycle,71
2020,Theft out of or from motor vehicle,266
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,14
2019,Assault with the intent to inflict grievous bodily harm,434
2019,Attempted murder,61
2019,Attempted sexual offences,0
2019,Bank robbery,0
2019,Burglary at non-residential premises,74
2019,Burglary at residential premises,746
2019,Carjacking,38
2019,Commercial crime,145
2019,Common assault,572
2019,Common robbery,93
2019,Contact sexual offences,1
2019,Crimen Injuria,69
2019,Culpable homicide,18
2019,Driving under the influence of alcohol or drugs,160
2019,Drug-related crime,942
2019,Illegal possession of firearms and ammunition,34
2019,Kidnapping,10
2019,Malicious damage to property,277
2019,Murder,72
2019,Neglect and ill-treatment of children,10
2019,Public violence,4
2019,Rape,115
2019,Robbery at non-residential premises,43
2019,Robbery at residential premises,51
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,313
2019,Sexual Offences detected as a result of police action,1
2019,Sexual assault,38
2019,Shoplifting,50
2019,Stock-theft,13
2019,Street Robbery,181
2019,TRIO crimes,132
2019,Theft of motor vehicle and motorcycle,97
2019,Theft out of or from motor vehicle,253
2019,Truck hijacking,0
2018,Abduction,1
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,367
2018,Attempted murder,50
2018,Attempted sexual offences,0
2018,Bank robbery,0
2018,Burglary at non-residential premises,83
2018,Burglary at residential premises,640
2018,Carjacking,27
2018,Commercial crime,107
2018,Common assault,517
2018,Common robbery,102
2018,Contact sexual offences,1
2018,Crimen Injuria,57
2018,Culpable homicide,25
2018,Driving under the influence of alcohol or drugs,136
2018,Drug-related crime,852
2018,Illegal possession of firearms and ammunition,39
2018,Kidnapping,14
2018,Malicious damage to property,252
2018,Murder,64
2018,Neglect and ill-treatment of children,11
2018,Public violence,10
2018,Rape,115
2018,Robbery at non-residential premises,38
2018,Robbery at residential premises,50
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,277
2018,Sexual Offences detected as a result of police action,2
2018,Sexual assault,23
2018,Shoplifting,46
2018,Stock-theft,1
2018,Street Robbery,162
2018,TRIO crimes,115
2018,Theft of motor vehicle and motorcycle,124
2018,Theft out of or from motor vehicle,233
2018,Truck hijacking,0
2017,Abduction,2
2017,Arson,10
2017,Assault with the intent to inflict grievous bodily harm,414
2017,Attempted murder,54
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,69
2017,Burglary at residential premises,641
2017,Carjacking,37
2017,Commercial crime,90
2017,Common assault,541
2017,Common robbery,124
2017,Contact sexual offences,8
2017,Crimen Injuria,72
2017,Culpable homicide,18
2017,Driving under the influence of alcohol or drugs,99
2017,Drug-related crime,783
2017,Illegal possession of firearms and ammunition,36
2017,Kidnapping,11
2017,Malicious damage to property,331
2017,Murder,75
2017,Neglect and ill-treatment of children,8
2017,Public violence,7
2017,Rape,120
2017,Robbery at non-residential premises,31
2017,Robbery at residential premises,47
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,308
2017,Sexual Offences detected as a result of police action,0
2017,Sexual assault,23
2017,Shoplifting,48
2017,Stock-theft,8
2017,Street Robbery,192
2017,TRIO crimes,115
2017,Theft of motor vehicle and motorcycle,123
2017,Theft out of or from motor vehicle,295
2017,Truck hijacking,1
2016,Arson,11
2016,Assault with the intent to inflict grievous bodily harm,413
2016,Attempted murder,54
2016,Attempted sexual offences,0
2016,Bank robbery,0
2016,Burglary at non-residential premises,125
2016,Burglary at residential premises,593
2016,Carjacking,25
2016,Commercial crime,84
2016,Common assault,565
2016,Common robbery,117
2016,Contact sexual offences,3
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,101
2016,Drug-related crime,664
2016,Illegal possession of firearms and ammunition,22
2016,Kidnapping,13
2016,Malicious damage to property,322
2016,Murder,59
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,106
2016,Robbery at non-residential premises,24
2016,Robbery at residential premises,39
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,271
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,38
2016,Shoplifting,49
2016,Stock-theft,2
2016,Street Robbery,183
2016,TRIO crimes,88
2016,Theft of motor vehicle and motorcycle,130
2016,Theft out of or from motor vehicle,414
2016,Truck hijacking,0
2015,Arson,15
2015,Assault with the intent to inflict grievous bodily harm,434
2015,Attempted murder,56
2015,Attempted sexual offences,1
2015,Bank robbery,0
2015,Burglary at non-residential premises,126
2015,Burglary at residential premises,533
2015,Carjacking,9
2015,Commercial crime,64
2015,Common assault,592
2015,Common robbery,107
2015,Contact sexual offences,2
2015,Crimen Injuria,119
2015,Culpable homicide,13
2015,Driving under the influence of alcohol or drugs,99
2015,Drug-related crime,595
2015,Illegal possession of firearms and ammunition,38
2015,Kidnapping,5
2015,Malicious damage to property,304
2015,Murder,64
2015,Neglect and ill-treatment of children,5
2015,Public violence,0
2015,Rape,108
2015,Robbery at non-residential premises,22
2015,Robbery at residential premises,79
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,330
2015,Sexual Offences detected as a result of police action,0
2015,Sexual assault,38
2015,Shoplifting,46
2015,Stock-theft,2
2015,Street Robbery,220
2015,TRIO crimes,110
2015,Theft of motor vehicle and motorcycle,100
2015,Theft out of or from motor vehicle,369
2015,Truck hijacking,0
2014,Arson,15
2014,Assault with the intent to inflict grievous bodily harm,450
2014,Attempted murder,56
2014,Attempted sexual offences,0
2014,Bank robbery,0
2014,Burglary at non-residential premises,126
2014,Burglary at residential premises,472
2014,Carjacking,20
2014,Commercial crime,100
2014,Common assault,726
2014,Common robbery,111
2014,Contact sexual offences,4
2014,Crimen Injuria,147
2014,Culpable homicide,17
2014,Driving under the influence of alcohol or drugs,119
2014,Drug-related crime,1285
2014,Illegal possession of firearms and ammunition,26
2014,Kidnapping,9
2014,Malicious damage to property,326
2014,Murder,47
2014,Neglect and ill-treatment of children,6
2014,Public violence,0
2014,Rape,111
2014,Robbery at non-residential premises,47
2014,Robbery at residential premises,46
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,298
2014,Sexual Offences detected as a result of police action,1
2014,Sexual assault,41
2014,Shoplifting,76
2014,Stock-theft,0
2014,Street Robbery,185
2014,TRIO crimes,113
2014,Theft of motor vehicle and motorcycle,114
2014,Theft out of or from motor vehicle,362
2014,Truck hijacking,0
2013,Arson,13
2013,Assault with the intent to inflict grievous bodily harm,435
2013,Attempted murder,49
2013,Attempted sexual offences,2
2013,Bank robbery,0
2013,Burglary at non-residential premises,128
2013,Burglary at residential premises,545
2013,Carjacking,14
2013,Commercial crime,74
2013,Common assault,836
2013,Common robbery,134
2013,Contact sexual offences,1
2013,Crimen Injuria,226
2013,Culpable homicide,19
2013,Driving under the influence of alcohol or drugs,94
2013,Drug-related crime,1273
2013,Illegal possession of firearms and ammunition,37
2013,Kidnapping,15
2013,Malicious damage to property,404
2013,Murder,43
2013,Neglect and ill-treatment of children,6
2013,Public violence,0
2013,Rape,125
2013,Robbery at non-residential premises,49
2013,Robbery at residential premises,45
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,287
2013,Sexual Offences detected as a result of police action,1
2013,Sexual assault,32
2013,Shoplifting,29
2013,Stock-theft,2
2013,Street Robbery,179
2013,TRIO crimes,108
2013,Theft of motor vehicle and motorcycle,178
2013,Theft out of or from motor vehicle,343
2013,Truck hijacking,0
2012,Arson,25
2012,Assault with the intent to inflict grievous bodily harm,492
2012,Attempted murder,33
2012,Attempted sexual offences,1
2012,Bank robbery,0
2012,Burglary at non-residential premises,104
2012,Burglary at residential premises,548
2012,Carjacking,21
2012,Commercial crime,89
2012,Common assault,968
2012,Common robbery,107
2012,Contact sexual offences,6
2012,Crimen Injuria,228
2012,Culpable homicide,23
2012,Driving under the influence of alcohol or drugs,100
2012,Drug-related crime,1194
2012,Illegal possession of firearms and ammunition,32
2012,Kidnapping,5
2012,Malicious damage to property,340
2012,Murder,49
2012,Neglect and ill-treatment of children,3
2012,Public violence,0
2012,Rape,109
