year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,213
2024,Attempted murder,50
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,250
2024,Burglary at residential premises,114
2024,Carjacking,19
2024,Commercial crime,383
2024,Common assault,444
2024,Common robbery,293
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,112
2024,Drug-related crime,968
2024,Illegal possession of firearms and ammunition,32
2024,Kidnapping,31
2024,Malicious damage to property,134
2024,Murder,54
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,82
2024,Robbery at non-residential premises,76
2024,Robbery at residential premises,33
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,443
2024,Sexual Offences detected as a result of police action,135
2024,Sexual assault,12
2024,Shoplifting,447
2024,Stock-theft,0
2024,Street Robbery,128
2024,TRIO crimes,128
2024,Theft of motor vehicle and motorcycle,98
2024,Theft out of or from motor vehicle,310
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,172
2023,Attempted murder,54
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,245
2023,Burglary at residential premises,78
2023,Carjacking,33
2023,Commercial crime,593
2023,Common assault,374
2023,Common robbery,278
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,32
2023,Drug-related crime,700
2023,Illegal possession of firearms and ammunition,52
2023,Kidnapping,28
2023,Malicious damage to property,148
2023,Murder,58
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,60
2023,Robbery at non-residential premises,171
2023,Robbery at residential premises,18
2023,Robbery of cash in transit,3
2023,Robbery with aggravating circumstances,529
2023,Sexual Offences detected as a result of police action,110
2023,Sexual assault,11
2023,Shoplifting,361
2023,Stock-theft,0
2023,Street Robbery,304
2023,TRIO crimes,222
2023,Theft of motor vehicle and motorcycle,87
2023,Theft out of or from motor vehicle,450
