year,category,value
2024,Abduction,0
2024,Arson,11
2024,Assault with the intent to inflict grievous bodily harm,185
2024,Attempted murder,19
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,38
2024,Burglary at residential premises,67
2024,Carjacking,0
2024,Commercial crime,59
2024,Common assault,39
2024,Common robbery,26
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,20
2024,Drug-related crime,17
2024,Illegal possession of firearms and ammunition,12
2024,Kidnapping,9
2024,Malicious damage to property,32
2024,Murder,10
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,58
2024,Robbery at non-residential premises,15
2024,Robbery at residential premises,15
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,39
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,14
2024,Stock-theft,18
2024,Street Robbery,30
2024,TRIO crimes,30
2024,Theft of motor vehicle and motorcycle,3
2024,Theft out of or from motor vehicle,19
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,171
2023,Attempted murder,15
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,45
2023,Burglary at residential premises,74
2023,Carjacking,5
2023,Commercial crime,53
2023,Common assault,36
2023,Common robbery,17
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,11
2023,Drug-related crime,17
2023,Illegal possession of firearms and ammunition,9
2023,Kidnapping,9
2023,Malicious damage to property,25
2023,Murder,17
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,78
2023,Robbery at non-residential premises,14
2023,Robbery at residential premises,18
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,51
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,5
2023,Shoplifting,12
2023,Stock-theft,28
2023,Street Robbery,14
2023,TRIO crimes,37
2023,Theft of motor vehicle and motorcycle,1
2023,Theft out of or from motor vehicle,13
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,189
2022,Attempted murder,13
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,138
2022,Burglary at residential premises,43
2022,Carjacking,4
2022,Commercial crime,52
2022,Common assault,34
2022,Common robbery,20
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,36
2022,Drug-related crime,29
2022,Illegal possession of firearms and ammunition,8
2022,Kidnapping,8
2022,Malicious damage to property,31
2022,Murder,24
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,64
2022,Robbery at non-residential premises,23
2022,Robbery at residential premises,6
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,47
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,6
2022,Shoplifting,10
2022,Stock-theft,16
2022,Street Robbery,12
2022,TRIO crimes,33
2022,Theft of motor vehicle and motorcycle,3
2022,Theft out of or from motor vehicle,19
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,8
2021,Assault with the intent to inflict grievous bodily harm,163
2021,Attempted murder,15
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,52
2021,Burglary at residential premises,75
2021,Carjacking,1
2021,Commercial crime,72
2021,Common assault,44
2021,Common robbery,16
2021,Contact sexual offences,0
2021,Crimen Injuria,3
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,41
2021,Drug-related crime,29
2021,Illegal possession of firearms and ammunition,15
2021,Kidnapping,3
2021,Malicious damage to property,33
2021,Murder,14
2021,Neglect and ill-treatment of children,0
2021,Public violence,2
2021,Rape,53
2021,Robbery at non-residential premises,18
2021,Robbery at residential premises,25
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,59
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,3
2021,Shoplifting,12
2021,Stock-theft,20
2021,Street Robbery,15
2021,TRIO crimes,44
2021,Theft of motor vehicle and motorcycle,6
2021,Theft out of or from motor vehicle,23
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,10
2020,Assault with the intent to inflict grievous bodily harm,200
2020,Attempted murder,16
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,54
2020,Burglary at residential premises,122
2020,Carjacking,6
2020,Commercial crime,84
2020,Common assault,60
2020,Common robbery,28
2020,Contact sexual offences,0
2020,Crimen Injuria,8
2020,Culpable homicide,7
2020,Driving under the influence of alcohol or drugs,60
2020,Drug-related crime,19
2020,Illegal possession of firearms and ammunition,15
2020,Kidnapping,19
2020,Malicious damage to property,38
2020,Murder,14
2020,Neglect and ill-treatment of children,0
2020,Public violence,3
2020,Rape,69
2020,Robbery at non-residential premises,12
2020,Robbery at residential premises,17
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,49
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,13
2020,Shoplifting,27
2020,Stock-theft,17
2020,Street Robbery,14
2020,TRIO crimes,35
2020,Theft of motor vehicle and motorcycle,1
2020,Theft out of or from motor vehicle,22
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,5
2019,Assault with the intent to inflict grievous bodily harm,184
2019,Attempted murder,17
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,36
2019,Burglary at residential premises,121
2019,Carjacking,3
2019,Commercial crime,84
2019,Common assault,53
2019,Common robbery,24
2019,Contact sexual offences,0
