year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,304
2024,Attempted murder,79
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,48
2024,Burglary at residential premises,187
2024,Carjacking,13
2024,Commercial crime,17
2024,Common assault,140
2024,Common robbery,30
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,59
2024,Drug-related crime,65
2024,Illegal possession of firearms and ammunition,50
2024,Kidnapping,30
2024,Malicious damage to property,77
2024,Murder,69
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,106
2024,Robbery at non-residential premises,17
2024,Robbery at residential premises,72
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,185
2024,Sexual Offences detected as a result of police action,2
2024,Sexual assault,13
2024,Shoplifting,2
2024,Stock-theft,50
2024,Street Robbery,105
2024,TRIO crimes,102
2024,Theft of motor vehicle and motorcycle,7
2024,Theft out of or from motor vehicle,38
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,11
2023,Assault with the intent to inflict grievous bodily harm,303
2023,Attempted murder,42
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,62
2023,Burglary at residential premises,158
2023,Carjacking,14
2023,Commercial crime,29
2023,Common assault,136
2023,Common robbery,33
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,46
2023,Drug-related crime,111
2023,Illegal possession of firearms and ammunition,58
2023,Kidnapping,23
2023,Malicious damage to property,64
2023,Murder,55
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,124
2023,Robbery at non-residential premises,32
2023,Robbery at residential premises,82
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,193
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,3
2023,Stock-theft,62
2023,Street Robbery,65
2023,TRIO crimes,128
2023,Theft of motor vehicle and motorcycle,3
2023,Theft out of or from motor vehicle,15
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,14
2022,Assault with the intent to inflict grievous bodily harm,308
2022,Attempted murder,78
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,73
2022,Burglary at residential premises,187
2022,Carjacking,15
2022,Commercial crime,37
2022,Common assault,131
2022,Common robbery,25
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,104
2022,Drug-related crime,150
2022,Illegal possession of firearms and ammunition,77
2022,Kidnapping,23
2022,Malicious damage to property,92
2022,Murder,61
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,129
2022,Robbery at non-residential premises,41
2022,Robbery at residential premises,96
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,243
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,17
2022,Shoplifting,0
2022,Stock-theft,73
2022,Street Robbery,89
2022,TRIO crimes,152
2022,Theft of motor vehicle and motorcycle,9
2022,Theft out of or from motor vehicle,31
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,302
2021,Attempted murder,50
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,103
2021,Burglary at residential premises,217
2021,Carjacking,18
2021,Commercial crime,38
2021,Common assault,111
2021,Common robbery,31
2021,Contact sexual offences,1
2021,Crimen Injuria,8
2021,Culpable homicide,23
2021,Driving under the influence of alcohol or drugs,136
2021,Drug-related crime,106
2021,Illegal possession of firearms and ammunition,62
2021,Kidnapping,19
2021,Malicious damage to property,92
2021,Murder,44
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,105
2021,Robbery at non-residential premises,38
2021,Robbery at residential premises,60
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,182
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,14
2021,Shoplifting,2
2021,Stock-theft,61
2021,Street Robbery,63
2021,TRIO crimes,116
2021,Theft of motor vehicle and motorcycle,13
2021,Theft out of or from motor vehicle,31
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,15
2020,Assault with the intent to inflict grievous bodily harm,336
2020,Attempted murder,67
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,103
2020,Burglary at residential premises,212
2020,Carjacking,9
2020,Commercial crime,38
2020,Common assault,118
2020,Common robbery,34
2020,Contact sexual offences,1
2020,Crimen Injuria,14
2020,Culpable homicide,24
2020,Driving under the influence of alcohol or drugs,184
2020,Drug-related crime,13
2020,Illegal possession of firearms and ammunition,62
2020,Kidnapping,11
2020,Malicious damage to property,101
2020,Murder,49
2020,Neglect and ill-treatment of children,0
2020,Public violence,3
2020,Rape,86
2020,Robbery at non-residential premises,39
2020,Robbery at residential premises,37
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,153
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,13
2020,Shoplifting,1
2020,Stock-theft,27
2020,Street Robbery,66
2020,TRIO crimes,85
2020,Theft of motor vehicle and motorcycle,7
2020,Theft out of or from motor vehicle,39
2020,Truck hijacking,1
2019,Abduction,2
2019,Arson,12
2019,Assault with the intent to inflict grievous bodily harm,334
2019,Attempted murder,49
2019,Attempted sexual offences,5
2019,Bank robbery,0
2019,Burglary at non-residential premises,101
2019,Burglary at residential premises,294
2019,Carjacking,8
2019,Commercial crime,33
2019,Common assault,123
2019,Common robbery,38
2019,Contact sexual offences,3
2019,Crimen Injuria,17
2019,Culpable homicide,34
2019,Driving under the influence of alcohol or drugs,172
2019,Drug-related crime,130
2019,Illegal possession of firearms and ammunition,66
2019,Kidnapping,13
2019,Malicious damage to property,116
2019,Murder,27
2019,Neglect and ill-treatment of children,1
2019,Public violence,5
2019,Rape,101
2019,Robbery at non-residential premises,25
2019,Robbery at residential premises,45
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,138
