year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,122
2024,Attempted murder,32
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,91
2024,Burglary at residential premises,136
2024,Carjacking,9
2024,Commercial crime,84
2024,Common assault,140
2024,Common robbery,28
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,78
2024,Drug-related crime,86
2024,Illegal possession of firearms and ammunition,21
2024,Kidnapping,10
2024,Malicious damage to property,60
2024,Murder,30
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,42
2024,Robbery at non-residential premises,33
2024,Robbery at residential premises,45
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,155
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,140
2024,Stock-theft,18
2024,Street Robbery,88
2024,TRIO crimes,87
2024,Theft of motor vehicle and motorcycle,5
2024,Theft out of or from motor vehicle,53
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,139
2023,Attempted murder,19
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,80
2023,Burglary at residential premises,101
2023,Carjacking,4
2023,Commercial crime,91
2023,Common assault,109
2023,Common robbery,24
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,67
2023,Drug-related crime,77
2023,Illegal possession of firearms and ammunition,11
2023,Kidnapping,9
2023,Malicious damage to property,53
2023,Murder,18
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,43
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,31
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,103
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,154
2023,Stock-theft,28
2023,Street Robbery,38
2023,TRIO crimes,63
2023,Theft of motor vehicle and motorcycle,4
2023,Theft out of or from motor vehicle,46
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,124
2022,Attempted murder,30
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,83
2022,Burglary at residential premises,126
2022,Carjacking,3
2022,Commercial crime,138
2022,Common assault,156
2022,Common robbery,31
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,54
2022,Drug-related crime,64
2022,Illegal possession of firearms and ammunition,22
2022,Kidnapping,11
2022,Malicious damage to property,67
2022,Murder,24
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,47
2022,Robbery at non-residential premises,49
2022,Robbery at residential premises,38
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,151
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,4
2022,Shoplifting,141
2022,Stock-theft,30
2022,Street Robbery,58
2022,TRIO crimes,90
2022,Theft of motor vehicle and motorcycle,8
2022,Theft out of or from motor vehicle,48
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,7
