year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,353
2024,Attempted murder,25
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,92
2024,Burglary at residential premises,246
2024,Carjacking,3
2024,Commercial crime,153
2024,Common assault,97
2024,Common robbery,33
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,11
2024,Drug-related crime,225
2024,Illegal possession of firearms and ammunition,33
2024,Kidnapping,11
2024,Malicious damage to property,84
2024,Murder,21
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,63
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,4
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,91
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,7
2024,Shoplifting,83
2024,Stock-theft,72
2024,Street Robbery,34
2024,TRIO crimes,34
2024,Theft of motor vehicle and motorcycle,19
2024,Theft out of or from motor vehicle,64
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,171
2023,Attempted murder,13
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,80
2023,Burglary at residential premises,207
2023,Carjacking,5
2023,Commercial crime,123
2023,Common assault,193
2023,Common robbery,40
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,10
2023,Drug-related crime,211
2023,Illegal possession of firearms and ammunition,27
2023,Kidnapping,16
2023,Malicious damage to property,85
2023,Murder,17
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,52
2023,Robbery at non-residential premises,17
2023,Robbery at residential premises,15
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,81
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,87
2023,Stock-theft,73
2023,Street Robbery,43
2023,TRIO crimes,37
2023,Theft of motor vehicle and motorcycle,23
