year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,231
2024,Attempted murder,34
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,31
2024,Burglary at residential premises,80
2024,Carjacking,1
2024,Commercial crime,88
2024,Common assault,44
2024,Common robbery,14
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,58
2024,Drug-related crime,153
2024,Illegal possession of firearms and ammunition,52
2024,Kidnapping,16
2024,Malicious damage to property,49
2024,Murder,29
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,55
2024,Robbery at non-residential premises,3
2024,Robbery at residential premises,6
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,22
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,131
2024,Stock-theft,34
2024,Street Robbery,10
2024,TRIO crimes,10
2024,Theft of motor vehicle and motorcycle,4
2024,Theft out of or from motor vehicle,18
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,184
2023,Attempted murder,21
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,36
2023,Burglary at residential premises,96
2023,Carjacking,8
2023,Commercial crime,64
2023,Common assault,31
2023,Common robbery,12
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,15
2023,Drug-related crime,185
2023,Illegal possession of firearms and ammunition,26
2023,Kidnapping,7
2023,Malicious damage to property,51
2023,Murder,36
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,79
2023,Robbery at non-residential premises,1
2023,Robbery at residential premises,6
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,27
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,110
2023,Stock-theft,52
2023,Street Robbery,12
2023,TRIO crimes,15
2023,Theft of motor vehicle and motorcycle,13
2023,Theft out of or from motor vehicle,9
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,140
2022,Attempted murder,18
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,43
2022,Burglary at residential premises,101
2022,Carjacking,1
2022,Commercial crime,73
2022,Common assault,35
2022,Common robbery,17
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,60
2022,Drug-related crime,175
2022,Illegal possession of firearms and ammunition,27
2022,Kidnapping,11
2022,Malicious damage to property,48
2022,Murder,39
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,71
2022,Robbery at non-residential premises,11
2022,Robbery at residential premises,10
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,39
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,3
2022,Shoplifting,110
2022,Stock-theft,56
2022,Street Robbery,17
2022,TRIO crimes,22
2022,Theft of motor vehicle and motorcycle,14
2022,Theft out of or from motor vehicle,9
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,128
2021,Attempted murder,11
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,44
2021,Burglary at residential premises,78
2021,Carjacking,5
2021,Commercial crime,65
2021,Common assault,28
2021,Common robbery,11
2021,Contact sexual offences,0
2021,Crimen Injuria,1
2021,Culpable homicide,15
2021,Driving under the influence of alcohol or drugs,58
2021,Drug-related crime,146
2021,Illegal possession of firearms and ammunition,26
2021,Kidnapping,5
2021,Malicious damage to property,41
2021,Murder,28
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,55
2021,Robbery at non-residential premises,4
2021,Robbery at residential premises,8
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,29
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,11
2021,Shoplifting,104
2021,Stock-theft,41
2021,Street Robbery,11
2021,TRIO crimes,17
2021,Theft of motor vehicle and motorcycle,15
2021,Theft out of or from motor vehicle,10
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,14
2020,Assault with the intent to inflict grievous bodily harm,114
2020,Attempted murder,14
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,42
2020,Burglary at residential premises,126
2020,Carjacking,2
2020,Commercial crime,59
2020,Common assault,32
2020,Common robbery,15
2020,Contact sexual offences,1
2020,Crimen Injuria,0
2020,Culpable homicide,26
2020,Driving under the influence of alcohol or drugs,62
2020,Drug-related crime,81
2020,Illegal possession of firearms and ammunition,26
2020,Kidnapping,4
2020,Malicious damage to property,38
2020,Murder,22
2020,Neglect and ill-treatment of children,0
2020,Public violence,1
2020,Rape,67
2020,Robbery at non-residential premises,9
2020,Robbery at residential premises,10
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,27
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,6
2020,Shoplifting,94
2020,Stock-theft,45
2020,Street Robbery,6
2020,TRIO crimes,21
2020,Theft of motor vehicle and motorcycle,4
2020,Theft out of or from motor vehicle,7
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,7
2019,Assault with the intent to inflict grievous bodily harm,97
2019,Attempted murder,11
2019,Attempted sexual offences,0
2019,Bank robbery,0
2019,Burglary at non-residential premises,57
2019,Burglary at residential premises,126
2019,Carjacking,6
2019,Commercial crime,75
2019,Common assault,9
2019,Common robbery,5
2019,Contact sexual offences,0
2019,Crimen Injuria,3
2019,Culpable homicide,16
2019,Driving under the influence of alcohol or drugs,93
2019,Drug-related crime,86
2019,Illegal possession of firearms and ammunition,21
2019,Kidnapping,3
2019,Malicious damage to property,35
2019,Murder,30
2019,Neglect and ill-treatment of children,1
2019,Public violence,1
2019,Rape,52
2019,Robbery at non-residential premises,7
2019,Robbery at residential premises,7
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,36
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,6
2019,Shoplifting,94
2019,Stock-theft,49
2019,Street Robbery,16
2019,TRIO crimes,20
2019,Theft of motor vehicle and motorcycle,9
2019,Theft out of or from motor vehicle,11
2019,Truck hijacking,0
2018,Abduction,3
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,126
2018,Attempted murder,13
2018,Attempted sexual offences,1
2018,Bank robbery,0
2018,Burglary at non-residential premises,67
2018,Burglary at residential premises,152
2018,Carjacking,3
2018,Commercial crime,98
2018,Common assault,35
2018,Common robbery,18
2018,Contact sexual offences,3
2018,Crimen Injuria,1
2018,Culpable homicide,19
2018,Driving under the influence of alcohol or drugs,109
2018,Drug-related crime,187
2018,Illegal possession of firearms and ammunition,55
2018,Kidnapping,5
2018,Malicious damage to property,44
2018,Murder,26
2018,Neglect and ill-treatment of children,0
2018,Public violence,1
2018,Rape,44
2018,Robbery at non-residential premises,9
2018,Robbery at residential premises,11
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,29
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,6
2018,Shoplifting,115
2018,Stock-theft,27
2018,Street Robbery,6
2018,TRIO crimes,23
2018,Theft of motor vehicle and motorcycle,16
2018,Theft out of or from motor vehicle,25
2018,Truck hijacking,0
2017,Abduction,1
2017,Arson,5
2017,Assault with the intent to inflict grievous bodily harm,122
2017,Attempted murder,17
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,87
2017,Burglary at residential premises,124
2017,Carjacking,5
2017,Commercial crime,96
2017,Common assault,41
2017,Common robbery,17
2017,Contact sexual offences,1
2017,Crimen Injuria,6
2017,Culpable homicide,24
2017,Driving under the influence of alcohol or drugs,128
2017,Drug-related crime,273
2017,Illegal possession of firearms and ammunition,53
2017,Kidnapping,2
