year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,277
2024,Attempted murder,44
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,34
2024,Burglary at residential premises,119
2024,Carjacking,7
2024,Commercial crime,49
2024,Common assault,156
2024,Common robbery,34
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,36
2024,Drug-related crime,185
2024,Illegal possession of firearms and ammunition,52
2024,Kidnapping,23
2024,Malicious damage to property,96
2024,Murder,61
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,65
2024,Robbery at non-residential premises,14
2024,Robbery at residential premises,13
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,97
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,28
2024,Stock-theft,88
2024,Street Robbery,34
2024,TRIO crimes,34
2024,Theft of motor vehicle and motorcycle,6
2024,Theft out of or from motor vehicle,21
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,277
2023,Attempted murder,68
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,27
2023,Burglary at residential premises,183
2023,Carjacking,9
2023,Commercial crime,22
2023,Common assault,152
2023,Common robbery,29
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,25
2023,Drug-related crime,177
2023,Illegal possession of firearms and ammunition,50
2023,Kidnapping,24
2023,Malicious damage to property,84
2023,Murder,67
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,89
2023,Robbery at non-residential premises,12
2023,Robbery at residential premises,34
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,118
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,6
2023,Shoplifting,16
2023,Stock-theft,74
2023,Street Robbery,63
2023,TRIO crimes,55
2023,Theft of motor vehicle and motorcycle,4
2023,Theft out of or from motor vehicle,21
