year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,450
2024,Attempted murder,84
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,223
2024,Burglary at residential premises,477
2024,Carjacking,12
2024,Commercial crime,417
2024,Common assault,751
2024,Common robbery,184
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,282
2024,Drug-related crime,273
2024,Illegal possession of firearms and ammunition,42
2024,Kidnapping,62
2024,Malicious damage to property,298
2024,Murder,60
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,120
2024,Robbery at non-residential premises,46
2024,Robbery at residential premises,41
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,337
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,26
2024,Shoplifting,231
2024,Stock-theft,92
2024,Street Robbery,100
2024,TRIO crimes,99
2024,Theft of motor vehicle and motorcycle,26
2024,Theft out of or from motor vehicle,203
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,428
2023,Attempted murder,85
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,234
2023,Burglary at residential premises,489
2023,Carjacking,16
2023,Commercial crime,364
2023,Common assault,586
2023,Common robbery,139
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,141
2023,Drug-related crime,264
2023,Illegal possession of firearms and ammunition,52
2023,Kidnapping,44
2023,Malicious damage to property,267
2023,Murder,60
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,109
2023,Robbery at non-residential premises,59
2023,Robbery at residential premises,58
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,329
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,23
2023,Shoplifting,275
2023,Stock-theft,119
2023,Street Robbery,196
2023,TRIO crimes,133
2023,Theft of motor vehicle and motorcycle,33
2023,Theft out of or from motor vehicle,231
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,405
2022,Attempted murder,95
2022,Attempted sexual offences,5
2022,Bank robbery,0
2022,Burglary at non-residential premises,170
2022,Burglary at residential premises,461
2022,Carjacking,16
2022,Commercial crime,363
2022,Common assault,567
2022,Common robbery,128
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,35
2022,Drug-related crime,207
2022,Illegal possession of firearms and ammunition,42
2022,Kidnapping,58
2022,Malicious damage to property,274
2022,Murder,68
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,89
2022,Robbery at non-residential premises,49
2022,Robbery at residential premises,41
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,330
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,17
2022,Shoplifting,250
2022,Stock-theft,92
2022,Street Robbery,219
2022,TRIO crimes,106
2022,Theft of motor vehicle and motorcycle,21
2022,Theft out of or from motor vehicle,202
2022,Truck hijacking,4
2021,Abduction,0
2021,Arson,9
2021,Assault with the intent to inflict grievous bodily harm,352
2021,Attempted murder,57
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,198
2021,Burglary at residential premises,360
2021,Carjacking,11
2021,Commercial crime,249
2021,Common assault,455
2021,Common robbery,79
2021,Contact sexual offences,0
2021,Crimen Injuria,81
2021,Culpable homicide,27
2021,Driving under the influence of alcohol or drugs,16
2021,Drug-related crime,255
2021,Illegal possession of firearms and ammunition,31
2021,Kidnapping,34
2021,Malicious damage to property,193
2021,Murder,54
2021,Neglect and ill-treatment of children,4
2021,Public violence,0
2021,Rape,106
2021,Robbery at non-residential premises,40
2021,Robbery at residential premises,39
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,242
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,18
2021,Shoplifting,220
2021,Stock-theft,132
2021,Street Robbery,151
2021,TRIO crimes,90
2021,Theft of motor vehicle and motorcycle,28
2021,Theft out of or from motor vehicle,102
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,9
2020,Assault with the intent to inflict grievous bodily harm,411
2020,Attempted murder,94
2020,Attempted sexual offences,5
2020,Bank robbery,0
2020,Burglary at non-residential premises,193
2020,Burglary at residential premises,541
2020,Carjacking,8
2020,Commercial crime,194
2020,Common assault,662
2020,Common robbery,122
2020,Contact sexual offences,3
2020,Crimen Injuria,106
2020,Culpable homicide,40
2020,Driving under the influence of alcohol or drugs,245
2020,Drug-related crime,169
2020,Illegal possession of firearms and ammunition,31
2020,Kidnapping,30
2020,Malicious damage to property,243
2020,Murder,60
2020,Neglect and ill-treatment of children,2
2020,Public violence,5
2020,Rape,108
2020,Robbery at non-residential premises,40
2020,Robbery at residential premises,28
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,257
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,22
2020,Shoplifting,261
2020,Stock-theft,146
2020,Street Robbery,179
2020,TRIO crimes,76
2020,Theft of motor vehicle and motorcycle,23
2020,Theft out of or from motor vehicle,213
2020,Truck hijacking,2
2019,Abduction,0
2019,Arson,5
2019,Assault with the intent to inflict grievous bodily harm,400
2019,Attempted murder,70
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,205
2019,Burglary at residential premises,458
2019,Carjacking,8
2019,Commercial crime,157
2019,Common assault,671
2019,Common robbery,120
2019,Contact sexual offences,3
2019,Crimen Injuria,117
2019,Culpable homicide,33
2019,Driving under the influence of alcohol or drugs,183
2019,Drug-related crime,91
2019,Illegal possession of firearms and ammunition,53
2019,Kidnapping,31
2019,Malicious damage to property,274
2019,Murder,46
2019,Neglect and ill-treatment of children,1
2019,Public violence,8
2019,Rape,97
2019,Robbery at non-residential premises,34
2019,Robbery at residential premises,36
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,287
2019,Sexual Offences detected as a result of police action,1
2019,Sexual assault,13
2019,Shoplifting,257
2019,Stock-theft,133
2019,Street Robbery,208
2019,TRIO crimes,78
2019,Theft of motor vehicle and motorcycle,35
2019,Theft out of or from motor vehicle,213
2019,Truck hijacking,1
2018,Abduction,0
2018,Arson,8
2018,Assault with the intent to inflict grievous bodily harm,359
2018,Attempted murder,49
2018,Attempted sexual offences,5
2018,Bank robbery,0
2018,Burglary at non-residential premises,170
2018,Burglary at residential premises,441
2018,Carjacking,12
2018,Commercial crime,100
2018,Common assault,574
2018,Common robbery,85
2018,Contact sexual offences,2
2018,Crimen Injuria,70
2018,Culpable homicide,28
2018,Driving under the influence of alcohol or drugs,205
2018,Drug-related crime,130
2018,Illegal possession of firearms and ammunition,52
2018,Kidnapping,23
2018,Malicious damage to property,184
2018,Murder,40
2018,Neglect and ill-treatment of children,0
2018,Public violence,6
2018,Rape,78
2018,Robbery at non-residential premises,36
2018,Robbery at residential premises,26
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,235
2018,Sexual Offences detected as a result of police action,1
2018,Sexual assault,6
2018,Shoplifting,247
2018,Stock-theft,146
2018,Street Robbery,159
2018,TRIO crimes,74
2018,Theft of motor vehicle and motorcycle,35
2018,Theft out of or from motor vehicle,238
2018,Truck hijacking,2
2017,Abduction,2
2017,Arson,5
2017,Assault with the intent to inflict grievous bodily harm,392
2017,Attempted murder,58
2017,Attempted sexual offences,9
2017,Bank robbery,0
2017,Burglary at non-residential premises,168
2017,Burglary at residential premises,429
2017,Carjacking,11
2017,Commercial crime,149
2017,Common assault,559
2017,Common robbery,105
2017,Contact sexual offences,4
2017,Crimen Injuria,72
2017,Culpable homicide,24
2017,Driving under the influence of alcohol or drugs,345
2017,Drug-related crime,170
2017,Illegal possession of firearms and ammunition,64
2017,Kidnapping,12
