year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,176
2024,Attempted murder,42
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,72
2024,Burglary at residential premises,139
2024,Carjacking,6
2024,Commercial crime,195
2024,Common assault,162
2024,Common robbery,60
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,21
2024,Drug-related crime,74
2024,Illegal possession of firearms and ammunition,18
2024,Kidnapping,27
2024,Malicious damage to property,111
2024,Murder,47
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,72
2024,Robbery at non-residential premises,28
2024,Robbery at residential premises,30
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,135
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,115
2024,Stock-theft,116
2024,Street Robbery,66
2024,TRIO crimes,64
2024,Theft of motor vehicle and motorcycle,11
2024,Theft out of or from motor vehicle,88
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,128
2023,Attempted murder,66
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,77
2023,Burglary at residential premises,150
2023,Carjacking,9
2023,Commercial crime,163
2023,Common assault,133
2023,Common robbery,65
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,16
2023,Drug-related crime,79
2023,Illegal possession of firearms and ammunition,22
2023,Kidnapping,21
2023,Malicious damage to property,91
2023,Murder,55
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,64
2023,Robbery at non-residential premises,24
2023,Robbery at residential premises,14
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,124
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,6
2023,Shoplifting,93
2023,Stock-theft,146
2023,Street Robbery,75
2023,TRIO crimes,47
2023,Theft of motor vehicle and motorcycle,18
2023,Theft out of or from motor vehicle,65
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,178
2022,Attempted murder,57
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,67
2022,Burglary at residential premises,117
2022,Carjacking,6
2022,Commercial crime,120
2022,Common assault,141
2022,Common robbery,68
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,43
2022,Drug-related crime,98
2022,Illegal possession of firearms and ammunition,15
2022,Kidnapping,19
2022,Malicious damage to property,90
2022,Murder,32
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,63
2022,Robbery at non-residential premises,19
