year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,257
2024,Attempted murder,109
2024,Attempted sexual offences,9
2024,Bank robbery,0
2024,Burglary at non-residential premises,53
2024,Burglary at residential premises,95
2024,Carjacking,9
2024,Commercial crime,43
2024,Common assault,96
2024,Common robbery,22
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,4
2024,Drug-related crime,17
2024,Illegal possession of firearms and ammunition,34
2024,Kidnapping,17
2024,Malicious damage to property,81
2024,Murder,61
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,80
2024,Robbery at non-residential premises,4
2024,Robbery at residential premises,31
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,74
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,37
2024,Stock-theft,28
2024,Street Robbery,44
2024,TRIO crimes,44
2024,Theft of motor vehicle and motorcycle,5
2024,Theft out of or from motor vehicle,46
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,257
2023,Attempted murder,60
2023,Attempted sexual offences,8
2023,Bank robbery,0
2023,Burglary at non-residential premises,66
2023,Burglary at residential premises,96
2023,Carjacking,5
2023,Commercial crime,71
2023,Common assault,77
2023,Common robbery,21
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,1
2023,Drug-related crime,12
2023,Illegal possession of firearms and ammunition,14
2023,Kidnapping,29
2023,Malicious damage to property,98
2023,Murder,39
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,90
2023,Robbery at non-residential premises,14
2023,Robbery at residential premises,50
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,97
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,39
2023,Stock-theft,28
2023,Street Robbery,27
2023,TRIO crimes,69
2023,Theft of motor vehicle and motorcycle,9
2023,Theft out of or from motor vehicle,35
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,298
2022,Attempted murder,49
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,135
2022,Burglary at residential premises,101
2022,Carjacking,18
2022,Commercial crime,51
2022,Common assault,89
2022,Common robbery,19
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,1
2022,Drug-related crime,12
2022,Illegal possession of firearms and ammunition,9
2022,Kidnapping,16
2022,Malicious damage to property,104
2022,Murder,46
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,68
2022,Robbery at non-residential premises,6
