year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,246
2024,Attempted murder,72
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,93
2024,Burglary at residential premises,143
2024,Carjacking,33
2024,Commercial crime,39
2024,Common assault,155
2024,Common robbery,32
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,25
2024,Drug-related crime,59
2024,Illegal possession of firearms and ammunition,29
2024,Kidnapping,43
2024,Malicious damage to property,113
2024,Murder,27
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,103
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,58
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,215
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,3
2024,Stock-theft,37
2024,Street Robbery,118
2024,TRIO crimes,118
2024,Theft of motor vehicle and motorcycle,11
2024,Theft out of or from motor vehicle,74
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,270
2023,Attempted murder,50
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,75
2023,Burglary at residential premises,125
2023,Carjacking,32
2023,Commercial crime,43
2023,Common assault,164
2023,Common robbery,36
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,13
2023,Drug-related crime,31
2023,Illegal possession of firearms and ammunition,44
2023,Kidnapping,31
2023,Malicious damage to property,143
2023,Murder,37
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,123
2023,Robbery at non-residential premises,35
2023,Robbery at residential premises,70
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,199
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,4
2023,Stock-theft,26
2023,Street Robbery,61
2023,TRIO crimes,137
2023,Theft of motor vehicle and motorcycle,13
2023,Theft out of or from motor vehicle,42
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,10
2022,Assault with the intent to inflict grievous bodily harm,256
2022,Attempted murder,62
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,82
2022,Burglary at residential premises,162
2022,Carjacking,41
2022,Commercial crime,36
2022,Common assault,175
2022,Common robbery,31
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,26
2022,Drug-related crime,18
2022,Illegal possession of firearms and ammunition,46
2022,Kidnapping,17
2022,Malicious damage to property,169
2022,Murder,37
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,108
2022,Robbery at non-residential premises,33
2022,Robbery at residential premises,63
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,184
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,9
2022,Shoplifting,4
2022,Stock-theft,46
2022,Street Robbery,47
2022,TRIO crimes,137
2022,Theft of motor vehicle and motorcycle,8
2022,Theft out of or from motor vehicle,34
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,10
