year,category,value
2024,Abduction,0
2024,Arson,18
2024,Assault with the intent to inflict grievous bodily harm,586
2024,Attempted murder,181
2024,Attempted sexual offences,11
2024,Bank robbery,0
2024,Burglary at non-residential premises,173
2024,Burglary at residential premises,583
2024,Carjacking,93
2024,Commercial crime,647
2024,Common assault,810
2024,Common robbery,188
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,63
2024,Drug-related crime,523
2024,Illegal possession of firearms and ammunition,62
2024,Kidnapping,97
2024,Malicious damage to property,284
2024,Murder,105
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,182
2024,Robbery at non-residential premises,48
2024,Robbery at residential premises,153
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,630
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,16
2024,Shoplifting,230
2024,Stock-theft,56
2024,Street Robbery,300
2024,TRIO crimes,294
2024,Theft of motor vehicle and motorcycle,39
2024,Theft out of or from motor vehicle,314
2024,Truck hijacking,6
2023,Abduction,0
2023,Arson,19
2023,Assault with the intent to inflict grievous bodily harm,630
2023,Attempted murder,133
2023,Attempted sexual offences,11
2023,Bank robbery,0
2023,Burglary at non-residential premises,191
2023,Burglary at residential premises,487
2023,Carjacking,128
2023,Commercial crime,691
2023,Common assault,729
2023,Common robbery,192
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,132
2023,Drug-related crime,439
2023,Illegal possession of firearms and ammunition,73
2023,Kidnapping,100
2023,Malicious damage to property,282
2023,Murder,119
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,223
2023,Robbery at non-residential premises,76
2023,Robbery at residential premises,145
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,660
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,26
2023,Shoplifting,274
2023,Stock-theft,72
2023,Street Robbery,309
2023,TRIO crimes,349
