year,category,value
2024,Abduction,0
2024,Arson,12
2024,Assault with the intent to inflict grievous bodily harm,473
2024,Attempted murder,116
2024,Attempted sexual offences,9
2024,Bank robbery,0
2024,Burglary at non-residential premises,56
2024,Burglary at residential premises,286
2024,Carjacking,37
2024,Commercial crime,156
2024,Common assault,322
2024,Common robbery,76
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,32
2024,Drug-related crime,265
2024,Illegal possession of firearms and ammunition,48
2024,Kidnapping,31
2024,Malicious damage to property,153
2024,Murder,80
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,130
2024,Robbery at non-residential premises,28
2024,Robbery at residential premises,202
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,488
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,91
2024,Stock-theft,22
2024,Street Robbery,269
2024,TRIO crimes,267
2024,Theft of motor vehicle and motorcycle,10
2024,Theft out of or from motor vehicle,31
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,464
2023,Attempted murder,70
2023,Attempted sexual offences,8
2023,Bank robbery,0
2023,Burglary at non-residential premises,55
2023,Burglary at residential premises,294
2023,Carjacking,52
2023,Commercial crime,106
2023,Common assault,239
2023,Common robbery,62
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,48
2023,Drug-related crime,251
2023,Illegal possession of firearms and ammunition,45
2023,Kidnapping,33
2023,Malicious damage to property,112
2023,Murder,89
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,127
2023,Robbery at non-residential premises,43
2023,Robbery at residential premises,209
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,457
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,15
2023,Shoplifting,0
2023,Stock-theft,22
2023,Street Robbery,150
2023,TRIO crimes,304
2023,Theft of motor vehicle and motorcycle,29
2023,Theft out of or from motor vehicle,40
2023,Truck hijacking,3
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,422
2022,Attempted murder,83
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,70
2022,Burglary at residential premises,329
2022,Carjacking,33
2022,Commercial crime,102
2022,Common assault,281
2022,Common robbery,65
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,47
2022,Drug-related crime,262
2022,Illegal possession of firearms and ammunition,25
2022,Kidnapping,28
2022,Malicious damage to property,110
2022,Murder,73
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,146
2022,Robbery at non-residential premises,42
2022,Robbery at residential premises,142
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,366
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,9
2022,Shoplifting,32
2022,Stock-theft,15
2022,Street Robbery,144
2022,TRIO crimes,217
2022,Theft of motor vehicle and motorcycle,4
2022,Theft out of or from motor vehicle,25
2022,Truck hijacking,5
2021,Abduction,0
2021,Arson,8
2021,Assault with the intent to inflict grievous bodily harm,410
2021,Attempted murder,60
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,87
2021,Burglary at residential premises,420
2021,Carjacking,30
2021,Commercial crime,135
2021,Common assault,232
2021,Common robbery,50
2021,Contact sexual offences,1
2021,Crimen Injuria,14
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,44
2021,Drug-related crime,213
2021,Illegal possession of firearms and ammunition,24
2021,Kidnapping,13
2021,Malicious damage to property,129
2021,Murder,90
2021,Neglect and ill-treatment of children,2
2021,Public violence,5
2021,Rape,102
2021,Robbery at non-residential premises,41
2021,Robbery at residential premises,145
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,407
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,15
2021,Shoplifting,112
2021,Stock-theft,10
2021,Street Robbery,189
2021,TRIO crimes,216
2021,Theft of motor vehicle and motorcycle,14
2021,Theft out of or from motor vehicle,98
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,421
2020,Attempted murder,55
2020,Attempted sexual offences,7
2020,Bank robbery,0
2020,Burglary at non-residential premises,77
2020,Burglary at residential premises,379
2020,Carjacking,22
2020,Commercial crime,109
2020,Common assault,278
2020,Common robbery,92
2020,Contact sexual offences,0
2020,Crimen Injuria,15
2020,Culpable homicide,18
2020,Driving under the influence of alcohol or drugs,83
2020,Drug-related crime,312
2020,Illegal possession of firearms and ammunition,24
2020,Kidnapping,17
2020,Malicious damage to property,143
2020,Murder,67
2020,Neglect and ill-treatment of children,2
2020,Public violence,3
2020,Rape,126
2020,Robbery at non-residential premises,24
2020,Robbery at residential premises,122
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,387
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,18
2020,Shoplifting,121
2020,Stock-theft,3
2020,Street Robbery,218
2020,TRIO crimes,168
2020,Theft of motor vehicle and motorcycle,12
2020,Theft out of or from motor vehicle,119
2020,Truck hijacking,1
2019,Abduction,0
2019,Arson,8
2019,Assault with the intent to inflict grievous bodily harm,382
2019,Attempted murder,64
2019,Attempted sexual offences,3
2019,Bank robbery,0
2019,Burglary at non-residential premises,53
2019,Burglary at residential premises,524
2019,Carjacking,14
2019,Commercial crime,138
2019,Common assault,235
2019,Common robbery,79
2019,Contact sexual offences,0
2019,Crimen Injuria,13
2019,Culpable homicide,15
2019,Driving under the influence of alcohol or drugs,58
2019,Drug-related crime,354
2019,Illegal possession of firearms and ammunition,34
2019,Kidnapping,11
2019,Malicious damage to property,108
2019,Murder,72
2019,Neglect and ill-treatment of children,2
2019,Public violence,3
2019,Rape,131
2019,Robbery at non-residential premises,36
2019,Robbery at residential premises,69
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,373
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,19
2019,Shoplifting,130
2019,Stock-theft,5
2019,Street Robbery,254
2019,TRIO crimes,119
2019,Theft of motor vehicle and motorcycle,17
2019,Theft out of or from motor vehicle,79
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,405
2018,Attempted murder,65
2018,Attempted sexual offences,2
2018,Bank robbery,0
2018,Burglary at non-residential premises,100
2018,Burglary at residential premises,570
2018,Carjacking,22
2018,Commercial crime,143
2018,Common assault,221
2018,Common robbery,87
2018,Contact sexual offences,2
2018,Crimen Injuria,18
2018,Culpable homicide,10
2018,Driving under the influence of alcohol or drugs,53
2018,Drug-related crime,405
2018,Illegal possession of firearms and ammunition,29
2018,Kidnapping,11
2018,Malicious damage to property,128
2018,Murder,62
2018,Neglect and ill-treatment of children,1
2018,Public violence,3
2018,Rape,118
2018,Robbery at non-residential premises,24
2018,Robbery at residential premises,84
