year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,270
2024,Attempted murder,89
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,158
2024,Burglary at residential premises,367
2024,Carjacking,34
2024,Commercial crime,654
2024,Common assault,307
2024,Common robbery,102
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,119
2024,Drug-related crime,247
2024,Illegal possession of firearms and ammunition,36
2024,Kidnapping,58
2024,Malicious damage to property,159
2024,Murder,41
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,67
2024,Robbery at non-residential premises,29
2024,Robbery at residential premises,65
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,313
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,19
2024,Shoplifting,225
2024,Stock-theft,3
2024,Street Robbery,129
2024,TRIO crimes,128
2024,Theft of motor vehicle and motorcycle,35
2024,Theft out of or from motor vehicle,518
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,221
2023,Attempted murder,56
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,137
2023,Burglary at residential premises,301
2023,Carjacking,31
2023,Commercial crime,612
2023,Common assault,293
2023,Common robbery,86
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,79
2023,Drug-related crime,225
2023,Illegal possession of firearms and ammunition,34
2023,Kidnapping,65
2023,Malicious damage to property,168
2023,Murder,26
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,69
2023,Robbery at non-residential premises,50
2023,Robbery at residential premises,52
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,316
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,19
2023,Shoplifting,327
2023,Stock-theft,9
2023,Street Robbery,182
2023,TRIO crimes,133
2023,Theft of motor vehicle and motorcycle,104
2023,Theft out of or from motor vehicle,525
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,207
2022,Attempted murder,63
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,146
2022,Burglary at residential premises,209
2022,Carjacking,18
2022,Commercial crime,551
2022,Common assault,315
2022,Common robbery,90
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,119
2022,Drug-related crime,130
2022,Illegal possession of firearms and ammunition,16
2022,Kidnapping,30
2022,Malicious damage to property,163
2022,Murder,29
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,75
2022,Robbery at non-residential premises,32
2022,Robbery at residential premises,32
2022,Robbery of cash in transit,3
2022,Robbery with aggravating circumstances,203
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,23
2022,Shoplifting,276
2022,Stock-theft,8
2022,Street Robbery,118
2022,TRIO crimes,82
2022,Theft of motor vehicle and motorcycle,41
2022,Theft out of or from motor vehicle,343
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,184
2021,Attempted murder,50
2021,Attempted sexual offences,5
2021,Bank robbery,0
2021,Burglary at non-residential premises,146
2021,Burglary at residential premises,423
2021,Carjacking,32
2021,Commercial crime,369
2021,Common assault,285
2021,Common robbery,59
2021,Contact sexual offences,0
2021,Crimen Injuria,41
2021,Culpable homicide,16
2021,Driving under the influence of alcohol or drugs,57
2021,Drug-related crime,113
2021,Illegal possession of firearms and ammunition,11
2021,Kidnapping,22
2021,Malicious damage to property,149
2021,Murder,16
2021,Neglect and ill-treatment of children,3
2021,Public violence,3
2021,Rape,49
2021,Robbery at non-residential premises,22
2021,Robbery at residential premises,51
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,207
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,19
2021,Shoplifting,231
2021,Stock-theft,14
2021,Street Robbery,102
2021,TRIO crimes,105
2021,Theft of motor vehicle and motorcycle,38
2021,Theft out of or from motor vehicle,248
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,5
2020,Assault with the intent to inflict grievous bodily harm,224
2020,Attempted murder,45
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,246
2020,Burglary at residential premises,398
2020,Carjacking,17
2020,Commercial crime,349
2020,Common assault,299
2020,Common robbery,104
2020,Contact sexual offences,0
2020,Crimen Injuria,67
2020,Culpable homicide,20
2020,Driving under the influence of alcohol or drugs,161
2020,Drug-related crime,198
2020,Illegal possession of firearms and ammunition,11
