year,category,value
2024,Abduction,0
2024,Arson,6
2024,Assault with the intent to inflict grievous bodily harm,357
2024,Attempted murder,31
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,44
2024,Burglary at residential premises,240
2024,Carjacking,7
2024,Commercial crime,91
2024,Common assault,122
2024,Common robbery,45
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,19
2024,Drug-related crime,45
2024,Illegal possession of firearms and ammunition,42
2024,Kidnapping,15
2024,Malicious damage to property,83
2024,Murder,37
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,59
2024,Robbery at non-residential premises,23
2024,Robbery at residential premises,89
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,212
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,16
2024,Shoplifting,6
2024,Stock-theft,48
2024,Street Robbery,122
2024,TRIO crimes,119
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,34
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,286
2023,Attempted murder,46
2023,Attempted sexual offences,9
2023,Bank robbery,0
2023,Burglary at non-residential premises,61
2023,Burglary at residential premises,222
2023,Carjacking,8
2023,Commercial crime,81
2023,Common assault,117
2023,Common robbery,35
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,8
2023,Drug-related crime,43
2023,Illegal possession of firearms and ammunition,30
2023,Kidnapping,15
2023,Malicious damage to property,55
2023,Murder,33
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,68
2023,Robbery at non-residential premises,34
2023,Robbery at residential premises,111
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,211
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,12
2023,Shoplifting,1
2023,Stock-theft,70
2023,Street Robbery,58
2023,TRIO crimes,153
2023,Theft of motor vehicle and motorcycle,6
2023,Theft out of or from motor vehicle,22
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,307
2022,Attempted murder,39
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,55
2022,Burglary at residential premises,165
2022,Carjacking,11
2022,Commercial crime,49
2022,Common assault,90
2022,Common robbery,40
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,25
2022,Drug-related crime,28
2022,Illegal possession of firearms and ammunition,15
2022,Kidnapping,14
2022,Malicious damage to property,87
2022,Murder,40
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,83
2022,Robbery at non-residential premises,22
2022,Robbery at residential premises,130
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,213
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,12
2022,Shoplifting,2
2022,Stock-theft,37
2022,Street Robbery,47
2022,TRIO crimes,163
2022,Theft of motor vehicle and motorcycle,8
2022,Theft out of or from motor vehicle,23
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,258
2021,Attempted murder,64
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,70
2021,Burglary at residential premises,203
2021,Carjacking,4
2021,Commercial crime,42
2021,Common assault,80
2021,Common robbery,29
2021,Contact sexual offences,2
2021,Crimen Injuria,9
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,20
2021,Drug-related crime,32
2021,Illegal possession of firearms and ammunition,35
2021,Kidnapping,11
2021,Malicious damage to property,75
2021,Murder,39
2021,Neglect and ill-treatment of children,2
2021,Public violence,4
2021,Rape,67
2021,Robbery at non-residential premises,18
2021,Robbery at residential premises,113
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,176
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,11
2021,Shoplifting,8
2021,Stock-theft,23
2021,Street Robbery,40
2021,TRIO crimes,135
2021,Theft of motor vehicle and motorcycle,4
2021,Theft out of or from motor vehicle,15
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,9
2020,Assault with the intent to inflict grievous bodily harm,273
2020,Attempted murder,46
2020,Attempted sexual offences,5
2020,Bank robbery,0
2020,Burglary at non-residential premises,76
2020,Burglary at residential premises,239
2020,Carjacking,10
2020,Commercial crime,37
2020,Common assault,78
2020,Common robbery,31
2020,Contact sexual offences,0
2020,Crimen Injuria,11
2020,Culpable homicide,16
2020,Driving under the influence of alcohol or drugs,55
2020,Drug-related crime,55
2020,Illegal possession of firearms and ammunition,35
2020,Kidnapping,7
2020,Malicious damage to property,74
2020,Murder,39
2020,Neglect and ill-treatment of children,0
2020,Public violence,6
2020,Rape,82
2020,Robbery at non-residential premises,24
2020,Robbery at residential premises,127
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,220
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,14
2020,Shoplifting,4
2020,Stock-theft,27
2020,Street Robbery,59
2020,TRIO crimes,161
2020,Theft of motor vehicle and motorcycle,8
2020,Theft out of or from motor vehicle,30
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,7
2019,Assault with the intent to inflict grievous bodily harm,338
2019,Attempted murder,32
2019,Attempted sexual offences,4
2019,Bank robbery,0
2019,Burglary at non-residential premises,86
2019,Burglary at residential premises,412
2019,Carjacking,7
2019,Commercial crime,30
2019,Common assault,124
2019,Common robbery,42
2019,Contact sexual offences,0
2019,Crimen Injuria,22
2019,Culpable homicide,11
2019,Driving under the influence of alcohol or drugs,32
2019,Drug-related crime,30
2019,Illegal possession of firearms and ammunition,17
2019,Kidnapping,10
2019,Malicious damage to property,103
2019,Murder,30
2019,Neglect and ill-treatment of children,2
2019,Public violence,2
2019,Rape,69
2019,Robbery at non-residential premises,16
2019,Robbery at residential premises,185
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,277
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,15
2019,Shoplifting,8
2019,Stock-theft,31
2019,Street Robbery,69
2019,TRIO crimes,208
2019,Theft of motor vehicle and motorcycle,6
2019,Theft out of or from motor vehicle,33
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,287
2018,Attempted murder,39
2018,Attempted sexual offences,4
2018,Bank robbery,0
2018,Burglary at non-residential premises,88
2018,Burglary at residential premises,419
2018,Carjacking,8
2018,Commercial crime,48
2018,Common assault,114
2018,Common robbery,43
2018,Contact sexual offences,2
2018,Crimen Injuria,17
2018,Culpable homicide,17
2018,Driving under the influence of alcohol or drugs,30
2018,Drug-related crime,76
2018,Illegal possession of firearms and ammunition,25
2018,Kidnapping,7
2018,Malicious damage to property,93
2018,Murder,29
2018,Neglect and ill-treatment of children,4
2018,Public violence,8
2018,Rape,69
2018,Robbery at non-residential premises,45
2018,Robbery at residential premises,136
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,258
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,14
2018,Shoplifting,6
2018,Stock-theft,28
2018,Street Robbery,69
2018,TRIO crimes,189
2018,Theft of motor vehicle and motorcycle,5
2018,Theft out of or from motor vehicle,14
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,9
2017,Assault with the intent to inflict grievous bodily harm,295
2017,Attempted murder,38
2017,Attempted sexual offences,5
2017,Bank robbery,0
2017,Burglary at non-residential premises,76
2017,Burglary at residential premises,438
2017,Carjacking,12
2017,Commercial crime,34
2017,Common assault,126
2017,Common robbery,55
2017,Contact sexual offences,1
2017,Crimen Injuria,25
2017,Culpable homicide,16
2017,Driving under the influence of alcohol or drugs,29
2017,Drug-related crime,64
2017,Illegal possession of firearms and ammunition,16
2017,Kidnapping,6
2017,Malicious damage to property,79
2017,Murder,27
2017,Neglect and ill-treatment of children,0
2017,Public violence,5
2017,Rape,58
2017,Robbery at non-residential premises,28
2017,Robbery at residential premises,184
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,286
2017,Sexual Offences detected as a result of police action,1
2017,Sexual assault,10
2017,Shoplifting,12
2017,Stock-theft,25
2017,Street Robbery,61
2017,TRIO crimes,224
2017,Theft of motor vehicle and motorcycle,17
2017,Theft out of or from motor vehicle,44
2017,Truck hijacking,1
2016,Arson,13
2016,Assault with the intent to inflict grievous bodily harm,332
2016,Attempted murder,28
2016,Attempted sexual offences,4
2016,Bank robbery,0
2016,Burglary at non-residential premises,82
2016,Burglary at residential premises,342
2016,Carjacking,11
2016,Commercial crime,30
2016,Common assault,111
2016,Common robbery,55
2016,Contact sexual offences,3
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,24
2016,Drug-related crime,98
2016,Illegal possession of firearms and ammunition,27
2016,Kidnapping,12
2016,Malicious damage to property,91
2016,Murder,22
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,63
2016,Robbery at non-residential premises,38
2016,Robbery at residential premises,95
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,205
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,13
2016,Shoplifting,10
2016,Stock-theft,42
2016,Street Robbery,61
2016,TRIO crimes,144
2016,Theft of motor vehicle and motorcycle,12
2016,Theft out of or from motor vehicle,30
2016,Truck hijacking,0
2015,Arson,9
2015,Assault with the intent to inflict grievous bodily harm,286
2015,Attempted murder,28
2015,Attempted sexual offences,2
2015,Bank robbery,0
2015,Burglary at non-residential premises,55
2015,Burglary at residential premises,410
2015,Carjacking,7
2015,Commercial crime,20
2015,Common assault,143
2015,Common robbery,47
2015,Contact sexual offences,5
2015,Crimen Injuria,23
2015,Culpable homicide,19
2015,Driving under the influence of alcohol or drugs,19
2015,Drug-related crime,60
2015,Illegal possession of firearms and ammunition,19
2015,Kidnapping,9
2015,Malicious damage to property,87
2015,Murder,26
2015,Neglect and ill-treatment of children,3
2015,Public violence,0
2015,Rape,71
2015,Robbery at non-residential premises,27
2015,Robbery at residential premises,120
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,236
2015,Sexual Offences detected as a result of police action,0
2015,Sexual assault,27
2015,Shoplifting,3
2015,Stock-theft,30
2015,Street Robbery,82
2015,TRIO crimes,154
2015,Theft of motor vehicle and motorcycle,7
2015,Theft out of or from motor vehicle,37
2015,Truck hijacking,0
2014,Arson,18
2014,Assault with the intent to inflict grievous bodily harm,330
2014,Attempted murder,26
2014,Attempted sexual offences,7
2014,Bank robbery,0
2014,Burglary at non-residential premises,96
2014,Burglary at residential premises,430
2014,Carjacking,10
2014,Commercial crime,39
2014,Common assault,148
2014,Common robbery,67
2014,Contact sexual offences,1
2014,Crimen Injuria,28
2014,Culpable homicide,11
2014,Driving under the influence of alcohol or drugs,15
2014,Drug-related crime,28
2014,Illegal possession of firearms and ammunition,39
2014,Kidnapping,8
2014,Malicious damage to property,89
2014,Murder,26
2014,Neglect and ill-treatment of children,0
2014,Public violence,0
2014,Rape,60
2014,Robbery at non-residential premises,33
2014,Robbery at residential premises,162
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,283
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,23
2014,Shoplifting,5
2014,Stock-theft,25
2014,Street Robbery,78
2014,TRIO crimes,205
2014,Theft of motor vehicle and motorcycle,10
2014,Theft out of or from motor vehicle,40
2014,Truck hijacking,0
2013,Arson,15
2013,Assault with the intent to inflict grievous bodily harm,363
2013,Attempted murder,33
2013,Attempted sexual offences,5
2013,Bank robbery,0
2013,Burglary at non-residential premises,78
2013,Burglary at residential premises,407
2013,Carjacking,5
2013,Commercial crime,21
2013,Common assault,152
2013,Common robbery,57
2013,Contact sexual offences,4
2013,Crimen Injuria,20
2013,Culpable homicide,15
2013,Driving under the influence of alcohol or drugs,25
2013,Drug-related crime,29
2013,Illegal possession of firearms and ammunition,28
2013,Kidnapping,4
2013,Malicious damage to property,73
2013,Murder,34
2013,Neglect and ill-treatment of children,1
2013,Public violence,0
2013,Rape,80
2013,Robbery at non-residential premises,17
2013,Robbery at residential premises,80
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,193
2013,Sexual Offences detected as a result of police action,0
2013,Sexual assault,17
2013,Shoplifting,1
2013,Stock-theft,20
2013,Street Robbery,90
2013,TRIO crimes,102
2013,Theft of motor vehicle and motorcycle,6
2013,Theft out of or from motor vehicle,38
2013,Truck hijacking,1
2012,Arson,9
2012,Assault with the intent to inflict grievous bodily harm,330
2012,Attempted murder,31
2012,Attempted sexual offences,8
2012,Bank robbery,0
2012,Burglary at non-residential premises,56
2012,Burglary at residential premises,373
2012,Carjacking,6
2012,Commercial crime,22
2012,Common assault,195
2012,Common robbery,58
2012,Contact sexual offences,2
2012,Crimen Injuria,25
2012,Culpable homicide,22
2012,Driving under the influence of alcohol or drugs,18
2012,Drug-related crime,21
2012,Illegal possession of firearms and ammunition,32
2012,Kidnapping,8
2012,Malicious damage to property,99
2012,Murder,32
2012,Neglect and ill-treatment of children,2
2012,Public violence,0
2012,Rape,48
