year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,299
2024,Attempted murder,25
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,40
2024,Burglary at residential premises,155
2024,Carjacking,1
2024,Commercial crime,36
2024,Common assault,145
2024,Common robbery,15
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,70
2024,Drug-related crime,228
2024,Illegal possession of firearms and ammunition,23
2024,Kidnapping,10
2024,Malicious damage to property,94
2024,Murder,20
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,67
2024,Robbery at non-residential premises,10
2024,Robbery at residential premises,14
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,46
2024,Sexual Offences detected as a result of police action,9
2024,Sexual assault,9
2024,Shoplifting,12
2024,Stock-theft,95
2024,Street Robbery,25
2024,TRIO crimes,25
2024,Theft of motor vehicle and motorcycle,8
2024,Theft out of or from motor vehicle,20
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,234
2023,Attempted murder,16
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,38
2023,Burglary at residential premises,149
2023,Carjacking,1
2023,Commercial crime,18
2023,Common assault,88
2023,Common robbery,11
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,33
2023,Drug-related crime,174
2023,Illegal possession of firearms and ammunition,15
2023,Kidnapping,17
2023,Malicious damage to property,33
2023,Murder,18
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,79
2023,Robbery at non-residential premises,21
2023,Robbery at residential premises,15
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,47
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,1
2023,Stock-theft,93
2023,Street Robbery,10
2023,TRIO crimes,37
2023,Theft of motor vehicle and motorcycle,5
2023,Theft out of or from motor vehicle,10
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,242
2022,Attempted murder,23
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,44
2022,Burglary at residential premises,134
2022,Carjacking,0
2022,Commercial crime,25
2022,Common assault,82
2022,Common robbery,6
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,33
2022,Drug-related crime,159
2022,Illegal possession of firearms and ammunition,18
2022,Kidnapping,9
2022,Malicious damage to property,64
2022,Murder,35
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,79
2022,Robbery at non-residential premises,16
