year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,354
2024,Attempted murder,43
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,163
2024,Burglary at residential premises,365
2024,Carjacking,3
2024,Commercial crime,357
2024,Common assault,282
2024,Common robbery,83
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,88
2024,Drug-related crime,320
2024,Illegal possession of firearms and ammunition,55
2024,Kidnapping,25
2024,Malicious damage to property,160
2024,Murder,27
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,64
2024,Robbery at non-residential premises,16
2024,Robbery at residential premises,24
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,170
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,10
2024,Shoplifting,186
2024,Stock-theft,86
2024,Street Robbery,44
2024,TRIO crimes,43
2024,Theft of motor vehicle and motorcycle,15
2024,Theft out of or from motor vehicle,164
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,349
2023,Attempted murder,19
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,157
2023,Burglary at residential premises,387
2023,Carjacking,7
2023,Commercial crime,379
2023,Common assault,361
2023,Common robbery,107
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,68
2023,Drug-related crime,262
2023,Illegal possession of firearms and ammunition,57
2023,Kidnapping,43
2023,Malicious damage to property,160
2023,Murder,28
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,80
2023,Robbery at non-residential premises,37
2023,Robbery at residential premises,41
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,211
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,6
2023,Shoplifting,175
2023,Stock-theft,101
2023,Street Robbery,125
2023,TRIO crimes,85
2023,Theft of motor vehicle and motorcycle,24
2023,Theft out of or from motor vehicle,139
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,323
2022,Attempted murder,22
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,140
2022,Burglary at residential premises,222
2022,Carjacking,7
2022,Commercial crime,294
2022,Common assault,353
2022,Common robbery,80
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,93
2022,Drug-related crime,133
2022,Illegal possession of firearms and ammunition,18
2022,Kidnapping,12
2022,Malicious damage to property,162
2022,Murder,19
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,64
2022,Robbery at non-residential premises,26
2022,Robbery at residential premises,20
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,121
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,7
2022,Shoplifting,98
2022,Stock-theft,90
2022,Street Robbery,68
2022,TRIO crimes,53
2022,Theft of motor vehicle and motorcycle,30
2022,Theft out of or from motor vehicle,79
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,286
2021,Attempted murder,12
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,101
2021,Burglary at residential premises,312
2021,Carjacking,4
2021,Commercial crime,198
2021,Common assault,255
2021,Common robbery,44
2021,Contact sexual offences,3
2021,Crimen Injuria,28
2021,Culpable homicide,18
2021,Driving under the influence of alcohol or drugs,32
2021,Drug-related crime,210
2021,Illegal possession of firearms and ammunition,15
2021,Kidnapping,8
2021,Malicious damage to property,140
2021,Murder,17
2021,Neglect and ill-treatment of children,3
2021,Public violence,1
2021,Rape,31
2021,Robbery at non-residential premises,19
2021,Robbery at residential premises,11
