year,category,value
2024,Abduction,0
2024,Arson,21
2024,Assault with the intent to inflict grievous bodily harm,412
2024,Attempted murder,60
2024,Attempted sexual offences,12
2024,Bank robbery,0
2024,Burglary at non-residential premises,108
2024,Burglary at residential premises,134
2024,Carjacking,5
2024,Commercial crime,111
2024,Common assault,284
2024,Common robbery,45
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,134
2024,Drug-related crime,105
2024,Illegal possession of firearms and ammunition,66
2024,Kidnapping,23
2024,Malicious damage to property,142
2024,Murder,66
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,138
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,35
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,104
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,18
2024,Shoplifting,75
2024,Stock-theft,50
2024,Street Robbery,67
2024,TRIO crimes,67
2024,Theft of motor vehicle and motorcycle,7
2024,Theft out of or from motor vehicle,33
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,15
2023,Assault with the intent to inflict grievous bodily harm,379
2023,Attempted murder,45
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,92
2023,Burglary at residential premises,114
2023,Carjacking,6
2023,Commercial crime,74
2023,Common assault,172
2023,Common robbery,24
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,84
2023,Drug-related crime,91
2023,Illegal possession of firearms and ammunition,42
2023,Kidnapping,41
2023,Malicious damage to property,123
2023,Murder,56
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,138
2023,Robbery at non-residential premises,31
2023,Robbery at residential premises,33
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,111
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,13
2023,Shoplifting,49
2023,Stock-theft,51
2023,Street Robbery,41
2023,TRIO crimes,70
2023,Theft of motor vehicle and motorcycle,6
2023,Theft out of or from motor vehicle,39
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,296
2022,Attempted murder,46
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,217
2022,Burglary at residential premises,115
2022,Carjacking,6
2022,Commercial crime,65
2022,Common assault,153
2022,Common robbery,19
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,50
2022,Drug-related crime,61
2022,Illegal possession of firearms and ammunition,71
2022,Kidnapping,16
2022,Malicious damage to property,112
2022,Murder,64
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,115
2022,Robbery at non-residential premises,28
2022,Robbery at residential premises,21
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,80
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,10
2022,Shoplifting,37
2022,Stock-theft,66
2022,Street Robbery,24
2022,TRIO crimes,55
2022,Theft of motor vehicle and motorcycle,7
2022,Theft out of or from motor vehicle,29
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,12
2021,Assault with the intent to inflict grievous bodily harm,243
2021,Attempted murder,31
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,82
2021,Burglary at residential premises,118
2021,Carjacking,4
2021,Commercial crime,107
2021,Common assault,107
2021,Common robbery,17
2021,Contact sexual offences,0
2021,Crimen Injuria,18
2021,Culpable homicide,20
2021,Driving under the influence of alcohol or drugs,12
2021,Drug-related crime,27
2021,Illegal possession of firearms and ammunition,38
2021,Kidnapping,12
2021,Malicious damage to property,73
2021,Murder,43
2021,Neglect and ill-treatment of children,5
2021,Public violence,1
2021,Rape,81
2021,Robbery at non-residential premises,23
2021,Robbery at residential premises,29
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,100
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,14
2021,Shoplifting,48
2021,Stock-theft,113
2021,Street Robbery,42
2021,TRIO crimes,56
2021,Theft of motor vehicle and motorcycle,4
2021,Theft out of or from motor vehicle,18
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,16
2020,Assault with the intent to inflict grievous bodily harm,314
2020,Attempted murder,31
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,126
2020,Burglary at residential premises,183
2020,Carjacking,4
2020,Commercial crime,102
2020,Common assault,122
2020,Common robbery,19
2020,Contact sexual offences,2
2020,Crimen Injuria,8
2020,Culpable homicide,27
2020,Driving under the influence of alcohol or drugs,399
2020,Drug-related crime,281
2020,Illegal possession of firearms and ammunition,37
2020,Kidnapping,12
2020,Malicious damage to property,87
2020,Murder,59
2020,Neglect and ill-treatment of children,3
2020,Public violence,2
2020,Rape,113
2020,Robbery at non-residential premises,20
2020,Robbery at residential premises,40
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,101
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,15
2020,Shoplifting,61
2020,Stock-theft,104
2020,Street Robbery,36
2020,TRIO crimes,64
2020,Theft of motor vehicle and motorcycle,11
2020,Theft out of or from motor vehicle,31
2020,Truck hijacking,1
2019,Abduction,0
2019,Arson,21
2019,Assault with the intent to inflict grievous bodily harm,281
2019,Attempted murder,50
2019,Attempted sexual offences,0
2019,Bank robbery,0
2019,Burglary at non-residential premises,129
2019,Burglary at residential premises,231
2019,Carjacking,5
2019,Commercial crime,104
2019,Common assault,109
2019,Common robbery,16
2019,Contact sexual offences,0
2019,Crimen Injuria,16
2019,Culpable homicide,28
2019,Driving under the influence of alcohol or drugs,256
2019,Drug-related crime,230
2019,Illegal possession of firearms and ammunition,69
2019,Kidnapping,9
2019,Malicious damage to property,117
2019,Murder,37
2019,Neglect and ill-treatment of children,4
2019,Public violence,0
2019,Rape,135
2019,Robbery at non-residential premises,54
2019,Robbery at residential premises,66
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,179
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,24
2019,Shoplifting,66
2019,Stock-theft,106
2019,Street Robbery,53
2019,TRIO crimes,125
2019,Theft of motor vehicle and motorcycle,21
2019,Theft out of or from motor vehicle,42
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,21
2018,Assault with the intent to inflict grievous bodily harm,244
2018,Attempted murder,37
2018,Attempted sexual offences,1
2018,Bank robbery,0
2018,Burglary at non-residential premises,109
2018,Burglary at residential premises,211
2018,Carjacking,0
2018,Commercial crime,93
2018,Common assault,73
2018,Common robbery,14
2018,Contact sexual offences,0
2018,Crimen Injuria,9
2018,Culpable homicide,33
2018,Driving under the influence of alcohol or drugs,246
2018,Drug-related crime,255
2018,Illegal possession of firearms and ammunition,80
2018,Kidnapping,12
2018,Malicious damage to property,91
2018,Murder,55
2018,Neglect and ill-treatment of children,2
2018,Public violence,0
2018,Rape,130
2018,Robbery at non-residential premises,30
2018,Robbery at residential premises,34
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,102
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,13
2018,Shoplifting,78
2018,Stock-theft,140
2018,Street Robbery,37
2018,TRIO crimes,64
2018,Theft of motor vehicle and motorcycle,19
2018,Theft out of or from motor vehicle,41
2018,Truck hijacking,1
2017,Abduction,1
2017,Arson,9
2017,Assault with the intent to inflict grievous bodily harm,243
2017,Attempted murder,42
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,99
2017,Burglary at residential premises,236
2017,Carjacking,4
2017,Commercial crime,90
2017,Common assault,115
2017,Common robbery,15
2017,Contact sexual offences,2
2017,Crimen Injuria,15
2017,Culpable homicide,26
2017,Driving under the influence of alcohol or drugs,197
2017,Drug-related crime,222
2017,Illegal possession of firearms and ammunition,52
2017,Kidnapping,12
2017,Malicious damage to property,98
2017,Murder,53
2017,Neglect and ill-treatment of children,1
2017,Public violence,1
2017,Rape,108
2017,Robbery at non-residential premises,30
2017,Robbery at residential premises,15
2017,Robbery of cash in transit,2
2017,Robbery with aggravating circumstances,82
2017,Sexual Offences detected as a result of police action,0
2017,Sexual assault,11
2017,Shoplifting,80
2017,Stock-theft,116
2017,Street Robbery,31
2017,TRIO crimes,49
2017,Theft of motor vehicle and motorcycle,10
2017,Theft out of or from motor vehicle,39
2017,Truck hijacking,0
2016,Arson,9
2016,Assault with the intent to inflict grievous bodily harm,294
2016,Attempted murder,38
2016,Attempted sexual offences,0
2016,Bank robbery,0
2016,Burglary at non-residential premises,90
2016,Burglary at residential premises,212
2016,Carjacking,4
2016,Commercial crime,71
2016,Common assault,125
2016,Common robbery,14
2016,Contact sexual offences,0
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,254
2016,Drug-related crime,209
2016,Illegal possession of firearms and ammunition,72
2016,Kidnapping,3
2016,Malicious damage to property,99
2016,Murder,54
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,85
2016,Robbery at non-residential premises,55
2016,Robbery at residential premises,34
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,130
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,24
2016,Shoplifting,73
2016,Stock-theft,67
2016,Street Robbery,36
2016,TRIO crimes,93
2016,Theft of motor vehicle and motorcycle,17
2016,Theft out of or from motor vehicle,30
2016,Truck hijacking,1
2015,Arson,15
2015,Assault with the intent to inflict grievous bodily harm,257
2015,Attempted murder,29
2015,Attempted sexual offences,1
2015,Bank robbery,0
2015,Burglary at non-residential premises,88
2015,Burglary at residential premises,182
2015,Carjacking,2
2015,Commercial crime,96
2015,Common assault,141
2015,Common robbery,11
2015,Contact sexual offences,1
2015,Crimen Injuria,11
2015,Culpable homicide,27
2015,Driving under the influence of alcohol or drugs,151
2015,Drug-related crime,227
2015,Illegal possession of firearms and ammunition,102
2015,Kidnapping,4
2015,Malicious damage to property,73
2015,Murder,46
2015,Neglect and ill-treatment of children,0
2015,Public violence,0
2015,Rape,79
2015,Robbery at non-residential premises,31
2015,Robbery at residential premises,27
2015,Robbery of cash in transit,1
2015,Robbery with aggravating circumstances,86
2015,Sexual Offences detected as a result of police action,0
2015,Sexual assault,25
2015,Shoplifting,91
2015,Stock-theft,56
2015,Street Robbery,24
2015,TRIO crimes,60
2015,Theft of motor vehicle and motorcycle,12
2015,Theft out of or from motor vehicle,36
2015,Truck hijacking,1
2014,Arson,11
2014,Assault with the intent to inflict grievous bodily harm,330
2014,Attempted murder,28
2014,Attempted sexual offences,0
2014,Bank robbery,0
2014,Burglary at non-residential premises,128
2014,Burglary at residential premises,230
2014,Carjacking,1
2014,Commercial crime,109
2014,Common assault,196
2014,Common robbery,28
2014,Contact sexual offences,3
2014,Crimen Injuria,21
2014,Culpable homicide,23
2014,Driving under the influence of alcohol or drugs,112
2014,Drug-related crime,242
2014,Illegal possession of firearms and ammunition,109
2014,Kidnapping,9
2014,Malicious damage to property,88
2014,Murder,40
2014,Neglect and ill-treatment of children,0
2014,Public violence,0
2014,Rape,106
2014,Robbery at non-residential premises,18
2014,Robbery at residential premises,21
2014,Robbery of cash in transit,1
2014,Robbery with aggravating circumstances,68
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,32
2014,Shoplifting,87
2014,Stock-theft,100
2014,Street Robbery,27
2014,TRIO crimes,40
2014,Theft of motor vehicle and motorcycle,9
2014,Theft out of or from motor vehicle,53
2014,Truck hijacking,0
2013,Arson,11
2013,Assault with the intent to inflict grievous bodily harm,294
2013,Attempted murder,38
2013,Attempted sexual offences,0
2013,Bank robbery,1
2013,Burglary at non-residential premises,128
2013,Burglary at residential premises,157
2013,Carjacking,4
2013,Commercial crime,195
2013,Common assault,192
2013,Common robbery,25
2013,Contact sexual offences,2
2013,Crimen Injuria,14
2013,Culpable homicide,28
