year,category,value
2024,Abduction,0
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,400
2024,Attempted murder,35
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,54
2024,Burglary at residential premises,162
2024,Carjacking,3
2024,Commercial crime,155
2024,Common assault,251
2024,Common robbery,43
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,65
2024,Drug-related crime,115
2024,Illegal possession of firearms and ammunition,19
2024,Kidnapping,15
2024,Malicious damage to property,98
2024,Murder,24
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,69
2024,Robbery at non-residential premises,29
2024,Robbery at residential premises,21
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,98
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,8
2024,Shoplifting,150
2024,Stock-theft,24
2024,Street Robbery,53
2024,TRIO crimes,53
2024,Theft of motor vehicle and motorcycle,9
2024,Theft out of or from motor vehicle,70
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,283
2023,Attempted murder,35
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,31
2023,Burglary at residential premises,167
2023,Carjacking,5
2023,Commercial crime,137
2023,Common assault,168
2023,Common robbery,34
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,22
2023,Drug-related crime,69
2023,Illegal possession of firearms and ammunition,31
2023,Kidnapping,14
2023,Malicious damage to property,94
2023,Murder,23
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,75
2023,Robbery at non-residential premises,21
2023,Robbery at residential premises,17
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,83
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,160
2023,Stock-theft,14
2023,Street Robbery,40
2023,TRIO crimes,43
2023,Theft of motor vehicle and motorcycle,12
2023,Theft out of or from motor vehicle,61
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,256
2022,Attempted murder,30
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,48
2022,Burglary at residential premises,127
2022,Carjacking,4
2022,Commercial crime,132
2022,Common assault,166
2022,Common robbery,25
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,242
2022,Drug-related crime,48
2022,Illegal possession of firearms and ammunition,37
2022,Kidnapping,6
2022,Malicious damage to property,67
2022,Murder,27
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,62
2022,Robbery at non-residential premises,20
2022,Robbery at residential premises,11
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,67
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,17
2022,Shoplifting,103
2022,Stock-theft,15
2022,Street Robbery,32
2022,TRIO crimes,35
2022,Theft of motor vehicle and motorcycle,14
2022,Theft out of or from motor vehicle,42
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,207
2021,Attempted murder,10
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,52
2021,Burglary at residential premises,116
2021,Carjacking,3
2021,Commercial crime,85
2021,Common assault,130
2021,Common robbery,14
2021,Contact sexual offences,0
2021,Crimen Injuria,3
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,323
2021,Drug-related crime,79
2021,Illegal possession of firearms and ammunition,15
2021,Kidnapping,4
2021,Malicious damage to property,61
2021,Murder,18
2021,Neglect and ill-treatment of children,0
2021,Public violence,3
2021,Rape,52
2021,Robbery at non-residential premises,13
2021,Robbery at residential premises,16
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,47
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,12
2021,Shoplifting,75
2021,Stock-theft,15
2021,Street Robbery,14
2021,TRIO crimes,32
2021,Theft of motor vehicle and motorcycle,16
2021,Theft out of or from motor vehicle,31
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,0
2020,Assault with the intent to inflict grievous bodily harm,244
2020,Attempted murder,9
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,57
2020,Burglary at residential premises,168
2020,Carjacking,2
2020,Commercial crime,98
2020,Common assault,189
2020,Common robbery,27
2020,Contact sexual offences,2
2020,Crimen Injuria,14
2020,Culpable homicide,6
2020,Driving under the influence of alcohol or drugs,350
2020,Drug-related crime,190
2020,Illegal possession of firearms and ammunition,15
2020,Kidnapping,5
2020,Malicious damage to property,91
2020,Murder,19
2020,Neglect and ill-treatment of children,0
2020,Public violence,1
2020,Rape,50
2020,Robbery at non-residential premises,23
2020,Robbery at residential premises,20
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,65
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,12
2020,Shoplifting,168
2020,Stock-theft,30
2020,Street Robbery,20
2020,TRIO crimes,45
2020,Theft of motor vehicle and motorcycle,14
2020,Theft out of or from motor vehicle,58
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,6
2019,Assault with the intent to inflict grievous bodily harm,299
2019,Attempted murder,14
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,61
2019,Burglary at residential premises,200
2019,Carjacking,4
2019,Commercial crime,148
2019,Common assault,183
2019,Common robbery,41
2019,Contact sexual offences,0
2019,Crimen Injuria,10
2019,Culpable homicide,10
2019,Driving under the influence of alcohol or drugs,168
2019,Drug-related crime,158
2019,Illegal possession of firearms and ammunition,28
2019,Kidnapping,7
2019,Malicious damage to property,90
2019,Murder,17
2019,Neglect and ill-treatment of children,0
2019,Public violence,0
2019,Rape,54
2019,Robbery at non-residential premises,22
2019,Robbery at residential premises,8
2019,Robbery of cash in transit,2
2019,Robbery with aggravating circumstances,77
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,12
2019,Shoplifting,166
2019,Stock-theft,28
2019,Street Robbery,41
2019,TRIO crimes,34
2019,Theft of motor vehicle and motorcycle,7
2019,Theft out of or from motor vehicle,71
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,333
2018,Attempted murder,26
2018,Attempted sexual offences,0
2018,Bank robbery,1
2018,Burglary at non-residential premises,59
2018,Burglary at residential premises,211
2018,Carjacking,10
2018,Commercial crime,106
2018,Common assault,185
2018,Common robbery,26
2018,Contact sexual offences,1
2018,Crimen Injuria,27
2018,Culpable homicide,11
2018,Driving under the influence of alcohol or drugs,120
2018,Drug-related crime,194
2018,Illegal possession of firearms and ammunition,51
2018,Kidnapping,5
2018,Malicious damage to property,103
2018,Murder,22
2018,Neglect and ill-treatment of children,0
2018,Public violence,1
2018,Rape,40
2018,Robbery at non-residential premises,22
2018,Robbery at residential premises,15
2018,Robbery of cash in transit,2
2018,Robbery with aggravating circumstances,85
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,9
2018,Shoplifting,162
2018,Stock-theft,47
2018,Street Robbery,35
2018,TRIO crimes,47
2018,Theft of motor vehicle and motorcycle,11
2018,Theft out of or from motor vehicle,65
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,3
2017,Assault with the intent to inflict grievous bodily harm,269
2017,Attempted murder,26
2017,Attempted sexual offences,2
2017,Bank robbery,0
2017,Burglary at non-residential premises,82
2017,Burglary at residential premises,246
