year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,127
2024,Attempted murder,11
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,52
2024,Burglary at residential premises,132
2024,Carjacking,8
2024,Commercial crime,72
2024,Common assault,60
2024,Common robbery,30
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,43
2024,Drug-related crime,175
2024,Illegal possession of firearms and ammunition,3
2024,Kidnapping,4
2024,Malicious damage to property,81
2024,Murder,11
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,62
2024,Robbery at non-residential premises,14
2024,Robbery at residential premises,11
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,60
2024,Sexual Offences detected as a result of police action,24
2024,Sexual assault,2
2024,Shoplifting,36
2024,Stock-theft,52
2024,Street Robbery,33
2024,TRIO crimes,33
2024,Theft of motor vehicle and motorcycle,4
2024,Theft out of or from motor vehicle,10
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,163
2023,Attempted murder,5
2023,Attempted sexual offences,7
2023,Bank robbery,0
2023,Burglary at non-residential premises,72
2023,Burglary at residential premises,86
2023,Carjacking,1
2023,Commercial crime,106
2023,Common assault,76
2023,Common robbery,26
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,14
2023,Drug-related crime,113
2023,Illegal possession of firearms and ammunition,8
2023,Kidnapping,3
2023,Malicious damage to property,84
2023,Murder,13
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,72
2023,Robbery at non-residential premises,19
2023,Robbery at residential premises,14
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,61
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,2
2023,Shoplifting,48
2023,Stock-theft,58
2023,Street Robbery,27
2023,TRIO crimes,34
2023,Theft of motor vehicle and motorcycle,1
2023,Theft out of or from motor vehicle,11
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,160
2022,Attempted murder,14
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,49
2022,Burglary at residential premises,146
2022,Carjacking,2
2022,Commercial crime,95
2022,Common assault,86
2022,Common robbery,44
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,34
2022,Drug-related crime,39
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,2
2022,Malicious damage to property,95
2022,Murder,23
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,52
2022,Robbery at non-residential premises,16
2022,Robbery at residential premises,10
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,49
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,5
2022,Shoplifting,40
2022,Stock-theft,44
2022,Street Robbery,21
2022,TRIO crimes,28
2022,Theft of motor vehicle and motorcycle,2
2022,Theft out of or from motor vehicle,15
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,118
2021,Attempted murder,6
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,61
2021,Burglary at residential premises,126
2021,Carjacking,1
2021,Commercial crime,90
2021,Common assault,58
2021,Common robbery,32
2021,Contact sexual offences,1
2021,Crimen Injuria,16
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,26
2021,Drug-related crime,40
2021,Illegal possession of firearms and ammunition,7
2021,Kidnapping,3
2021,Malicious damage to property,67
2021,Murder,10
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,43
2021,Robbery at non-residential premises,16
2021,Robbery at residential premises,10
