year,category,value
2024,Abduction,0
2024,Arson,6
2024,Assault with the intent to inflict grievous bodily harm,377
2024,Attempted murder,39
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,171
2024,Burglary at residential premises,346
2024,Carjacking,21
2024,Commercial crime,205
2024,Common assault,306
2024,Common robbery,121
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,51
2024,Drug-related crime,302
2024,Illegal possession of firearms and ammunition,17
2024,Kidnapping,16
2024,Malicious damage to property,270
2024,Murder,32
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,98
2024,Robbery at non-residential premises,93
2024,Robbery at residential premises,38
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,319
2024,Sexual Offences detected as a result of police action,35
2024,Sexual assault,14
2024,Shoplifting,149
2024,Stock-theft,115
2024,Street Robbery,159
2024,TRIO crimes,152
2024,Theft of motor vehicle and motorcycle,39
2024,Theft out of or from motor vehicle,112
2024,Truck hijacking,6
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,419
2023,Attempted murder,35
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,147
2023,Burglary at residential premises,251
2023,Carjacking,33
2023,Commercial crime,191
2023,Common assault,289
2023,Common robbery,117
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,14
2023,Drug-related crime,241
2023,Illegal possession of firearms and ammunition,24
2023,Kidnapping,23
2023,Malicious damage to property,273
2023,Murder,35
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,125
2023,Robbery at non-residential premises,88
2023,Robbery at residential premises,49
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,297
2023,Sexual Offences detected as a result of police action,5
2023,Sexual assault,18
2023,Shoplifting,169
2023,Stock-theft,125
2023,Street Robbery,125
2023,TRIO crimes,170
2023,Theft of motor vehicle and motorcycle,29
2023,Theft out of or from motor vehicle,90
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,385
2022,Attempted murder,22
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,126
2022,Burglary at residential premises,234
2022,Carjacking,33
2022,Commercial crime,131
2022,Common assault,224
2022,Common robbery,111
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,91
2022,Drug-related crime,201
2022,Illegal possession of firearms and ammunition,7
2022,Kidnapping,13
2022,Malicious damage to property,229
2022,Murder,32
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,91
2022,Robbery at non-residential premises,64
2022,Robbery at residential premises,40
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,228
2022,Sexual Offences detected as a result of police action,8
2022,Sexual assault,15
2022,Shoplifting,102
2022,Stock-theft,93
2022,Street Robbery,91
2022,TRIO crimes,137
2022,Theft of motor vehicle and motorcycle,34
2022,Theft out of or from motor vehicle,99
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,290
2021,Attempted murder,33
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,104
2021,Burglary at residential premises,367
2021,Carjacking,15
2021,Commercial crime,103
2021,Common assault,171
2021,Common robbery,113
2021,Contact sexual offences,2
2021,Crimen Injuria,34
2021,Culpable homicide,24
2021,Driving under the influence of alcohol or drugs,77
2021,Drug-related crime,159
2021,Illegal possession of firearms and ammunition,16
2021,Kidnapping,9
2021,Malicious damage to property,227
2021,Murder,28
2021,Neglect and ill-treatment of children,3
2021,Public violence,0
2021,Rape,79
2021,Robbery at non-residential premises,57
2021,Robbery at residential premises,32
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,216
2021,Sexual Offences detected as a result of police action,31
2021,Sexual assault,12
2021,Shoplifting,94
2021,Stock-theft,94
2021,Street Robbery,110
2021,TRIO crimes,104
2021,Theft of motor vehicle and motorcycle,20
2021,Theft out of or from motor vehicle,81
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,8
2020,Assault with the intent to inflict grievous bodily harm,274
2020,Attempted murder,21
2020,Attempted sexual offences,2
2020,Bank robbery,0
2020,Burglary at non-residential premises,167
2020,Burglary at residential premises,370
2020,Carjacking,13
2020,Commercial crime,70
2020,Common assault,131
2020,Common robbery,100
2020,Contact sexual offences,0
2020,Crimen Injuria,32
2020,Culpable homicide,42
2020,Driving under the influence of alcohol or drugs,264
2020,Drug-related crime,88
2020,Illegal possession of firearms and ammunition,16
2020,Kidnapping,13
2020,Malicious damage to property,199
2020,Murder,27
2020,Neglect and ill-treatment of children,1
2020,Public violence,1
2020,Rape,78
2020,Robbery at non-residential premises,70
2020,Robbery at residential premises,18
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,180
2020,Sexual Offences detected as a result of police action,83
2020,Sexual assault,15
2020,Shoplifting,127
2020,Stock-theft,111
2020,Street Robbery,78
2020,TRIO crimes,101
2020,Theft of motor vehicle and motorcycle,18
2020,Theft out of or from motor vehicle,71
2020,Truck hijacking,1
2019,Abduction,2
2019,Arson,9
2019,Assault with the intent to inflict grievous bodily harm,387
2019,Attempted murder,20
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,168
2019,Burglary at residential premises,391
2019,Carjacking,10
2019,Commercial crime,48
2019,Common assault,139
2019,Common robbery,84
2019,Contact sexual offences,2
2019,Crimen Injuria,28
2019,Culpable homicide,28
2019,Driving under the influence of alcohol or drugs,267
2019,Drug-related crime,460
2019,Illegal possession of firearms and ammunition,14
2019,Kidnapping,8
2019,Malicious damage to property,182
2019,Murder,25
2019,Neglect and ill-treatment of children,2
2019,Public violence,3
2019,Rape,58
2019,Robbery at non-residential premises,36
2019,Robbery at residential premises,20
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,151
2019,Sexual Offences detected as a result of police action,68
2019,Sexual assault,10
2019,Shoplifting,126
2019,Stock-theft,128
2019,Street Robbery,85
2019,TRIO crimes,66
2019,Theft of motor vehicle and motorcycle,26
2019,Theft out of or from motor vehicle,86
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,330
2018,Attempted murder,17
2018,Attempted sexual offences,1
2018,Bank robbery,0
2018,Burglary at non-residential premises,167
2018,Burglary at residential premises,283
2018,Carjacking,14
2018,Commercial crime,63
2018,Common assault,129
2018,Common robbery,67
2018,Contact sexual offences,2
2018,Crimen Injuria,25
2018,Culpable homicide,51
2018,Driving under the influence of alcohol or drugs,261
2018,Drug-related crime,653
2018,Illegal possession of firearms and ammunition,9
2018,Kidnapping,6
2018,Malicious damage to property,160
2018,Murder,32
2018,Neglect and ill-treatment of children,0
2018,Public violence,1
2018,Rape,82
2018,Robbery at non-residential premises,42
2018,Robbery at residential premises,23
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,180
2018,Sexual Offences detected as a result of police action,53
2018,Sexual assault,10
2018,Shoplifting,86
2018,Stock-theft,97
2018,Street Robbery,99
2018,TRIO crimes,79
2018,Theft of motor vehicle and motorcycle,26
2018,Theft out of or from motor vehicle,114
2018,Truck hijacking,1
2017,Abduction,0
2017,Arson,6
2017,Assault with the intent to inflict grievous bodily harm,319
2017,Attempted murder,19
2017,Attempted sexual offences,2
2017,Bank robbery,0
2017,Burglary at non-residential premises,167
2017,Burglary at residential premises,317
2017,Carjacking,17
2017,Commercial crime,76
2017,Common assault,162
2017,Common robbery,88
2017,Contact sexual offences,0
2017,Crimen Injuria,24
2017,Culpable homicide,43
2017,Driving under the influence of alcohol or drugs,200
2017,Drug-related crime,441
2017,Illegal possession of firearms and ammunition,2
2017,Kidnapping,8
2017,Malicious damage to property,187
2017,Murder,21
2017,Neglect and ill-treatment of children,4
2017,Public violence,3
2017,Rape,86
2017,Robbery at non-residential premises,48
2017,Robbery at residential premises,24
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,151
2017,Sexual Offences detected as a result of police action,52
2017,Sexual assault,11
2017,Shoplifting,100
2017,Stock-theft,75
2017,Street Robbery,62
2017,TRIO crimes,89
2017,Theft of motor vehicle and motorcycle,26
2017,Theft out of or from motor vehicle,93
2017,Truck hijacking,0
2016,Arson,10
2016,Assault with the intent to inflict grievous bodily harm,407
2016,Attempted murder,21
2016,Attempted sexual offences,7
2016,Bank robbery,0
2016,Burglary at non-residential premises,178
2016,Burglary at residential premises,468
2016,Carjacking,23
2016,Commercial crime,70
2016,Common assault,195
2016,Common robbery,109
2016,Contact sexual offences,0
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,176
2016,Drug-related crime,287
2016,Illegal possession of firearms and ammunition,7
2016,Kidnapping,7
2016,Malicious damage to property,222
2016,Murder,19
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,72
2016,Robbery at non-residential premises,51
2016,Robbery at residential premises,35
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,201
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,8
2016,Shoplifting,84
2016,Stock-theft,59
2016,Street Robbery,92
2016,TRIO crimes,109
2016,Theft of motor vehicle and motorcycle,16
2016,Theft out of or from motor vehicle,99
2016,Truck hijacking,0
2015,Arson,3
2015,Assault with the intent to inflict grievous bodily harm,353
2015,Attempted murder,17
2015,Attempted sexual offences,2
2015,Bank robbery,0
2015,Burglary at non-residential premises,141
2015,Burglary at residential premises,399
2015,Carjacking,13
2015,Commercial crime,78
2015,Common assault,216
2015,Common robbery,111
2015,Contact sexual offences,1
2015,Crimen Injuria,55
2015,Culpable homicide,25
2015,Driving under the influence of alcohol or drugs,92
2015,Drug-related crime,269
2015,Illegal possession of firearms and ammunition,11
2015,Kidnapping,9
2015,Malicious damage to property,226
2015,Murder,19
2015,Neglect and ill-treatment of children,5
2015,Public violence,0
2015,Rape,90
2015,Robbery at non-residential premises,62
2015,Robbery at residential premises,21
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,168
2015,Sexual Offences detected as a result of police action,7
2015,Sexual assault,7
2015,Shoplifting,132
2015,Stock-theft,78
2015,Street Robbery,71
2015,TRIO crimes,96
2015,Theft of motor vehicle and motorcycle,19
2015,Theft out of or from motor vehicle,63
2015,Truck hijacking,1
2014,Arson,8
2014,Assault with the intent to inflict grievous bodily harm,339
2014,Attempted murder,18
2014,Attempted sexual offences,4
2014,Bank robbery,0
2014,Burglary at non-residential premises,178
2014,Burglary at residential premises,268
2014,Carjacking,13
2014,Commercial crime,75
2014,Common assault,195
2014,Common robbery,94
2014,Contact sexual offences,2
2014,Crimen Injuria,50
2014,Culpable homicide,30
2014,Driving under the influence of alcohol or drugs,35
2014,Drug-related crime,208
2014,Illegal possession of firearms and ammunition,8
2014,Kidnapping,5
2014,Malicious damage to property,175
2014,Murder,32
2014,Neglect and ill-treatment of children,3
2014,Public violence,0
2014,Rape,89
2014,Robbery at non-residential premises,42
2014,Robbery at residential premises,14
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,114
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,10
2014,Shoplifting,74
2014,Stock-theft,75
2014,Street Robbery,45
2014,TRIO crimes,69
2014,Theft of motor vehicle and motorcycle,20
2014,Theft out of or from motor vehicle,68
2014,Truck hijacking,0
2013,Arson,12
2013,Assault with the intent to inflict grievous bodily harm,339
2013,Attempted murder,17
2013,Attempted sexual offences,2
2013,Bank robbery,0
2013,Burglary at non-residential premises,165
2013,Burglary at residential premises,242
2013,Carjacking,12
2013,Commercial crime,60
2013,Common assault,155
2013,Common robbery,100
2013,Contact sexual offences,1
2013,Crimen Injuria,67
2013,Culpable homicide,25
2013,Driving under the influence of alcohol or drugs,37
2013,Drug-related crime,158
2013,Illegal possession of firearms and ammunition,9
2013,Kidnapping,6
2013,Malicious damage to property,152
2013,Murder,15
2013,Neglect and ill-treatment of children,6
2013,Public violence,0
2013,Rape,101
2013,Robbery at non-residential premises,38
2013,Robbery at residential premises,12
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,96
2013,Sexual Offences detected as a result of police action,0
2013,Sexual assault,6
2013,Shoplifting,89
2013,Stock-theft,88
2013,Street Robbery,34
2013,TRIO crimes,62
2013,Theft of motor vehicle and motorcycle,32
2013,Theft out of or from motor vehicle,91
2013,Truck hijacking,0
2012,Arson,10
2012,Assault with the intent to inflict grievous bodily harm,343
2012,Attempted murder,7
2012,Attempted sexual offences,3
2012,Bank robbery,0
2012,Burglary at non-residential premises,149
2012,Burglary at residential premises,342
2012,Carjacking,6
2012,Commercial crime,79
2012,Common assault,169
2012,Common robbery,91
2012,Contact sexual offences,2
2012,Crimen Injuria,64
2012,Culpable homicide,32
2012,Driving under the influence of alcohol or drugs,67
2012,Drug-related crime,191
2012,Illegal possession of firearms and ammunition,20
2012,Kidnapping,7
2012,Malicious damage to property,180
2012,Murder,23
2012,Neglect and ill-treatment of children,7
2012,Public violence,0
2012,Rape,104
