year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,625
2024,Attempted murder,12
2024,Attempted sexual offences,14
2024,Bank robbery,0
2024,Burglary at non-residential premises,212
2024,Burglary at residential premises,910
2024,Carjacking,10
2024,Commercial crime,376
2024,Common assault,638
2024,Common robbery,284
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,63
2024,Drug-related crime,342
2024,Illegal possession of firearms and ammunition,22
2024,Kidnapping,32
2024,Malicious damage to property,371
2024,Murder,44
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,217
2024,Robbery at non-residential premises,66
2024,Robbery at residential premises,50
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,510
2024,Sexual Offences detected as a result of police action,35
2024,Sexual assault,31
2024,Shoplifting,105
2024,Stock-theft,69
2024,Street Robbery,128
2024,TRIO crimes,126
2024,Theft of motor vehicle and motorcycle,23
2024,Theft out of or from motor vehicle,124
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,12
2023,Assault with the intent to inflict grievous bodily harm,686
2023,Attempted murder,23
2023,Attempted sexual offences,19
2023,Bank robbery,0
2023,Burglary at non-residential premises,195
2023,Burglary at residential premises,869
2023,Carjacking,14
2023,Commercial crime,358
2023,Common assault,650
2023,Common robbery,287
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,60
2023,Drug-related crime,334
2023,Illegal possession of firearms and ammunition,11
2023,Kidnapping,20
2023,Malicious damage to property,386
2023,Murder,55
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,179
2023,Robbery at non-residential premises,67
2023,Robbery at residential premises,98
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,533
2023,Sexual Offences detected as a result of police action,21
2023,Sexual assault,19
2023,Shoplifting,116
2023,Stock-theft,71
2023,Street Robbery,354
2023,TRIO crimes,179
2023,Theft of motor vehicle and motorcycle,38
2023,Theft out of or from motor vehicle,95
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,12
2022,Assault with the intent to inflict grievous bodily harm,663
2022,Attempted murder,29
2022,Attempted sexual offences,20
2022,Bank robbery,0
2022,Burglary at non-residential premises,144
2022,Burglary at residential premises,731
2022,Carjacking,19
2022,Commercial crime,362
2022,Common assault,560
2022,Common robbery,231
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,76
2022,Drug-related crime,268
2022,Illegal possession of firearms and ammunition,14
2022,Kidnapping,31
2022,Malicious damage to property,343
2022,Murder,52
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,161
2022,Robbery at non-residential premises,77
2022,Robbery at residential premises,99
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,446
2022,Sexual Offences detected as a result of police action,13
2022,Sexual assault,29
2022,Shoplifting,89
2022,Stock-theft,85
2022,Street Robbery,250
2022,TRIO crimes,195
2022,Theft of motor vehicle and motorcycle,34
2022,Theft out of or from motor vehicle,106
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,11
2021,Assault with the intent to inflict grievous bodily harm,548
2021,Attempted murder,12
2021,Attempted sexual offences,14
2021,Bank robbery,0
2021,Burglary at non-residential premises,165
2021,Burglary at residential premises,846
2021,Carjacking,10
2021,Commercial crime,288
2021,Common assault,434
2021,Common robbery,183
2021,Contact sexual offences,3
2021,Crimen Injuria,94
2021,Culpable homicide,35
2021,Driving under the influence of alcohol or drugs,80
2021,Drug-related crime,250
2021,Illegal possession of firearms and ammunition,22
2021,Kidnapping,24
2021,Malicious damage to property,317
2021,Murder,34
2021,Neglect and ill-treatment of children,9
2021,Public violence,0
2021,Rape,178
2021,Robbery at non-residential premises,76
2021,Robbery at residential premises,49
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,382
2021,Sexual Offences detected as a result of police action,4
2021,Sexual assault,11
2021,Shoplifting,108
2021,Stock-theft,126
2021,Street Robbery,246
2021,TRIO crimes,135
2021,Theft of motor vehicle and motorcycle,22
2021,Theft out of or from motor vehicle,124
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,16
2020,Assault with the intent to inflict grievous bodily harm,634
2020,Attempted murder,23
2020,Attempted sexual offences,17
2020,Bank robbery,0
2020,Burglary at non-residential premises,254
2020,Burglary at residential premises,953
2020,Carjacking,14
2020,Commercial crime,251
2020,Common assault,445
2020,Common robbery,236
2020,Contact sexual offences,0
2020,Crimen Injuria,70
2020,Culpable homicide,29
2020,Driving under the influence of alcohol or drugs,299
2020,Drug-related crime,152
2020,Illegal possession of firearms and ammunition,22
2020,Kidnapping,31
2020,Malicious damage to property,337
2020,Murder,53
2020,Neglect and ill-treatment of children,13
2020,Public violence,0
2020,Rape,149
2020,Robbery at non-residential premises,132
2020,Robbery at residential premises,106
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,547
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,10
2020,Shoplifting,175
2020,Stock-theft,92
2020,Street Robbery,295
2020,TRIO crimes,252
2020,Theft of motor vehicle and motorcycle,35
2020,Theft out of or from motor vehicle,164
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,14
2019,Assault with the intent to inflict grievous bodily harm,589
2019,Attempted murder,32
2019,Attempted sexual offences,16
2019,Bank robbery,0
2019,Burglary at non-residential premises,181
2019,Burglary at residential premises,857
2019,Carjacking,17
2019,Commercial crime,179
2019,Common assault,384
2019,Common robbery,182
2019,Contact sexual offences,0
2019,Crimen Injuria,48
2019,Culpable homicide,51
2019,Driving under the influence of alcohol or drugs,301
2019,Drug-related crime,498
2019,Illegal possession of firearms and ammunition,39
2019,Kidnapping,7
2019,Malicious damage to property,324
2019,Murder,46
2019,Neglect and ill-treatment of children,8
2019,Public violence,1
2019,Rape,186
2019,Robbery at non-residential premises,82
2019,Robbery at residential premises,94
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,438
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,5
2019,Shoplifting,138
2019,Stock-theft,98
2019,Street Robbery,245
2019,TRIO crimes,193
2019,Theft of motor vehicle and motorcycle,44
2019,Theft out of or from motor vehicle,112
2019,Truck hijacking,0
2018,Abduction,1
2018,Arson,16
2018,Assault with the intent to inflict grievous bodily harm,669
2018,Attempted murder,26
2018,Attempted sexual offences,18
2018,Bank robbery,0
2018,Burglary at non-residential premises,174
2018,Burglary at residential premises,914
2018,Carjacking,15
2018,Commercial crime,147
2018,Common assault,436
2018,Common robbery,211
2018,Contact sexual offences,1
2018,Crimen Injuria,58
2018,Culpable homicide,43
2018,Driving under the influence of alcohol or drugs,249
2018,Drug-related crime,625
2018,Illegal possession of firearms and ammunition,23
2018,Kidnapping,16
2018,Malicious damage to property,330
2018,Murder,38
2018,Neglect and ill-treatment of children,12
2018,Public violence,1
2018,Rape,166
2018,Robbery at non-residential premises,68
2018,Robbery at residential premises,109
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,450
2018,Sexual Offences detected as a result of police action,1
2018,Sexual assault,11
2018,Shoplifting,99
2018,Stock-theft,80
2018,Street Robbery,257
2018,TRIO crimes,192
2018,Theft of motor vehicle and motorcycle,25
2018,Theft out of or from motor vehicle,150
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,22
2017,Assault with the intent to inflict grievous bodily harm,654
2017,Attempted murder,28
2017,Attempted sexual offences,15
2017,Bank robbery,0
2017,Burglary at non-residential premises,219
2017,Burglary at residential premises,1004
2017,Carjacking,13
2017,Commercial crime,157
2017,Common assault,506
2017,Common robbery,256
2017,Contact sexual offences,0
2017,Crimen Injuria,74
2017,Culpable homicide,38
2017,Driving under the influence of alcohol or drugs,204
2017,Drug-related crime,382
2017,Illegal possession of firearms and ammunition,21
2017,Kidnapping,17
