year,category,value
2024,Abduction,0
2024,Arson,12
2024,Assault with the intent to inflict grievous bodily harm,786
2024,Attempted murder,45
2024,Attempted sexual offences,9
2024,Bank robbery,0
2024,Burglary at non-residential premises,214
2024,Burglary at residential premises,622
2024,Carjacking,15
2024,Commercial crime,163
2024,Common assault,747
2024,Common robbery,201
2024,Contact sexual offences,5
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,87
2024,Drug-related crime,252
2024,Illegal possession of firearms and ammunition,27
2024,Kidnapping,12
2024,Malicious damage to property,377
2024,Murder,41
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,211
2024,Robbery at non-residential premises,79
2024,Robbery at residential premises,59
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,437
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,23
2024,Shoplifting,127
2024,Stock-theft,62
2024,Street Robbery,153
2024,TRIO crimes,153
2024,Theft of motor vehicle and motorcycle,31
2024,Theft out of or from motor vehicle,145
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,19
2023,Assault with the intent to inflict grievous bodily harm,734
2023,Attempted murder,50
2023,Attempted sexual offences,10
2023,Bank robbery,0
2023,Burglary at non-residential premises,160
2023,Burglary at residential premises,655
2023,Carjacking,12
2023,Commercial crime,161
2023,Common assault,700
2023,Common robbery,211
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,55
2023,Drug-related crime,232
2023,Illegal possession of firearms and ammunition,27
2023,Kidnapping,17
2023,Malicious damage to property,384
2023,Murder,53
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,190
2023,Robbery at non-residential premises,76
2023,Robbery at residential premises,52
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,425
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,25
2023,Shoplifting,100
2023,Stock-theft,55
2023,Street Robbery,285
2023,TRIO crimes,140
2023,Theft of motor vehicle and motorcycle,45
2023,Theft out of or from motor vehicle,172
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,652
2022,Attempted murder,42
2022,Attempted sexual offences,12
2022,Bank robbery,0
2022,Burglary at non-residential premises,159
2022,Burglary at residential premises,641
2022,Carjacking,11
2022,Commercial crime,163
2022,Common assault,557
2022,Common robbery,168
2022,Contact sexual offences,0
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,105
2022,Drug-related crime,182
2022,Illegal possession of firearms and ammunition,10
2022,Kidnapping,16
2022,Malicious damage to property,348
2022,Murder,55
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,171
2022,Robbery at non-residential premises,71
2022,Robbery at residential premises,71
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,359
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,21
2022,Shoplifting,78
2022,Stock-theft,41
2022,Street Robbery,204
2022,TRIO crimes,153
2022,Theft of motor vehicle and motorcycle,62
2022,Theft out of or from motor vehicle,139
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,18
2021,Assault with the intent to inflict grievous bodily harm,590
2021,Attempted murder,26
2021,Attempted sexual offences,14
2021,Bank robbery,0
2021,Burglary at non-residential premises,230
2021,Burglary at residential premises,712
2021,Carjacking,16
2021,Commercial crime,158
2021,Common assault,480
2021,Common robbery,141
2021,Contact sexual offences,2
2021,Crimen Injuria,59
2021,Culpable homicide,18
2021,Driving under the influence of alcohol or drugs,116
2021,Drug-related crime,150
2021,Illegal possession of firearms and ammunition,15
2021,Kidnapping,10
2021,Malicious damage to property,356
2021,Murder,52
2021,Neglect and ill-treatment of children,8
2021,Public violence,1
2021,Rape,151
2021,Robbery at non-residential premises,72
2021,Robbery at residential premises,69
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,345
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,23
2021,Shoplifting,71
2021,Stock-theft,59
2021,Street Robbery,188
2021,TRIO crimes,157
2021,Theft of motor vehicle and motorcycle,29
2021,Theft out of or from motor vehicle,153
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,24
2020,Assault with the intent to inflict grievous bodily harm,632
2020,Attempted murder,27
2020,Attempted sexual offences,14
2020,Bank robbery,0
2020,Burglary at non-residential premises,216
2020,Burglary at residential premises,995
2020,Carjacking,15
2020,Commercial crime,144
2020,Common assault,446
2020,Common robbery,185
2020,Contact sexual offences,2
2020,Crimen Injuria,33
2020,Culpable homicide,27
2020,Driving under the influence of alcohol or drugs,283
2020,Drug-related crime,111
2020,Illegal possession of firearms and ammunition,15
2020,Kidnapping,13
2020,Malicious damage to property,314
2020,Murder,62
2020,Neglect and ill-treatment of children,24
2020,Public violence,1
2020,Rape,147
2020,Robbery at non-residential premises,101
2020,Robbery at residential premises,104
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,461
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,21
2020,Shoplifting,168
2020,Stock-theft,60
2020,Street Robbery,241
2020,TRIO crimes,220
2020,Theft of motor vehicle and motorcycle,44
2020,Theft out of or from motor vehicle,237
2020,Truck hijacking,0
2019,Abduction,2
2019,Arson,14
2019,Assault with the intent to inflict grievous bodily harm,677
2019,Attempted murder,36
2019,Attempted sexual offences,13
2019,Bank robbery,0
2019,Burglary at non-residential premises,213
2019,Burglary at residential premises,941
2019,Carjacking,12
2019,Commercial crime,131
2019,Common assault,496
2019,Common robbery,182
2019,Contact sexual offences,2
2019,Crimen Injuria,47
2019,Culpable homicide,25
2019,Driving under the influence of alcohol or drugs,220
2019,Drug-related crime,477
2019,Illegal possession of firearms and ammunition,35
2019,Kidnapping,12
2019,Malicious damage to property,353
2019,Murder,57
2019,Neglect and ill-treatment of children,16
2019,Public violence,7
2019,Rape,159
2019,Robbery at non-residential premises,103
2019,Robbery at residential premises,43
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,429
2019,Sexual Offences detected as a result of police action,14
2019,Sexual assault,17
2019,Shoplifting,137
2019,Stock-theft,72
2019,Street Robbery,271
2019,TRIO crimes,158
2019,Theft of motor vehicle and motorcycle,25
2019,Theft out of or from motor vehicle,219
2019,Truck hijacking,0
2018,Abduction,2
2018,Arson,10
2018,Assault with the intent to inflict grievous bodily harm,760
2018,Attempted murder,27
2018,Attempted sexual offences,7
2018,Bank robbery,0
2018,Burglary at non-residential premises,260
2018,Burglary at residential premises,1012
2018,Carjacking,24
2018,Commercial crime,102
2018,Common assault,495
2018,Common robbery,232
2018,Contact sexual offences,4
2018,Crimen Injuria,38
2018,Culpable homicide,33
2018,Driving under the influence of alcohol or drugs,158
2018,Drug-related crime,682
2018,Illegal possession of firearms and ammunition,25
2018,Kidnapping,18
2018,Malicious damage to property,389
2018,Murder,61
2018,Neglect and ill-treatment of children,11
2018,Public violence,16
2018,Rape,151
2018,Robbery at non-residential premises,84
2018,Robbery at residential premises,86
