year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,124
2024,Attempted murder,16
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,37
2024,Burglary at residential premises,194
2024,Carjacking,4
2024,Commercial crime,37
2024,Common assault,50
2024,Common robbery,18
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,42
2024,Drug-related crime,73
2024,Illegal possession of firearms and ammunition,3
2024,Kidnapping,4
2024,Malicious damage to property,45
2024,Murder,9
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,47
2024,Robbery at non-residential premises,5
2024,Robbery at residential premises,5
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,33
2024,Sexual Offences detected as a result of police action,65
2024,Sexual assault,1
2024,Shoplifting,2
2024,Stock-theft,12
2024,Street Robbery,14
2024,TRIO crimes,14
2024,Theft of motor vehicle and motorcycle,1
2024,Theft out of or from motor vehicle,13
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,109
2023,Attempted murder,10
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,45
2023,Burglary at residential premises,122
2023,Carjacking,2
2023,Commercial crime,36
2023,Common assault,36
2023,Common robbery,18
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,19
2023,Drug-related crime,61
2023,Illegal possession of firearms and ammunition,1
2023,Kidnapping,2
2023,Malicious damage to property,44
2023,Murder,9
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,32
2023,Robbery at non-residential premises,4
2023,Robbery at residential premises,7
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,25
2023,Sexual Offences detected as a result of police action,120
2023,Sexual assault,1
2023,Shoplifting,2
2023,Stock-theft,14
2023,Street Robbery,12
2023,TRIO crimes,13
2023,Theft of motor vehicle and motorcycle,1
2023,Theft out of or from motor vehicle,9
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,100
2022,Attempted murder,6
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,60
2022,Burglary at residential premises,142
2022,Carjacking,2
2022,Commercial crime,36
2022,Common assault,25
2022,Common robbery,9
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,28
2022,Drug-related crime,34
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,2
2022,Malicious damage to property,54
2022,Murder,8
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,23
2022,Robbery at non-residential premises,5
2022,Robbery at residential premises,7
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,35
2022,Sexual Offences detected as a result of police action,83
2022,Sexual assault,1
2022,Shoplifting,4
2022,Stock-theft,9
2022,Street Robbery,21
2022,TRIO crimes,14
2022,Theft of motor vehicle and motorcycle,3
2022,Theft out of or from motor vehicle,7
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,74
2021,Attempted murder,6
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,65
2021,Burglary at residential premises,102
2021,Carjacking,1
2021,Commercial crime,19
2021,Common assault,20
2021,Common robbery,7
2021,Contact sexual offences,1
2021,Crimen Injuria,8
2021,Culpable homicide,4
2021,Driving under the influence of alcohol or drugs,50
2021,Drug-related crime,30
2021,Illegal possession of firearms and ammunition,2
2021,Kidnapping,0
2021,Malicious damage to property,22
2021,Murder,5
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,23
2021,Robbery at non-residential premises,2
2021,Robbery at residential premises,2
