year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,189
2024,Attempted murder,13
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,78
2024,Burglary at residential premises,264
2024,Carjacking,22
2024,Commercial crime,52
2024,Common assault,89
2024,Common robbery,48
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,43
2024,Drug-related crime,153
2024,Illegal possession of firearms and ammunition,7
2024,Kidnapping,6
2024,Malicious damage to property,137
2024,Murder,13
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,89
2024,Robbery at non-residential premises,11
2024,Robbery at residential premises,9
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,103
2024,Sexual Offences detected as a result of police action,104
2024,Sexual assault,23
2024,Shoplifting,28
2024,Stock-theft,4
2024,Street Robbery,42
2024,TRIO crimes,42
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,26
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,198
2023,Attempted murder,9
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,51
2023,Burglary at residential premises,270
2023,Carjacking,7
2023,Commercial crime,54
2023,Common assault,126
2023,Common robbery,64
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,25
2023,Drug-related crime,108
2023,Illegal possession of firearms and ammunition,1
2023,Kidnapping,7
2023,Malicious damage to property,130
2023,Murder,18
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,82
2023,Robbery at non-residential premises,7
2023,Robbery at residential premises,17
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,60
2023,Sexual Offences detected as a result of police action,82
2023,Sexual assault,9
2023,Shoplifting,53
2023,Stock-theft,6
2023,Street Robbery,29
2023,TRIO crimes,31
2023,Theft of motor vehicle and motorcycle,7
2023,Theft out of or from motor vehicle,34
