year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,0
2024,Attempted murder,0
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,0
2024,Burglary at residential premises,0
2024,Carjacking,0
2024,Commercial crime,0
2024,Common assault,0
2024,Common robbery,0
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,0
2024,Drug-related crime,0
2024,Illegal possession of firearms and ammunition,0
2024,Kidnapping,0
2024,Malicious damage to property,0
2024,Murder,0
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,0
2024,Robbery at non-residential premises,0
2024,Robbery at residential premises,0
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,0
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,0
2024,Shoplifting,0
2024,Stock-theft,0
2024,Street Robbery,0
2024,TRIO crimes,0
2024,Theft of motor vehicle and motorcycle,0
2024,Theft out of or from motor vehicle,0
2024,Truck hijacking,0
