year,category,value
2024,Abduction,0
2024,Arson,9
2024,Assault with the intent to inflict grievous bodily harm,343
2024,Attempted murder,18
2024,Attempted sexual offences,7
2024,Bank robbery,0
2024,Burglary at non-residential premises,120
2024,Burglary at residential premises,164
2024,Carjacking,8
2024,Commercial crime,51
2024,Common assault,177
2024,Common robbery,84
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,52
2024,Drug-related crime,98
2024,Illegal possession of firearms and ammunition,3
2024,Kidnapping,4
2024,Malicious damage to property,122
2024,Murder,19
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,102
2024,Robbery at non-residential premises,47
2024,Robbery at residential premises,23
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,197
2024,Sexual Offences detected as a result of police action,72
2024,Sexual assault,8
2024,Shoplifting,37
2024,Stock-theft,18
2024,Street Robbery,78
2024,TRIO crimes,78
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,40
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,325
2023,Attempted murder,15
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,114
2023,Burglary at residential premises,197
2023,Carjacking,8
2023,Commercial crime,45
2023,Common assault,191
2023,Common robbery,52
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,42
2023,Drug-related crime,76
2023,Illegal possession of firearms and ammunition,8
2023,Kidnapping,6
2023,Malicious damage to property,111
2023,Murder,12
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,119
2023,Robbery at non-residential premises,26
2023,Robbery at residential premises,28
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,163
2023,Sexual Offences detected as a result of police action,62
2023,Sexual assault,3
2023,Shoplifting,41
2023,Stock-theft,25
2023,Street Robbery,100
2023,TRIO crimes,62
2023,Theft of motor vehicle and motorcycle,7
2023,Theft out of or from motor vehicle,46
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,343
2022,Attempted murder,16
2022,Attempted sexual offences,6
2022,Bank robbery,0
2022,Burglary at non-residential premises,123
2022,Burglary at residential premises,166
2022,Carjacking,14
2022,Commercial crime,52
2022,Common assault,195
2022,Common robbery,45
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,68
2022,Drug-related crime,57
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,7
2022,Malicious damage to property,130
2022,Murder,19
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,79
2022,Robbery at non-residential premises,50
2022,Robbery at residential premises,7
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,148
2022,Sexual Offences detected as a result of police action,40
2022,Sexual assault,6
2022,Shoplifting,29
2022,Stock-theft,22
2022,Street Robbery,75
2022,TRIO crimes,71
2022,Theft of motor vehicle and motorcycle,7
2022,Theft out of or from motor vehicle,34
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,216
2021,Attempted murder,11
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,110
2021,Burglary at residential premises,150
2021,Carjacking,9
2021,Commercial crime,35
2021,Common assault,103
2021,Common robbery,27
2021,Contact sexual offences,2
2021,Crimen Injuria,13
2021,Culpable homicide,10
2021,Driving under the influence of alcohol or drugs,137
2021,Drug-related crime,34
2021,Illegal possession of firearms and ammunition,9
2021,Kidnapping,4
2021,Malicious damage to property,99
2021,Murder,16
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,56
2021,Robbery at non-residential premises,23
2021,Robbery at residential premises,14
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,101
2021,Sexual Offences detected as a result of police action,22
2021,Sexual assault,3
2021,Shoplifting,17
2021,Stock-theft,30
2021,Street Robbery,55
2021,TRIO crimes,46
2021,Theft of motor vehicle and motorcycle,8
2021,Theft out of or from motor vehicle,31
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,5
2020,Assault with the intent to inflict grievous bodily harm,237
2020,Attempted murder,9
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,126
2020,Burglary at residential premises,185
2020,Carjacking,8
2020,Commercial crime,27
2020,Common assault,105
2020,Common robbery,36
2020,Contact sexual offences,3
2020,Crimen Injuria,12
2020,Culpable homicide,25
2020,Driving under the influence of alcohol or drugs,158
2020,Drug-related crime,11
2020,Illegal possession of firearms and ammunition,9
2020,Kidnapping,2
2020,Malicious damage to property,94
2020,Murder,16
2020,Neglect and ill-treatment of children,0
2020,Public violence,0
2020,Rape,86
2020,Robbery at non-residential premises,26
2020,Robbery at residential premises,10
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,81
2020,Sexual Offences detected as a result of police action,12
2020,Sexual assault,7
2020,Shoplifting,9
2020,Stock-theft,17
2020,Street Robbery,36
2020,TRIO crimes,44
2020,Theft of motor vehicle and motorcycle,7
2020,Theft out of or from motor vehicle,31
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,2
2019,Assault with the intent to inflict grievous bodily harm,277
2019,Attempted murder,7
2019,Attempted sexual offences,3
2019,Bank robbery,0
2019,Burglary at non-residential premises,121
2019,Burglary at residential premises,204
2019,Carjacking,14
2019,Commercial crime,37
2019,Common assault,107
2019,Common robbery,48
2019,Contact sexual offences,2
2019,Crimen Injuria,21
2019,Culpable homicide,10
2019,Driving under the influence of alcohol or drugs,139
2019,Drug-related crime,107
2019,Illegal possession of firearms and ammunition,11
2019,Kidnapping,6
2019,Malicious damage to property,91
2019,Murder,18
2019,Neglect and ill-treatment of children,8
2019,Public violence,1
2019,Rape,95
2019,Robbery at non-residential premises,28
2019,Robbery at residential premises,17
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,91
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,3
2019,Shoplifting,20
2019,Stock-theft,33
2019,Street Robbery,32
2019,TRIO crimes,59
2019,Theft of motor vehicle and motorcycle,5
2019,Theft out of or from motor vehicle,47
2019,Truck hijacking,0
2018,Abduction,3
2018,Arson,9
2018,Assault with the intent to inflict grievous bodily harm,240
2018,Attempted murder,16
2018,Attempted sexual offences,7
2018,Bank robbery,0
2018,Burglary at non-residential premises,117
2018,Burglary at residential premises,216
2018,Carjacking,12
2018,Commercial crime,44
2018,Common assault,68
2018,Common robbery,47
2018,Contact sexual offences,3
2018,Crimen Injuria,14
2018,Culpable homicide,11
2018,Driving under the influence of alcohol or drugs,150
2018,Drug-related crime,158
2018,Illegal possession of firearms and ammunition,3
2018,Kidnapping,2
2018,Malicious damage to property,81
2018,Murder,16
2018,Neglect and ill-treatment of children,0
2018,Public violence,17
2018,Rape,60
2018,Robbery at non-residential premises,29
2018,Robbery at residential premises,20
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,86
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,1
2018,Shoplifting,13
2018,Stock-theft,17
2018,Street Robbery,25
2018,TRIO crimes,61
2018,Theft of motor vehicle and motorcycle,6
2018,Theft out of or from motor vehicle,27
2018,Truck hijacking,0
2017,Abduction,2
2017,Arson,6
2017,Assault with the intent to inflict grievous bodily harm,333
2017,Attempted murder,11
2017,Attempted sexual offences,3
2017,Bank robbery,0
2017,Burglary at non-residential premises,168
2017,Burglary at residential premises,231
2017,Carjacking,13
2017,Commercial crime,56
2017,Common assault,163
2017,Common robbery,60
2017,Contact sexual offences,2
2017,Crimen Injuria,28
2017,Culpable homicide,25
2017,Driving under the influence of alcohol or drugs,93
2017,Drug-related crime,121
2017,Illegal possession of firearms and ammunition,4
2017,Kidnapping,3
2017,Malicious damage to property,122
2017,Murder,17
2017,Neglect and ill-treatment of children,5
2017,Public violence,4
2017,Rape,82
2017,Robbery at non-residential premises,37
2017,Robbery at residential premises,16
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,130
2017,Sexual Offences detected as a result of police action,1
2017,Sexual assault,2
2017,Shoplifting,27
2017,Stock-theft,14
2017,Street Robbery,63
2017,TRIO crimes,66
2017,Theft of motor vehicle and motorcycle,8
2017,Theft out of or from motor vehicle,60
2017,Truck hijacking,1
2016,Arson,10
2016,Assault with the intent to inflict grievous bodily harm,363
2016,Attempted murder,22
2016,Attempted sexual offences,5
2016,Bank robbery,0
2016,Burglary at non-residential premises,149
2016,Burglary at residential premises,266
2016,Carjacking,6
2016,Commercial crime,24
2016,Common assault,239
2016,Common robbery,66
2016,Contact sexual offences,5
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,51
2016,Drug-related crime,85
2016,Illegal possession of firearms and ammunition,2
2016,Kidnapping,5
2016,Malicious damage to property,116
2016,Murder,20
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,117
2016,Robbery at non-residential premises,27
2016,Robbery at residential premises,16
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,96
2016,Sexual Offences detected as a result of police action,3
2016,Sexual assault,1
2016,Shoplifting,32
2016,Stock-theft,16
2016,Street Robbery,47
2016,TRIO crimes,49
2016,Theft of motor vehicle and motorcycle,9
2016,Theft out of or from motor vehicle,43
2016,Truck hijacking,0
2015,Arson,14
2015,Assault with the intent to inflict grievous bodily harm,476
2015,Attempted murder,13
2015,Attempted sexual offences,4
2015,Bank robbery,0
2015,Burglary at non-residential premises,181
2015,Burglary at residential premises,368
2015,Carjacking,6
2015,Commercial crime,18
2015,Common assault,251
2015,Common robbery,76
2015,Contact sexual offences,5
2015,Crimen Injuria,35
2015,Culpable homicide,25
2015,Driving under the influence of alcohol or drugs,50
2015,Drug-related crime,104
2015,Illegal possession of firearms and ammunition,3
2015,Kidnapping,2
2015,Malicious damage to property,142
2015,Murder,18
2015,Neglect and ill-treatment of children,2
2015,Public violence,0
2015,Rape,127
2015,Robbery at non-residential premises,61
2015,Robbery at residential premises,16
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,155
2015,Sexual Offences detected as a result of police action,7
2015,Sexual assault,2
2015,Shoplifting,23
2015,Stock-theft,27
2015,Street Robbery,72
2015,TRIO crimes,83
2015,Theft of motor vehicle and motorcycle,11
2015,Theft out of or from motor vehicle,73
2015,Truck hijacking,0
2014,Arson,21
2014,Assault with the intent to inflict grievous bodily harm,433
2014,Attempted murder,8
2014,Attempted sexual offences,10
2014,Bank robbery,0
2014,Burglary at non-residential premises,188
2014,Burglary at residential premises,349
2014,Carjacking,3
2014,Commercial crime,26
2014,Common assault,222
2014,Common robbery,83
2014,Contact sexual offences,2
2014,Crimen Injuria,36
2014,Culpable homicide,15
2014,Driving under the influence of alcohol or drugs,36
2014,Drug-related crime,69
2014,Illegal possession of firearms and ammunition,7
2014,Kidnapping,5
2014,Malicious damage to property,132
2014,Murder,24
2014,Neglect and ill-treatment of children,3
2014,Public violence,0
2014,Rape,145
2014,Robbery at non-residential premises,45
2014,Robbery at residential premises,25
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,121
2014,Sexual Offences detected as a result of police action,1
2014,Sexual assault,3
2014,Shoplifting,27
2014,Stock-theft,24
2014,Street Robbery,48
2014,TRIO crimes,73
2014,Theft of motor vehicle and motorcycle,13
2014,Theft out of or from motor vehicle,53
2014,Truck hijacking,0
2013,Arson,24
2013,Assault with the intent to inflict grievous bodily harm,450
2013,Attempted murder,16
2013,Attempted sexual offences,9
2013,Bank robbery,0
2013,Burglary at non-residential premises,199
2013,Burglary at residential premises,366
2013,Carjacking,2
2013,Commercial crime,18
2013,Common assault,280
2013,Common robbery,97
2013,Contact sexual offences,3
2013,Crimen Injuria,30
2013,Culpable homicide,27
2013,Driving under the influence of alcohol or drugs,59
2013,Drug-related crime,113
2013,Illegal possession of firearms and ammunition,10
2013,Kidnapping,1
2013,Malicious damage to property,144
2013,Murder,19
2013,Neglect and ill-treatment of children,8
2013,Public violence,0
2013,Rape,128
2013,Robbery at non-residential premises,45
2013,Robbery at residential premises,18
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,106
2013,Sexual Offences detected as a result of police action,0
2013,Sexual assault,5
2013,Shoplifting,24
2013,Stock-theft,18
2013,Street Robbery,41
2013,TRIO crimes,65
2013,Theft of motor vehicle and motorcycle,8
2013,Theft out of or from motor vehicle,33
2013,Truck hijacking,0
2012,Arson,6
