year,category,value
2024,Abduction,0
2024,Arson,6
2024,Assault with the intent to inflict grievous bodily harm,202
2024,Attempted murder,16
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,70
2024,Burglary at residential premises,144
2024,Carjacking,7
2024,Commercial crime,36
2024,Common assault,85
2024,Common robbery,38
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,41
2024,Drug-related crime,65
2024,Illegal possession of firearms and ammunition,10
2024,Kidnapping,11
2024,Malicious damage to property,88
2024,Murder,15
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,84
2024,Robbery at non-residential premises,35
2024,Robbery at residential premises,25
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,150
2024,Sexual Offences detected as a result of police action,30
2024,Sexual assault,6
2024,Shoplifting,4
2024,Stock-theft,38
2024,Street Robbery,68
2024,TRIO crimes,67
2024,Theft of motor vehicle and motorcycle,5
2024,Theft out of or from motor vehicle,44
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,199
2023,Attempted murder,14
2023,Attempted sexual offences,10
2023,Bank robbery,0
2023,Burglary at non-residential premises,104
2023,Burglary at residential premises,195
2023,Carjacking,4
2023,Commercial crime,33
2023,Common assault,79
2023,Common robbery,46
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,21
2023,Drug-related crime,38
2023,Illegal possession of firearms and ammunition,1
2023,Kidnapping,2
2023,Malicious damage to property,97
2023,Murder,16
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,70
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,15
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,104
2023,Sexual Offences detected as a result of police action,16
2023,Sexual assault,5
2023,Shoplifting,1
2023,Stock-theft,31
2023,Street Robbery,57
2023,TRIO crimes,47
2023,Theft of motor vehicle and motorcycle,3
2023,Theft out of or from motor vehicle,51
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,205
2022,Attempted murder,17
2022,Attempted sexual offences,8
2022,Bank robbery,0
2022,Burglary at non-residential premises,80
2022,Burglary at residential premises,216
2022,Carjacking,8
2022,Commercial crime,30
2022,Common assault,95
2022,Common robbery,33
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,28
2022,Drug-related crime,14
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,2
2022,Malicious damage to property,99
2022,Murder,15
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,66
2022,Robbery at non-residential premises,26
2022,Robbery at residential premises,4
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,90
2022,Sexual Offences detected as a result of police action,5
2022,Sexual assault,4
2022,Shoplifting,0
2022,Stock-theft,34
2022,Street Robbery,51
2022,TRIO crimes,38
2022,Theft of motor vehicle and motorcycle,4
2022,Theft out of or from motor vehicle,43
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,176
2021,Attempted murder,13
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,71
2021,Burglary at residential premises,209
2021,Carjacking,7
2021,Commercial crime,32
2021,Common assault,87
2021,Common robbery,29
2021,Contact sexual offences,3
2021,Crimen Injuria,9
2021,Culpable homicide,16
2021,Driving under the influence of alcohol or drugs,102
2021,Drug-related crime,42
2021,Illegal possession of firearms and ammunition,6
2021,Kidnapping,4
2021,Malicious damage to property,106
2021,Murder,15
2021,Neglect and ill-treatment of children,2
2021,Public violence,0
2021,Rape,59
2021,Robbery at non-residential premises,10
2021,Robbery at residential premises,8
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,72
2021,Sexual Offences detected as a result of police action,8
2021,Sexual assault,1
2021,Shoplifting,2
2021,Stock-theft,26
2021,Street Robbery,47
2021,TRIO crimes,25
2021,Theft of motor vehicle and motorcycle,2
2021,Theft out of or from motor vehicle,43
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,234
2020,Attempted murder,9
2020,Attempted sexual offences,5
2020,Bank robbery,0
2020,Burglary at non-residential premises,65
2020,Burglary at residential premises,172
2020,Carjacking,9
2020,Commercial crime,26
2020,Common assault,92
2020,Common robbery,38
2020,Contact sexual offences,1
2020,Crimen Injuria,15
2020,Culpable homicide,17
2020,Driving under the influence of alcohol or drugs,113
2020,Drug-related crime,8
2020,Illegal possession of firearms and ammunition,6
2020,Kidnapping,4
2020,Malicious damage to property,99
2020,Murder,14
2020,Neglect and ill-treatment of children,5
2020,Public violence,0
2020,Rape,76
2020,Robbery at non-residential premises,19
2020,Robbery at residential premises,27
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,111
2020,Sexual Offences detected as a result of police action,14
2020,Sexual assault,2
2020,Shoplifting,0
2020,Stock-theft,49
2020,Street Robbery,56
2020,TRIO crimes,55
2020,Theft of motor vehicle and motorcycle,2
2020,Theft out of or from motor vehicle,38
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,4
2019,Assault with the intent to inflict grievous bodily harm,323
2019,Attempted murder,17
2019,Attempted sexual offences,4
2019,Bank robbery,0
2019,Burglary at non-residential premises,78
2019,Burglary at residential premises,192
2019,Carjacking,7
2019,Commercial crime,32
2019,Common assault,119
2019,Common robbery,50
2019,Contact sexual offences,0
2019,Crimen Injuria,21
2019,Culpable homicide,20
2019,Driving under the influence of alcohol or drugs,117
2019,Drug-related crime,61
2019,Illegal possession of firearms and ammunition,3
2019,Kidnapping,2
2019,Malicious damage to property,125
2019,Murder,14
2019,Neglect and ill-treatment of children,3
2019,Public violence,1
2019,Rape,72
2019,Robbery at non-residential premises,14
2019,Robbery at residential premises,8
2019,Robbery of cash in transit,2
2019,Robbery with aggravating circumstances,114
2019,Sexual Offences detected as a result of police action,2
2019,Sexual assault,4
2019,Shoplifting,0
2019,Stock-theft,45
2019,Street Robbery,83
2019,TRIO crimes,29
2019,Theft of motor vehicle and motorcycle,3
2019,Theft out of or from motor vehicle,31
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,14
2018,Assault with the intent to inflict grievous bodily harm,315
2018,Attempted murder,23
2018,Attempted sexual offences,10
2018,Bank robbery,0
2018,Burglary at non-residential premises,98
2018,Burglary at residential premises,215
2018,Carjacking,4
2018,Commercial crime,29
2018,Common assault,129
2018,Common robbery,32
2018,Contact sexual offences,0
2018,Crimen Injuria,23
2018,Culpable homicide,24
2018,Driving under the influence of alcohol or drugs,120
2018,Drug-related crime,159
2018,Illegal possession of firearms and ammunition,13
2018,Kidnapping,2
2018,Malicious damage to property,109
2018,Murder,8
2018,Neglect and ill-treatment of children,3
2018,Public violence,1
2018,Rape,88
2018,Robbery at non-residential premises,28
2018,Robbery at residential premises,14
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,104
2018,Sexual Offences detected as a result of police action,5
2018,Sexual assault,2
2018,Shoplifting,5
2018,Stock-theft,59
2018,Street Robbery,58
2018,TRIO crimes,46
2018,Theft of motor vehicle and motorcycle,11
2018,Theft out of or from motor vehicle,41
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,10
2017,Assault with the intent to inflict grievous bodily harm,278
2017,Attempted murder,24
2017,Attempted sexual offences,8
2017,Bank robbery,0
2017,Burglary at non-residential premises,137
2017,Burglary at residential premises,201
2017,Carjacking,7
2017,Commercial crime,17
2017,Common assault,118
2017,Common robbery,22
2017,Contact sexual offences,0
2017,Crimen Injuria,27
2017,Culpable homicide,12
2017,Driving under the influence of alcohol or drugs,96
2017,Drug-related crime,115
2017,Illegal possession of firearms and ammunition,23
2017,Kidnapping,3
2017,Malicious damage to property,134
2017,Murder,10
2017,Neglect and ill-treatment of children,3
2017,Public violence,0
2017,Rape,81
2017,Robbery at non-residential premises,39
2017,Robbery at residential premises,16
2017,Robbery of cash in transit,2
2017,Robbery with aggravating circumstances,137
2017,Sexual Offences detected as a result of police action,1
2017,Sexual assault,2
2017,Shoplifting,6
2017,Stock-theft,53
2017,Street Robbery,73
2017,TRIO crimes,62
2017,Theft of motor vehicle and motorcycle,9
2017,Theft out of or from motor vehicle,63
2017,Truck hijacking,0
2016,Arson,8
2016,Assault with the intent to inflict grievous bodily harm,257
2016,Attempted murder,19
2016,Attempted sexual offences,15
2016,Bank robbery,0
2016,Burglary at non-residential premises,125
2016,Burglary at residential premises,177
2016,Carjacking,2
2016,Commercial crime,17
2016,Common assault,147
2016,Common robbery,32
2016,Contact sexual offences,4
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,56
2016,Drug-related crime,84
2016,Illegal possession of firearms and ammunition,24
2016,Kidnapping,10
2016,Malicious damage to property,131
2016,Murder,23
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,63
2016,Robbery at non-residential premises,28
2016,Robbery at residential premises,10
2016,Robbery of cash in transit,1
2016,Robbery with aggravating circumstances,99
2016,Sexual Offences detected as a result of police action,3
2016,Sexual assault,1
2016,Shoplifting,2
2016,Stock-theft,40
2016,Street Robbery,58
2016,TRIO crimes,40
2016,Theft of motor vehicle and motorcycle,15
2016,Theft out of or from motor vehicle,68
2016,Truck hijacking,0
2015,Arson,16
2015,Assault with the intent to inflict grievous bodily harm,247
2015,Attempted murder,20
2015,Attempted sexual offences,10
2015,Bank robbery,0
2015,Burglary at non-residential premises,122
2015,Burglary at residential premises,147
2015,Carjacking,8
2015,Commercial crime,13
2015,Common assault,111
2015,Common robbery,24
2015,Contact sexual offences,0
2015,Crimen Injuria,17
2015,Culpable homicide,12
2015,Driving under the influence of alcohol or drugs,23
2015,Drug-related crime,110
2015,Illegal possession of firearms and ammunition,9
2015,Kidnapping,4
2015,Malicious damage to property,114
2015,Murder,11
2015,Neglect and ill-treatment of children,4
2015,Public violence,0
2015,Rape,77
2015,Robbery at non-residential premises,22
2015,Robbery at residential premises,6
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,106
2015,Sexual Offences detected as a result of police action,5
2015,Sexual assault,0
2015,Shoplifting,5
2015,Stock-theft,63
2015,Street Robbery,70
2015,TRIO crimes,36
2015,Theft of motor vehicle and motorcycle,2
2015,Theft out of or from motor vehicle,73
2015,Truck hijacking,0
2014,Arson,12
2014,Assault with the intent to inflict grievous bodily harm,246
2014,Attempted murder,13
2014,Attempted sexual offences,6
2014,Bank robbery,0
2014,Burglary at non-residential premises,179
2014,Burglary at residential premises,251
2014,Carjacking,4
2014,Commercial crime,19
2014,Common assault,126
2014,Common robbery,38
2014,Contact sexual offences,1
2014,Crimen Injuria,45
2014,Culpable homicide,14
2014,Driving under the influence of alcohol or drugs,16
2014,Drug-related crime,98
2014,Illegal possession of firearms and ammunition,18
2014,Kidnapping,0
2014,Malicious damage to property,122
2014,Murder,13
2014,Neglect and ill-treatment of children,4
2014,Public violence,0
2014,Rape,83
2014,Robbery at non-residential premises,33
2014,Robbery at residential premises,7
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,88
2014,Sexual Offences detected as a result of police action,1
2014,Sexual assault,4
2014,Shoplifting,1
2014,Stock-theft,64
2014,Street Robbery,44
2014,TRIO crimes,44
2014,Theft of motor vehicle and motorcycle,4
2014,Theft out of or from motor vehicle,63
2014,Truck hijacking,0
2013,Arson,10
2013,Assault with the intent to inflict grievous bodily harm,242
2013,Attempted murder,15
2013,Attempted sexual offences,13
2013,Bank robbery,0
2013,Burglary at non-residential premises,157
2013,Burglary at residential premises,216
2013,Carjacking,3
2013,Commercial crime,41
2013,Common assault,105
2013,Common robbery,55
2013,Contact sexual offences,3
2013,Crimen Injuria,43
2013,Culpable homicide,10
2013,Driving under the influence of alcohol or drugs,28
2013,Drug-related crime,99
2013,Illegal possession of firearms and ammunition,10
2013,Kidnapping,3
2013,Malicious damage to property,116
2013,Murder,14
2013,Neglect and ill-treatment of children,1
2013,Public violence,0
2013,Rape,64
2013,Robbery at non-residential premises,19
2013,Robbery at residential premises,22
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,58
2013,Sexual Offences detected as a result of police action,2
2013,Sexual assault,3
2013,Shoplifting,2
2013,Stock-theft,74
2013,Street Robbery,14
2013,TRIO crimes,44
2013,Theft of motor vehicle and motorcycle,6
2013,Theft out of or from motor vehicle,61
2013,Truck hijacking,0
2012,Arson,14
2012,Assault with the intent to inflict grievous bodily harm,220
2012,Attempted murder,15
2012,Attempted sexual offences,6
2012,Bank robbery,0
2012,Burglary at non-residential premises,132
2012,Burglary at residential premises,246
2012,Carjacking,2
2012,Commercial crime,54
2012,Common assault,96
2012,Common robbery,54
2012,Contact sexual offences,1
2012,Crimen Injuria,26
2012,Culpable homicide,15
2012,Driving under the influence of alcohol or drugs,15
2012,Drug-related crime,54
2012,Illegal possession of firearms and ammunition,6
2012,Kidnapping,1
2012,Malicious damage to property,100
2012,Murder,12
2012,Neglect and ill-treatment of children,2
2012,Public violence,0
2012,Rape,81
