year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,66
2024,Attempted murder,7
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,106
2024,Burglary at residential premises,78
2024,Carjacking,7
2024,Commercial crime,100
2024,Common assault,61
2024,Common robbery,25
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,19
2024,Drug-related crime,35
2024,Illegal possession of firearms and ammunition,11
2024,Kidnapping,2
2024,Malicious damage to property,41
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,12
2024,Robbery at non-residential premises,20
2024,Robbery at residential premises,2
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,63
2024,Sexual Offences detected as a result of police action,65
2024,Sexual assault,6
2024,Shoplifting,103
2024,Stock-theft,45
2024,Street Robbery,31
2024,TRIO crimes,29
2024,Theft of motor vehicle and motorcycle,6
2024,Theft out of or from motor vehicle,217
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,56
2023,Attempted murder,10
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,70
2023,Burglary at residential premises,75
2023,Carjacking,2
2023,Commercial crime,106
2023,Common assault,59
2023,Common robbery,20
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,7
2023,Drug-related crime,30
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,2
2023,Malicious damage to property,29
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,17
2023,Robbery at non-residential premises,16
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,42
2023,Sexual Offences detected as a result of police action,57
2023,Sexual assault,2
2023,Shoplifting,98
2023,Stock-theft,28
2023,Street Robbery,16
2023,TRIO crimes,26
2023,Theft of motor vehicle and motorcycle,20
