year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,116
2024,Attempted murder,24
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,52
2024,Burglary at residential premises,140
2024,Carjacking,6
2024,Commercial crime,38
2024,Common assault,39
2024,Common robbery,14
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,30
2024,Drug-related crime,66
2024,Illegal possession of firearms and ammunition,23
2024,Kidnapping,6
2024,Malicious damage to property,51
2024,Murder,22
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,70
2024,Robbery at non-residential premises,35
2024,Robbery at residential premises,30
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,115
2024,Sexual Offences detected as a result of police action,94
2024,Sexual assault,3
2024,Shoplifting,33
2024,Stock-theft,62
2024,Street Robbery,77
2024,TRIO crimes,71
2024,Theft of motor vehicle and motorcycle,13
2024,Theft out of or from motor vehicle,16
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,103
2023,Attempted murder,11
2023,Attempted sexual offences,7
2023,Bank robbery,0
2023,Burglary at non-residential premises,68
2023,Burglary at residential premises,171
2023,Carjacking,6
2023,Commercial crime,14
2023,Common assault,35
2023,Common robbery,16
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,5
2023,Drug-related crime,20
2023,Illegal possession of firearms and ammunition,19
2023,Kidnapping,5
2023,Malicious damage to property,42
2023,Murder,19
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,69
2023,Robbery at non-residential premises,32
2023,Robbery at residential premises,25
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,86
2023,Sexual Offences detected as a result of police action,71
2023,Sexual assault,8
2023,Shoplifting,8
2023,Stock-theft,53
2023,Street Robbery,23
2023,TRIO crimes,63
2023,Theft of motor vehicle and motorcycle,9
2023,Theft out of or from motor vehicle,24
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,118
2022,Attempted murder,12
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,57
2022,Burglary at residential premises,139
2022,Carjacking,5
2022,Commercial crime,21
2022,Common assault,41
2022,Common robbery,16
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,6
2022,Drug-related crime,9
2022,Illegal possession of firearms and ammunition,21
2022,Kidnapping,4
2022,Malicious damage to property,54
2022,Murder,11
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,61
2022,Robbery at non-residential premises,28
2022,Robbery at residential premises,22
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,89
2022,Sexual Offences detected as a result of police action,26
2022,Sexual assault,3
2022,Shoplifting,8
2022,Stock-theft,31
2022,Street Robbery,34
2022,TRIO crimes,55
2022,Theft of motor vehicle and motorcycle,10
2022,Theft out of or from motor vehicle,24
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,100
2021,Attempted murder,8
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,72
2021,Burglary at residential premises,151
2021,Carjacking,5
2021,Commercial crime,16
2021,Common assault,39
2021,Common robbery,8
2021,Contact sexual offences,2
2021,Crimen Injuria,4
2021,Culpable homicide,8
2021,Driving under the influence of alcohol or drugs,24
2021,Drug-related crime,28
2021,Illegal possession of firearms and ammunition,14
2021,Kidnapping,0
2021,Malicious damage to property,53
2021,Murder,11
2021,Neglect and ill-treatment of children,2
2021,Public violence,0
2021,Rape,42
2021,Robbery at non-residential premises,26
2021,Robbery at residential premises,13
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,64
2021,Sexual Offences detected as a result of police action,34
2021,Sexual assault,5
2021,Shoplifting,2
2021,Stock-theft,22
2021,Street Robbery,19
2021,TRIO crimes,44
2021,Theft of motor vehicle and motorcycle,9
2021,Theft out of or from motor vehicle,26
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,85
2020,Attempted murder,8
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,109
2020,Burglary at residential premises,179
2020,Carjacking,7
2020,Commercial crime,8
2020,Common assault,35
2020,Common robbery,15
2020,Contact sexual offences,1
2020,Crimen Injuria,7
2020,Culpable homicide,6
2020,Driving under the influence of alcohol or drugs,72
2020,Drug-related crime,18
2020,Illegal possession of firearms and ammunition,14
