year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,46
2024,Attempted murder,6
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,39
2024,Burglary at residential premises,79
2024,Carjacking,6
2024,Commercial crime,108
2024,Common assault,42
2024,Common robbery,24
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,16
2024,Drug-related crime,53
2024,Illegal possession of firearms and ammunition,9
2024,Kidnapping,0
2024,Malicious damage to property,21
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,8
2024,Robbery at non-residential premises,10
2024,Robbery at residential premises,13
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,49
2024,Sexual Offences detected as a result of police action,73
2024,Sexual assault,0
2024,Shoplifting,24
2024,Stock-theft,32
2024,Street Robbery,31
2024,TRIO crimes,29
2024,Theft of motor vehicle and motorcycle,4
2024,Theft out of or from motor vehicle,36
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,61
2023,Attempted murder,6
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,50
2023,Burglary at residential premises,86
2023,Carjacking,5
2023,Commercial crime,62
2023,Common assault,29
2023,Common robbery,20
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,5
2023,Drug-related crime,49
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,2
2023,Malicious damage to property,38
2023,Murder,9
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,14
2023,Robbery at non-residential premises,17
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,43
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,1
2023,Shoplifting,33
2023,Stock-theft,12
2023,Street Robbery,13
2023,TRIO crimes,30
2023,Theft of motor vehicle and motorcycle,5
2023,Theft out of or from motor vehicle,30
