year,category,value
2024,Abduction,0
2024,Arson,9
2024,Assault with the intent to inflict grievous bodily harm,141
2024,Attempted murder,12
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,69
2024,Burglary at residential premises,64
2024,Carjacking,18
2024,Commercial crime,174
2024,Common assault,104
2024,Common robbery,47
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,50
2024,Drug-related crime,169
2024,Illegal possession of firearms and ammunition,20
2024,Kidnapping,9
2024,Malicious damage to property,87
2024,Murder,18
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,24
2024,Robbery at non-residential premises,38
2024,Robbery at residential premises,6
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,191
2024,Sexual Offences detected as a result of police action,73
2024,Sexual assault,1
2024,Shoplifting,180
2024,Stock-theft,23
2024,Street Robbery,63
2024,TRIO crimes,62
2024,Theft of motor vehicle and motorcycle,17
2024,Theft out of or from motor vehicle,95
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,138
2023,Attempted murder,21
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,76
2023,Burglary at residential premises,103
2023,Carjacking,14
2023,Commercial crime,117
2023,Common assault,153
2023,Common robbery,57
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,24
2023,Drug-related crime,127
2023,Illegal possession of firearms and ammunition,18
2023,Kidnapping,7
2023,Malicious damage to property,99
2023,Murder,9
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,31
2023,Robbery at non-residential premises,32
2023,Robbery at residential premises,26
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,150
2023,Sexual Offences detected as a result of police action,48
2023,Sexual assault,3
2023,Shoplifting,190
2023,Stock-theft,15
2023,Street Robbery,78
2023,TRIO crimes,72
2023,Theft of motor vehicle and motorcycle,14
2023,Theft out of or from motor vehicle,222
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,136
2022,Attempted murder,17
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,81
2022,Burglary at residential premises,113
2022,Carjacking,15
2022,Commercial crime,46
2022,Common assault,177
2022,Common robbery,47
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,9
2022,Drug-related crime,65
2022,Illegal possession of firearms and ammunition,12
2022,Kidnapping,6
2022,Malicious damage to property,112
2022,Murder,12
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,19
2022,Robbery at non-residential premises,42
2022,Robbery at residential premises,6
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,153
2022,Sexual Offences detected as a result of police action,27
2022,Sexual assault,6
2022,Shoplifting,263
2022,Stock-theft,20
2022,Street Robbery,88
2022,TRIO crimes,63
2022,Theft of motor vehicle and motorcycle,29
2022,Theft out of or from motor vehicle,154
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,111
2021,Attempted murder,14
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,109
2021,Burglary at residential premises,103
2021,Carjacking,13
2021,Commercial crime,44
2021,Common assault,126
2021,Common robbery,51
2021,Contact sexual offences,1
2021,Crimen Injuria,18
2021,Culpable homicide,11
2021,Driving under the influence of alcohol or drugs,45
2021,Drug-related crime,44
2021,Illegal possession of firearms and ammunition,14
2021,Kidnapping,7
2021,Malicious damage to property,100
2021,Murder,7
2021,Neglect and ill-treatment of children,0
2021,Public violence,1
2021,Rape,34
2021,Robbery at non-residential premises,44
2021,Robbery at residential premises,21
2021,Robbery of cash in transit,2
2021,Robbery with aggravating circumstances,160
2021,Sexual Offences detected as a result of police action,18
2021,Sexual assault,7
2021,Shoplifting,259
2021,Stock-theft,24
2021,Street Robbery,80
2021,TRIO crimes,78
2021,Theft of motor vehicle and motorcycle,19
2021,Theft out of or from motor vehicle,128
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,128
2020,Attempted murder,15
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,101
2020,Burglary at residential premises,170
2020,Carjacking,15
2020,Commercial crime,61
2020,Common assault,129
2020,Common robbery,72
2020,Contact sexual offences,0
2020,Crimen Injuria,17
2020,Culpable homicide,21
2020,Driving under the influence of alcohol or drugs,73
2020,Drug-related crime,17
2020,Illegal possession of firearms and ammunition,14
2020,Kidnapping,6
2020,Malicious damage to property,127
2020,Murder,11
2020,Neglect and ill-treatment of children,2
2020,Public violence,1
2020,Rape,31
2020,Robbery at non-residential premises,52
2020,Robbery at residential premises,13
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,157
2020,Sexual Offences detected as a result of police action,17
2020,Sexual assault,3
2020,Shoplifting,298
2020,Stock-theft,28
2020,Street Robbery,76
2020,TRIO crimes,80
2020,Theft of motor vehicle and motorcycle,25
2020,Theft out of or from motor vehicle,143
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,2
2019,Assault with the intent to inflict grievous bodily harm,87
2019,Attempted murder,11
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,97
2019,Burglary at residential premises,146
2019,Carjacking,14
2019,Commercial crime,64
2019,Common assault,80
2019,Common robbery,44
2019,Contact sexual offences,0
2019,Crimen Injuria,12
2019,Culpable homicide,39
2019,Driving under the influence of alcohol or drugs,88
2019,Drug-related crime,236
2019,Illegal possession of firearms and ammunition,5
2019,Kidnapping,4
2019,Malicious damage to property,72
2019,Murder,14
2019,Neglect and ill-treatment of children,0
2019,Public violence,3
2019,Rape,20
2019,Robbery at non-residential premises,45
2019,Robbery at residential premises,17
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,113
2019,Sexual Offences detected as a result of police action,10
2019,Sexual assault,5
2019,Shoplifting,189
2019,Stock-theft,27
2019,Street Robbery,36
2019,TRIO crimes,76
2019,Theft of motor vehicle and motorcycle,24
2019,Theft out of or from motor vehicle,112
2019,Truck hijacking,1
2018,Abduction,0
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,101
2018,Attempted murder,16
2018,Attempted sexual offences,0
2018,Bank robbery,0
2018,Burglary at non-residential premises,98
2018,Burglary at residential premises,191
2018,Carjacking,29
2018,Commercial crime,72
2018,Common assault,125
2018,Common robbery,57
2018,Contact sexual offences,1
2018,Crimen Injuria,12
2018,Culpable homicide,27
2018,Driving under the influence of alcohol or drugs,90
2018,Drug-related crime,357
2018,Illegal possession of firearms and ammunition,8
2018,Kidnapping,7
2018,Malicious damage to property,99
2018,Murder,8
2018,Neglect and ill-treatment of children,0
2018,Public violence,2
2018,Rape,25
2018,Robbery at non-residential premises,65
2018,Robbery at residential premises,19
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,152
2018,Sexual Offences detected as a result of police action,4
2018,Sexual assault,1
2018,Shoplifting,157
2018,Stock-theft,19
2018,Street Robbery,39
2018,TRIO crimes,113
2018,Theft of motor vehicle and motorcycle,28
2018,Theft out of or from motor vehicle,141
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,3
2017,Assault with the intent to inflict grievous bodily harm,89
2017,Attempted murder,18
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,123
2017,Burglary at residential premises,234
2017,Carjacking,21
2017,Commercial crime,68
2017,Common assault,76
2017,Common robbery,60
2017,Contact sexual offences,1
2017,Crimen Injuria,11
2017,Culpable homicide,22
2017,Driving under the influence of alcohol or drugs,81
2017,Drug-related crime,275
2017,Illegal possession of firearms and ammunition,6
2017,Kidnapping,5
2017,Malicious damage to property,111
2017,Murder,14
2017,Neglect and ill-treatment of children,0
2017,Public violence,1
2017,Rape,24
2017,Robbery at non-residential premises,49
2017,Robbery at residential premises,23
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,145
2017,Sexual Offences detected as a result of police action,1
2017,Sexual assault,1
2017,Shoplifting,192
2017,Stock-theft,22
2017,Street Robbery,51
2017,TRIO crimes,93
2017,Theft of motor vehicle and motorcycle,32
2017,Theft out of or from motor vehicle,126
2017,Truck hijacking,1
2016,Arson,2
2016,Assault with the intent to inflict grievous bodily harm,103
2016,Attempted murder,13
2016,Attempted sexual offences,5
2016,Bank robbery,0
2016,Burglary at non-residential premises,120
2016,Burglary at residential premises,192
2016,Carjacking,21
2016,Commercial crime,112
2016,Common assault,125
2016,Common robbery,74
2016,Contact sexual offences,4
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,51
2016,Drug-related crime,235
2016,Illegal possession of firearms and ammunition,7
2016,Kidnapping,5
2016,Malicious damage to property,188
2016,Murder,12
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,39
2016,Robbery at non-residential premises,37
2016,Robbery at residential premises,16
2016,Robbery of cash in transit,1
2016,Robbery with aggravating circumstances,123
2016,Sexual Offences detected as a result of police action,32
2016,Sexual assault,0
2016,Shoplifting,275
2016,Stock-theft,13
2016,Street Robbery,47
2016,TRIO crimes,74
2016,Theft of motor vehicle and motorcycle,73
2016,Theft out of or from motor vehicle,154
2016,Truck hijacking,1
2015,Arson,3
2015,Assault with the intent to inflict grievous bodily harm,132
2015,Attempted murder,17
2015,Attempted sexual offences,2
2015,Bank robbery,0
2015,Burglary at non-residential premises,136
2015,Burglary at residential premises,232
2015,Carjacking,12
2015,Commercial crime,119
2015,Common assault,140
2015,Common robbery,71
2015,Contact sexual offences,1
2015,Crimen Injuria,33
2015,Culpable homicide,13
2015,Driving under the influence of alcohol or drugs,25
2015,Drug-related crime,198
2015,Illegal possession of firearms and ammunition,15
2015,Kidnapping,2
2015,Malicious damage to property,138
2015,Murder,7
2015,Neglect and ill-treatment of children,1
2015,Public violence,0
2015,Rape,29
2015,Robbery at non-residential premises,31
2015,Robbery at residential premises,14
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,104
2015,Sexual Offences detected as a result of police action,89
2015,Sexual assault,1
2015,Shoplifting,223
2015,Stock-theft,12
2015,Street Robbery,47
2015,TRIO crimes,57
2015,Theft of motor vehicle and motorcycle,34
2015,Theft out of or from motor vehicle,166
2015,Truck hijacking,0
2014,Arson,11
2014,Assault with the intent to inflict grievous bodily harm,146
2014,Attempted murder,14
2014,Attempted sexual offences,0
2014,Bank robbery,0
2014,Burglary at non-residential premises,92
2014,Burglary at residential premises,228
2014,Carjacking,6
2014,Commercial crime,162
2014,Common assault,130
2014,Common robbery,63
2014,Contact sexual offences,5
2014,Crimen Injuria,38
2014,Culpable homicide,16
2014,Driving under the influence of alcohol or drugs,84
2014,Drug-related crime,154
2014,Illegal possession of firearms and ammunition,9
2014,Kidnapping,8
2014,Malicious damage to property,103
2014,Murder,4
2014,Neglect and ill-treatment of children,1
2014,Public violence,0
2014,Rape,32
2014,Robbery at non-residential premises,21
2014,Robbery at residential premises,16
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,98
2014,Sexual Offences detected as a result of police action,24
2014,Sexual assault,4
2014,Shoplifting,278
2014,Stock-theft,18
2014,Street Robbery,55
2014,TRIO crimes,43
2014,Theft of motor vehicle and motorcycle,22
2014,Theft out of or from motor vehicle,154
2014,Truck hijacking,0
2013,Arson,15
2013,Assault with the intent to inflict grievous bodily harm,155
2013,Attempted murder,11
2013,Attempted sexual offences,2
2013,Bank robbery,0
2013,Burglary at non-residential premises,94
2013,Burglary at residential premises,291
2013,Carjacking,7
2013,Commercial crime,265
2013,Common assault,172
2013,Common robbery,82
2013,Contact sexual offences,2
2013,Crimen Injuria,44
2013,Culpable homicide,24
2013,Driving under the influence of alcohol or drugs,73
2013,Drug-related crime,128
2013,Illegal possession of firearms and ammunition,3
2013,Kidnapping,4
2013,Malicious damage to property,135
2013,Murder,14
2013,Neglect and ill-treatment of children,1
2013,Public violence,0
2013,Rape,35
2013,Robbery at non-residential premises,24
2013,Robbery at residential premises,24
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,82
2013,Sexual Offences detected as a result of police action,10
2013,Sexual assault,3
2013,Shoplifting,222
2013,Stock-theft,11
2013,Street Robbery,26
2013,TRIO crimes,55
2013,Theft of motor vehicle and motorcycle,22
2013,Theft out of or from motor vehicle,185
2013,Truck hijacking,1
2012,Arson,7
