year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,146
2024,Attempted murder,16
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,75
2024,Burglary at residential premises,108
2024,Carjacking,1
2024,Commercial crime,54
2024,Common assault,151
2024,Common robbery,30
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,40
2024,Drug-related crime,65
2024,Illegal possession of firearms and ammunition,8
2024,Kidnapping,4
2024,Malicious damage to property,139
2024,Murder,14
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,43
2024,Robbery at non-residential premises,19
2024,Robbery at residential premises,23
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,59
2024,Sexual Offences detected as a result of police action,72
2024,Sexual assault,11
2024,Shoplifting,3
2024,Stock-theft,22
2024,Street Robbery,44
2024,TRIO crimes,43
2024,Theft of motor vehicle and motorcycle,4
2024,Theft out of or from motor vehicle,12
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,145
2023,Attempted murder,12
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,85
2023,Burglary at residential premises,78
2023,Carjacking,8
2023,Commercial crime,44
2023,Common assault,161
2023,Common robbery,34
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,28
2023,Drug-related crime,39
2023,Illegal possession of firearms and ammunition,1
2023,Kidnapping,3
2023,Malicious damage to property,128
2023,Murder,6
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,23
2023,Robbery at non-residential premises,25
2023,Robbery at residential premises,13
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,64
2023,Sexual Offences detected as a result of police action,49
2023,Sexual assault,7
2023,Shoplifting,3
2023,Stock-theft,49
2023,Street Robbery,18
2023,TRIO crimes,46
2023,Theft of motor vehicle and motorcycle,8
2023,Theft out of or from motor vehicle,14
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,134
2022,Attempted murder,17
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,41
2022,Burglary at residential premises,96
2022,Carjacking,9
2022,Commercial crime,37
2022,Common assault,111
2022,Common robbery,23
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,60
2022,Drug-related crime,21
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,2
2022,Malicious damage to property,109
2022,Murder,12
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,35
2022,Robbery at non-residential premises,21
2022,Robbery at residential premises,5
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,63
2022,Sexual Offences detected as a result of police action,25
2022,Sexual assault,3
2022,Shoplifting,1
2022,Stock-theft,23
2022,Street Robbery,28
2022,TRIO crimes,35
2022,Theft of motor vehicle and motorcycle,4
2022,Theft out of or from motor vehicle,6
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,94
2021,Attempted murder,6
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,35
2021,Burglary at residential premises,116
2021,Carjacking,10
2021,Commercial crime,33
2021,Common assault,127
2021,Common robbery,20
2021,Contact sexual offences,0
2021,Crimen Injuria,39
2021,Culpable homicide,17
2021,Driving under the influence of alcohol or drugs,89
2021,Drug-related crime,13
2021,Illegal possession of firearms and ammunition,3
2021,Kidnapping,1
2021,Malicious damage to property,111
2021,Murder,5
2021,Neglect and ill-treatment of children,5
2021,Public violence,0
2021,Rape,28
2021,Robbery at non-residential premises,22
2021,Robbery at residential premises,13
