year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,160
2024,Attempted murder,20
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,85
2024,Burglary at residential premises,137
2024,Carjacking,7
2024,Commercial crime,25
2024,Common assault,77
2024,Common robbery,26
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,22
2024,Drug-related crime,113
2024,Illegal possession of firearms and ammunition,29
2024,Kidnapping,7
2024,Malicious damage to property,67
2024,Murder,16
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,65
2024,Robbery at non-residential premises,21
2024,Robbery at residential premises,17
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,84
2024,Sexual Offences detected as a result of police action,16
2024,Sexual assault,2
2024,Shoplifting,0
2024,Stock-theft,107
2024,Street Robbery,45
2024,TRIO crimes,45
2024,Theft of motor vehicle and motorcycle,11
2024,Theft out of or from motor vehicle,18
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,176
2023,Attempted murder,26
2023,Attempted sexual offences,8
2023,Bank robbery,0
2023,Burglary at non-residential premises,76
2023,Burglary at residential premises,174
2023,Carjacking,20
2023,Commercial crime,34
2023,Common assault,105
2023,Common robbery,47
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,14
2023,Drug-related crime,109
2023,Illegal possession of firearms and ammunition,8
2023,Kidnapping,7
2023,Malicious damage to property,67
2023,Murder,20
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,65
2023,Robbery at non-residential premises,46
2023,Robbery at residential premises,35
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,159
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,1
2023,Stock-theft,78
2023,Street Robbery,58
2023,TRIO crimes,101
2023,Theft of motor vehicle and motorcycle,10
2023,Theft out of or from motor vehicle,12
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,145
2022,Attempted murder,25
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,90
2022,Burglary at residential premises,258
2022,Carjacking,9
2022,Commercial crime,34
2022,Common assault,85
2022,Common robbery,25
2022,Contact sexual offences,0
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,54
2022,Drug-related crime,49
2022,Illegal possession of firearms and ammunition,5
2022,Kidnapping,6
2022,Malicious damage to property,48
2022,Murder,15
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,34
2022,Robbery at non-residential premises,44
2022,Robbery at residential premises,15
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,124
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,12
2022,Shoplifting,0
2022,Stock-theft,51
2022,Street Robbery,55
2022,TRIO crimes,68
2022,Theft of motor vehicle and motorcycle,14
2022,Theft out of or from motor vehicle,15
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,3
