year,category,value
2024,Abduction,0
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,126
2024,Attempted murder,37
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,140
2024,Burglary at residential premises,147
2024,Carjacking,10
2024,Commercial crime,114
2024,Common assault,138
2024,Common robbery,36
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,33
2024,Drug-related crime,91
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,11
2024,Malicious damage to property,96
2024,Murder,5
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,21
2024,Robbery at non-residential premises,12
2024,Robbery at residential premises,23
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,103
2024,Sexual Offences detected as a result of police action,34
2024,Sexual assault,2
2024,Shoplifting,138
2024,Stock-theft,31
2024,Street Robbery,46
2024,TRIO crimes,45
2024,Theft of motor vehicle and motorcycle,11
2024,Theft out of or from motor vehicle,59
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,93
2023,Attempted murder,20
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,118
2023,Burglary at residential premises,154
2023,Carjacking,3
2023,Commercial crime,158
2023,Common assault,126
2023,Common robbery,23
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,15
2023,Drug-related crime,65
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,13
2023,Malicious damage to property,87
2023,Murder,6
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,19
2023,Robbery at non-residential premises,21
2023,Robbery at residential premises,25
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,105
2023,Sexual Offences detected as a result of police action,62
2023,Sexual assault,1
2023,Shoplifting,115
2023,Stock-theft,18
2023,Street Robbery,51
2023,TRIO crimes,49
2023,Theft of motor vehicle and motorcycle,20
2023,Theft out of or from motor vehicle,62
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,119
2022,Attempted murder,24
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,146
2022,Burglary at residential premises,182
2022,Carjacking,10
2022,Commercial crime,116
2022,Common assault,102
2022,Common robbery,27
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,144
2022,Drug-related crime,38
2022,Illegal possession of firearms and ammunition,28
2022,Kidnapping,8
2022,Malicious damage to property,102
2022,Murder,6
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,25
2022,Robbery at non-residential premises,18
2022,Robbery at residential premises,37
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,124
2022,Sexual Offences detected as a result of police action,47
2022,Sexual assault,4
2022,Shoplifting,113
2022,Stock-theft,19
2022,Street Robbery,57
2022,TRIO crimes,65
2022,Theft of motor vehicle and motorcycle,21
2022,Theft out of or from motor vehicle,74
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,84
2021,Attempted murder,10
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,152
2021,Burglary at residential premises,211
2021,Carjacking,7
2021,Commercial crime,100
2021,Common assault,70
2021,Common robbery,25
2021,Contact sexual offences,0
2021,Crimen Injuria,15
2021,Culpable homicide,18
2021,Driving under the influence of alcohol or drugs,143
2021,Drug-related crime,41
2021,Illegal possession of firearms and ammunition,9
2021,Kidnapping,5
2021,Malicious damage to property,73
2021,Murder,7
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,17
2021,Robbery at non-residential premises,15
2021,Robbery at residential premises,17
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,102
2021,Sexual Offences detected as a result of police action,33
2021,Sexual assault,3
2021,Shoplifting,137
2021,Stock-theft,17
2021,Street Robbery,63
2021,TRIO crimes,39
2021,Theft of motor vehicle and motorcycle,16
2021,Theft out of or from motor vehicle,76
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,104
2020,Attempted murder,18
2020,Attempted sexual offences,2
2020,Bank robbery,0
2020,Burglary at non-residential premises,92
2020,Burglary at residential premises,302
2020,Carjacking,5
2020,Commercial crime,108
2020,Common assault,108
2020,Common robbery,26
2020,Contact sexual offences,1
2020,Crimen Injuria,10
2020,Culpable homicide,22
2020,Driving under the influence of alcohol or drugs,238
2020,Drug-related crime,20
2020,Illegal possession of firearms and ammunition,9
2020,Kidnapping,0
2020,Malicious damage to property,69
2020,Murder,5
2020,Neglect and ill-treatment of children,1
2020,Public violence,1
2020,Rape,24
2020,Robbery at non-residential premises,20
2020,Robbery at residential premises,23
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,139
2020,Sexual Offences detected as a result of police action,41
2020,Sexual assault,1
2020,Shoplifting,147
2020,Stock-theft,18
2020,Street Robbery,90
2020,TRIO crimes,48
2020,Theft of motor vehicle and motorcycle,21
2020,Theft out of or from motor vehicle,89
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,0
2019,Assault with the intent to inflict grievous bodily harm,119
2019,Attempted murder,9
2019,Attempted sexual offences,3
2019,Bank robbery,0
2019,Burglary at non-residential premises,106
2019,Burglary at residential premises,229
2019,Carjacking,4
2019,Commercial crime,106
2019,Common assault,87
2019,Common robbery,50
2019,Contact sexual offences,0
2019,Crimen Injuria,16
2019,Culpable homicide,23
2019,Driving under the influence of alcohol or drugs,194
2019,Drug-related crime,252
2019,Illegal possession of firearms and ammunition,27
2019,Kidnapping,1
2019,Malicious damage to property,88
2019,Murder,11
2019,Neglect and ill-treatment of children,0
2019,Public violence,0
2019,Rape,19
2019,Robbery at non-residential premises,20
2019,Robbery at residential premises,22
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,133
2019,Sexual Offences detected as a result of police action,36
2019,Sexual assault,2
2019,Shoplifting,112
2019,Stock-theft,15
2019,Street Robbery,86
2019,TRIO crimes,46
2019,Theft of motor vehicle and motorcycle,24
2019,Theft out of or from motor vehicle,106
2019,Truck hijacking,1
2018,Abduction,1
2018,Arson,8
2018,Assault with the intent to inflict grievous bodily harm,155
2018,Attempted murder,15
2018,Attempted sexual offences,3
2018,Bank robbery,0
2018,Burglary at non-residential premises,190
2018,Burglary at residential premises,269
2018,Carjacking,7
2018,Commercial crime,155
2018,Common assault,77
2018,Common robbery,48
2018,Contact sexual offences,3
2018,Crimen Injuria,6
2018,Culpable homicide,29
2018,Driving under the influence of alcohol or drugs,188
2018,Drug-related crime,356
2018,Illegal possession of firearms and ammunition,21
2018,Kidnapping,2
2018,Malicious damage to property,128
2018,Murder,6
2018,Neglect and ill-treatment of children,1
2018,Public violence,0
2018,Rape,19
2018,Robbery at non-residential premises,24
2018,Robbery at residential premises,37
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,123
2018,Sexual Offences detected as a result of police action,6
2018,Sexual assault,6
2018,Shoplifting,133
2018,Stock-theft,22
2018,Street Robbery,53
2018,TRIO crimes,68
2018,Theft of motor vehicle and motorcycle,34
2018,Theft out of or from motor vehicle,140
2018,Truck hijacking,1
2017,Abduction,0
2017,Arson,5
2017,Assault with the intent to inflict grievous bodily harm,173
2017,Attempted murder,16
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,208
2017,Burglary at residential premises,352
