year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,303
2024,Attempted murder,27
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,75
2024,Burglary at residential premises,120
2024,Carjacking,4
2024,Commercial crime,54
2024,Common assault,198
2024,Common robbery,51
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,43
2024,Drug-related crime,47
2024,Illegal possession of firearms and ammunition,4
2024,Kidnapping,10
2024,Malicious damage to property,159
2024,Murder,16
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,62
2024,Robbery at non-residential premises,7
2024,Robbery at residential premises,11
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,79
2024,Sexual Offences detected as a result of police action,30
2024,Sexual assault,0
2024,Shoplifting,25
2024,Stock-theft,10
2024,Street Robbery,22
2024,TRIO crimes,22
2024,Theft of motor vehicle and motorcycle,3
2024,Theft out of or from motor vehicle,20
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,10
2023,Assault with the intent to inflict grievous bodily harm,331
2023,Attempted murder,10
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,74
2023,Burglary at residential premises,193
2023,Carjacking,6
2023,Commercial crime,58
2023,Common assault,263
2023,Common robbery,59
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,25
2023,Drug-related crime,29
2023,Illegal possession of firearms and ammunition,23
2023,Kidnapping,6
2023,Malicious damage to property,187
2023,Murder,6
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,47
2023,Robbery at non-residential premises,12
2023,Robbery at residential premises,9
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,82
2023,Sexual Offences detected as a result of police action,18
2023,Sexual assault,2
2023,Shoplifting,30
2023,Stock-theft,17
2023,Street Robbery,55
2023,TRIO crimes,27
2023,Theft of motor vehicle and motorcycle,5
2023,Theft out of or from motor vehicle,16
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,290
2022,Attempted murder,13
2022,Attempted sexual offences,9
2022,Bank robbery,0
2022,Burglary at non-residential premises,74
2022,Burglary at residential premises,213
2022,Carjacking,11
2022,Commercial crime,51
2022,Common assault,240
2022,Common robbery,47
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,71
2022,Drug-related crime,18
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,6
2022,Malicious damage to property,150
2022,Murder,13
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,45
2022,Robbery at non-residential premises,36
2022,Robbery at residential premises,16
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,93
2022,Sexual Offences detected as a result of police action,12
2022,Sexual assault,3
2022,Shoplifting,11
2022,Stock-theft,20
2022,Street Robbery,30
2022,TRIO crimes,63
2022,Theft of motor vehicle and motorcycle,3
2022,Theft out of or from motor vehicle,18
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,165
2021,Attempted murder,8
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,82
2021,Burglary at residential premises,105
2021,Carjacking,2
2021,Commercial crime,20
2021,Common assault,161
2021,Common robbery,20
2021,Contact sexual offences,0
2021,Crimen Injuria,16
2021,Culpable homicide,10
2021,Driving under the influence of alcohol or drugs,47
2021,Drug-related crime,2
2021,Illegal possession of firearms and ammunition,3
2021,Kidnapping,6
2021,Malicious damage to property,143
2021,Murder,14
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,37
2021,Robbery at non-residential premises,15
2021,Robbery at residential premises,14
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,56
2021,Sexual Offences detected as a result of police action,3
2021,Sexual assault,0
2021,Shoplifting,10
2021,Stock-theft,17
2021,Street Robbery,25
2021,TRIO crimes,31
2021,Theft of motor vehicle and motorcycle,5
2021,Theft out of or from motor vehicle,20
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,197
2020,Attempted murder,14
2020,Attempted sexual offences,7
2020,Bank robbery,0
2020,Burglary at non-residential premises,102
2020,Burglary at residential premises,120
2020,Carjacking,8
2020,Commercial crime,27
2020,Common assault,132
2020,Common robbery,26
2020,Contact sexual offences,1
2020,Crimen Injuria,4
2020,Culpable homicide,8
2020,Driving under the influence of alcohol or drugs,59
2020,Drug-related crime,1
2020,Illegal possession of firearms and ammunition,3
2020,Kidnapping,6
2020,Malicious damage to property,106
2020,Murder,13
2020,Neglect and ill-treatment of children,1
2020,Public violence,0
2020,Rape,51
2020,Robbery at non-residential premises,23
2020,Robbery at residential premises,22
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,83
2020,Sexual Offences detected as a result of police action,9
2020,Sexual assault,1
2020,Shoplifting,14
2020,Stock-theft,21
2020,Street Robbery,30
2020,TRIO crimes,53
2020,Theft of motor vehicle and motorcycle,2
2020,Theft out of or from motor vehicle,25
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,5
2019,Assault with the intent to inflict grievous bodily harm,176
2019,Attempted murder,12
2019,Attempted sexual offences,5
2019,Bank robbery,0
2019,Burglary at non-residential premises,103
2019,Burglary at residential premises,144
2019,Carjacking,3
2019,Commercial crime,23
2019,Common assault,130
2019,Common robbery,33
2019,Contact sexual offences,0
2019,Crimen Injuria,2
2019,Culpable homicide,16
2019,Driving under the influence of alcohol or drugs,32
2019,Drug-related crime,332
2019,Illegal possession of firearms and ammunition,2
2019,Kidnapping,3
2019,Malicious damage to property,99
2019,Murder,21
2019,Neglect and ill-treatment of children,1
2019,Public violence,1
2019,Rape,59
2019,Robbery at non-residential premises,16
2019,Robbery at residential premises,40
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,82
2019,Sexual Offences detected as a result of police action,12
2019,Sexual assault,0
2019,Shoplifting,17
2019,Stock-theft,29
2019,Street Robbery,23
2019,TRIO crimes,59
2019,Theft of motor vehicle and motorcycle,9
2019,Theft out of or from motor vehicle,37
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,8
2018,Assault with the intent to inflict grievous bodily harm,215
2018,Attempted murder,17
2018,Attempted sexual offences,4
2018,Bank robbery,0
2018,Burglary at non-residential premises,116
2018,Burglary at residential premises,173
2018,Carjacking,3
2018,Commercial crime,27
2018,Common assault,128
2018,Common robbery,30
2018,Contact sexual offences,0
2018,Crimen Injuria,6
2018,Culpable homicide,9
2018,Driving under the influence of alcohol or drugs,27
2018,Drug-related crime,482
2018,Illegal possession of firearms and ammunition,4
2018,Kidnapping,2
2018,Malicious damage to property,111
2018,Murder,23
2018,Neglect and ill-treatment of children,0
2018,Public violence,0
2018,Rape,52
2018,Robbery at non-residential premises,14
2018,Robbery at residential premises,34
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,90
2018,Sexual Offences detected as a result of police action,9
2018,Sexual assault,2
2018,Shoplifting,2
2018,Stock-theft,18
2018,Street Robbery,39
2018,TRIO crimes,51
2018,Theft of motor vehicle and motorcycle,2
2018,Theft out of or from motor vehicle,17
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,12
2017,Assault with the intent to inflict grievous bodily harm,228
2017,Attempted murder,20
2017,Attempted sexual offences,5
2017,Bank robbery,0
2017,Burglary at non-residential premises,142
2017,Burglary at residential premises,222
2017,Carjacking,8
2017,Commercial crime,21
2017,Common assault,118
2017,Common robbery,36
2017,Contact sexual offences,2
2017,Crimen Injuria,6
2017,Culpable homicide,10
2017,Driving under the influence of alcohol or drugs,15
2017,Drug-related crime,359
2017,Illegal possession of firearms and ammunition,3
2017,Kidnapping,6
